TIMESTAMP,solar_TIMESTAMP,BRA_CAX_CON_Pan_Jt_1,BRA_CAX_CON_Pan_Jt_2,BRA_CAX_CON_Mbi_Jt_3,BRA_CAX_CON_Sra_Jt_4,BRA_CAX_CON_Eco_Jt_5,BRA_CAX_CON_Lme_Jt_6,BRA_CAX_CON_Egr_Jt_7,BRA_CAX_CON_Pte_Jt_8,BRA_CAX_CON_Egr_Jt_9,BRA_CAX_CON_Pte_Jt_10,BRA_CAX_CON_Loc_Jt_11,BRA_CAX_CON_Loc_Jt_12,BRA_CAX_CON_Pte_Jt_13,BRA_CAX_CON_Sra_Jt_14,BRA_CAX_CON_Pan_Jt_15,BRA_CAX_CON_Mbi_Jt_16
2014-12-12T02:00:00Z,2014-12-11T22:39:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-12T03:00:00Z,2014-12-11T23:39:14Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-12T04:00:00Z,2014-12-12T00:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-12T05:00:00Z,2014-12-12T01:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-12T06:00:00Z,2014-12-12T02:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-12T07:00:00Z,2014-12-12T03:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-12T08:00:00Z,2014-12-12T04:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-12T09:00:00Z,2014-12-12T05:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-12T10:00:00Z,2014-12-12T06:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-12T11:00:00Z,2014-12-12T07:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-12T12:00:00Z,2014-12-12T08:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-12T13:00:00Z,2014-12-12T09:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-12T14:00:00Z,2014-12-12T10:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-12T15:00:00Z,2014-12-12T11:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-12T16:00:00Z,2014-12-12T12:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-12T17:00:00Z,2014-12-12T13:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-12T18:00:00Z,2014-12-12T14:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-12T19:00:00Z,2014-12-12T15:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-12T20:00:00Z,2014-12-12T16:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-12T21:00:00Z,2014-12-12T17:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-12T22:00:00Z,2014-12-12T18:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-12T23:00:00Z,2014-12-12T19:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-13T00:00:00Z,2014-12-12T20:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-13T01:00:00Z,2014-12-12T21:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-13T02:00:00Z,2014-12-12T22:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-13T03:00:00Z,2014-12-12T23:38:47Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-13T04:00:00Z,2014-12-13T00:38:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
