TIMESTAMP,solar_TIMESTAMP,PRT_MIT_Qro_Js_1,PRT_MIT_Qro_Js_2,PRT_MIT_Qro_Js_3,PRT_MIT_Qro_Js_4
2001-01-01T01:00:00Z,2001-01-01T00:23:25Z,1490.939965007601,1526.7201572477722,787.5399831350396,1709.8098848674967
2001-01-01T02:00:00Z,2001-01-01T01:23:25Z,1435.7199663036104,1526.7201572477722,787.5399831350396,1799.799878807892
2001-01-01T03:00:00Z,2001-01-01T02:23:25Z,1325.279968895641,1431.3001474197877,726.9599844323466,1619.8198909271018
2001-01-01T04:00:00Z,2001-01-01T03:23:25Z,1159.6199727836877,1288.1701326778082,666.3799857296505,1439.8399030463122
2001-01-01T05:00:00Z,2001-01-01T04:23:25Z,1104.399974079703,1240.4601277638137,666.3799857296505,1439.8399030463122
2001-01-01T06:00:00Z,2001-01-01T05:23:25Z,1104.399974079703,1240.4601277638137,605.7999870269553,1349.849909105917
2001-01-01T07:00:00Z,2001-01-01T06:23:25Z,883.5199792637648,1097.330113021839,545.2199883242598,1169.8699212251338
2001-01-01T08:00:00Z,2001-01-01T07:23:25Z,938.7399779677493,1145.0401179358291,545.2199883242598,1169.8699212251338
2001-01-01T09:00:00Z,2001-01-01T08:23:25Z,883.5199792637648,1192.7501228498236,545.2199883242598,1169.8699212251338
2001-01-01T10:00:00Z,2001-01-01T09:23:25Z,828.2999805597742,1097.330113021839,545.2199883242598,1169.8699212251338
2001-01-01T11:00:00Z,2001-01-01T10:23:25Z,883.5199792637648,954.2000982798597,545.2199883242598,1169.8699212251338
2001-01-01T12:00:00Z,2001-01-01T11:23:25Z,828.2999805597742,858.7800884518707,484.6399896215646,1079.879927284739
2001-01-01T13:00:00Z,2001-01-01T12:23:25Z,883.5199792637648,1001.9101031938499,545.2199883242598,1169.8699212251338
2001-01-01T14:00:00Z,2001-01-01T13:23:25Z,1270.0599701916567,1335.8801375918028,666.3799857296505,1439.8399030463122
2001-01-01T15:00:00Z,2001-01-01T14:23:25Z,3313.199922239109,2242.3702309576684,1332.7599714592995,2969.6698000330257
2001-01-01T16:00:00Z,2001-01-01T15:23:25Z,8559.099799117696,6202.300638819069,3453.0599260536464,7559.159490993161
2001-01-01T17:00:00Z,2001-01-01T16:23:25Z,6902.499837998158,5343.520550367202,2907.8399377293863,6389.28956976802
2001-01-01T18:00:00Z,2001-01-01T17:23:25Z,3920.6199079829453,3005.730309581554,1756.8199623781732,3779.5797454965805
2001-01-01T19:00:00Z,2001-01-01T18:23:25Z,1932.6999546394773,1479.0101523337821,969.2799792431263,2069.7698606290764
2001-01-01T20:00:00Z,2001-01-01T19:23:25Z,1214.839971487672,1001.9101031938499,666.3799857296505,1439.8399030463122
2001-01-01T21:00:00Z,2001-01-01T20:23:25Z,938.7399779677493,811.0700835378806,545.2199883242598,1169.8699212251338
2001-01-01T22:00:00Z,2001-01-01T21:23:25Z,828.2999805597742,715.6500737098959,484.6399896215646,1079.879927284739
2001-01-01T23:00:00Z,2001-01-01T22:23:25Z,773.0799818557897,667.9400687959014,484.6399896215646,1079.879927284739
2001-01-02T00:00:00Z,2001-01-01T23:23:25Z,662.6399844478206,667.9400687959014,484.6399896215646,989.889933344344
2001-01-02T01:00:00Z,2001-01-02T00:23:00Z,662.6399844478206,667.9400687959014,484.6399896215646,989.889933344344
2001-01-02T02:00:00Z,2001-01-02T01:23:00Z,662.6399844478206,620.2300638819069,424.05999091886855,989.889933344344
2001-01-02T03:00:00Z,2001-01-02T02:23:00Z,607.419985743836,620.2300638819069,424.05999091886855,899.8999394039492
