TIMESTAMP,solar_TIMESTAMP,ITA_REN_Pab_Jt_1,ITA_REN_Pab_Jt_2,ITA_REN_Pab_Jt_3,ITA_REN_Pab_Jt_4,ITA_REN_Pab_Jt_5,ITA_REN_Lde_Jt_6,ITA_REN_Pce_Jt_7,ITA_REN_Pab_Jt_8
2016-01-01T23:30:00Z,2016-01-02T00:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T00:00:00Z,2016-01-02T00:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T00:30:00Z,2016-01-02T01:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T01:00:00Z,2016-01-02T01:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T01:30:00Z,2016-01-02T02:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T02:00:00Z,2016-01-02T02:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T02:30:00Z,2016-01-02T03:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T03:00:00Z,2016-01-02T03:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T03:30:00Z,2016-01-02T04:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T04:00:00Z,2016-01-02T04:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T04:30:00Z,2016-01-02T05:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T05:00:00Z,2016-01-02T05:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T05:30:00Z,2016-01-02T06:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T06:00:00Z,2016-01-02T06:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T06:30:00Z,2016-01-02T07:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T07:00:00Z,2016-01-02T07:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T07:30:00Z,2016-01-02T08:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T08:00:00Z,2016-01-02T08:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T08:30:00Z,2016-01-02T09:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T09:00:00Z,2016-01-02T09:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T09:30:00Z,2016-01-02T10:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T10:00:00Z,2016-01-02T10:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T10:30:00Z,2016-01-02T11:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T11:00:00Z,2016-01-02T11:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T11:30:00Z,2016-01-02T12:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T12:00:00Z,2016-01-02T12:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T12:30:00Z,2016-01-02T13:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T13:00:00Z,2016-01-02T13:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T13:30:00Z,2016-01-02T14:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T14:00:00Z,2016-01-02T14:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T14:30:00Z,2016-01-02T15:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T15:00:00Z,2016-01-02T15:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T15:30:00Z,2016-01-02T16:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T16:00:00Z,2016-01-02T16:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T16:30:00Z,2016-01-02T17:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T17:00:00Z,2016-01-02T17:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T17:30:00Z,2016-01-02T18:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T18:00:00Z,2016-01-02T18:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T18:30:00Z,2016-01-02T19:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T19:00:00Z,2016-01-02T19:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T19:30:00Z,2016-01-02T20:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T20:00:00Z,2016-01-02T20:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T20:30:00Z,2016-01-02T21:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T21:00:00Z,2016-01-02T21:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T21:30:00Z,2016-01-02T22:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T22:00:00Z,2016-01-02T22:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T22:30:00Z,2016-01-02T23:10:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T23:00:00Z,2016-01-02T23:40:44Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-02T23:30:00Z,2016-01-03T00:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T00:00:00Z,2016-01-03T00:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T00:30:00Z,2016-01-03T01:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T01:00:00Z,2016-01-03T01:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T01:30:00Z,2016-01-03T02:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T02:00:00Z,2016-01-03T02:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T02:30:00Z,2016-01-03T03:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T03:00:00Z,2016-01-03T03:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T03:30:00Z,2016-01-03T04:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T04:00:00Z,2016-01-03T04:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T04:30:00Z,2016-01-03T05:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T05:00:00Z,2016-01-03T05:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T05:30:00Z,2016-01-03T06:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T06:00:00Z,2016-01-03T06:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T06:30:00Z,2016-01-03T07:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T07:00:00Z,2016-01-03T07:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T07:30:00Z,2016-01-03T08:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T08:00:00Z,2016-01-03T08:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T08:30:00Z,2016-01-03T09:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T09:00:00Z,2016-01-03T09:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T09:30:00Z,2016-01-03T10:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T10:00:00Z,2016-01-03T10:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T10:30:00Z,2016-01-03T11:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T11:00:00Z,2016-01-03T11:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T11:30:00Z,2016-01-03T12:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T12:00:00Z,2016-01-03T12:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T12:30:00Z,2016-01-03T13:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T13:00:00Z,2016-01-03T13:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T13:30:00Z,2016-01-03T14:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T14:00:00Z,2016-01-03T14:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T14:30:00Z,2016-01-03T15:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T15:00:00Z,2016-01-03T15:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T15:30:00Z,2016-01-03T16:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T16:00:00Z,2016-01-03T16:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T16:30:00Z,2016-01-03T17:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T17:00:00Z,2016-01-03T17:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T17:30:00Z,2016-01-03T18:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T18:00:00Z,2016-01-03T18:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T18:30:00Z,2016-01-03T19:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T19:00:00Z,2016-01-03T19:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T19:30:00Z,2016-01-03T20:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T20:00:00Z,2016-01-03T20:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T20:30:00Z,2016-01-03T21:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T21:00:00Z,2016-01-03T21:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T21:30:00Z,2016-01-03T22:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T22:00:00Z,2016-01-03T22:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T22:30:00Z,2016-01-03T23:10:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T23:00:00Z,2016-01-03T23:40:19Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-03T23:30:00Z,2016-01-04T00:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T00:00:00Z,2016-01-04T00:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T00:30:00Z,2016-01-04T01:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T01:00:00Z,2016-01-04T01:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T01:30:00Z,2016-01-04T02:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T02:00:00Z,2016-01-04T02:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T02:30:00Z,2016-01-04T03:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T03:00:00Z,2016-01-04T03:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T03:30:00Z,2016-01-04T04:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T04:00:00Z,2016-01-04T04:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T04:30:00Z,2016-01-04T05:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T05:00:00Z,2016-01-04T05:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T05:30:00Z,2016-01-04T06:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T06:00:00Z,2016-01-04T06:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T06:30:00Z,2016-01-04T07:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T07:00:00Z,2016-01-04T07:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T07:30:00Z,2016-01-04T08:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T08:00:00Z,2016-01-04T08:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T08:30:00Z,2016-01-04T09:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T09:00:00Z,2016-01-04T09:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T09:30:00Z,2016-01-04T10:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T10:00:00Z,2016-01-04T10:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T10:30:00Z,2016-01-04T11:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T11:00:00Z,2016-01-04T11:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T11:30:00Z,2016-01-04T12:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T12:00:00Z,2016-01-04T12:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T12:30:00Z,2016-01-04T13:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T13:00:00Z,2016-01-04T13:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T13:30:00Z,2016-01-04T14:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T14:00:00Z,2016-01-04T14:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T14:30:00Z,2016-01-04T15:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T15:00:00Z,2016-01-04T15:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T15:30:00Z,2016-01-04T16:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T16:00:00Z,2016-01-04T16:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T16:30:00Z,2016-01-04T17:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T17:00:00Z,2016-01-04T17:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T17:30:00Z,2016-01-04T18:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T18:00:00Z,2016-01-04T18:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T18:30:00Z,2016-01-04T19:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T19:00:00Z,2016-01-04T19:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T19:30:00Z,2016-01-04T20:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T20:00:00Z,2016-01-04T20:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T20:30:00Z,2016-01-04T21:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T21:00:00Z,2016-01-04T21:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T21:30:00Z,2016-01-04T22:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T22:00:00Z,2016-01-04T22:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T22:30:00Z,2016-01-04T23:09:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T23:00:00Z,2016-01-04T23:39:55Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-04T23:30:00Z,2016-01-05T00:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T00:00:00Z,2016-01-05T00:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T00:30:00Z,2016-01-05T01:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T01:00:00Z,2016-01-05T01:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T01:30:00Z,2016-01-05T02:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T02:00:00Z,2016-01-05T02:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T02:30:00Z,2016-01-05T03:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T03:00:00Z,2016-01-05T03:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T03:30:00Z,2016-01-05T04:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T04:00:00Z,2016-01-05T04:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T04:30:00Z,2016-01-05T05:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T05:00:00Z,2016-01-05T05:39:30Z,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-05T05:30:00Z,2016-01-05T06:09:30Z,NA,NA,NA,NA,NA,NA,NA,NA
