TIMESTAMP,TIMESTAMP_solar,USA_TNO_Aru_Js_1,USA_TNO_Aru_Js_2,USA_TNO_Aru_Js_3,USA_TNO_Ltu_Js_4,USA_TNO_Qal_Js_5,USA_TNO_Qal_Js_6,USA_TNO_Qpr_Js_7,USA_TNO_Qpr_Js_8,USA_TNO_Qru_Js_9
1998-04-03T13:00:00Z,1998-04-03T07:19:51Z,,,,,,,,,
1998-04-03T14:00:00Z,1998-04-03T08:19:51Z,,,,,,,,,
1998-04-03T15:00:00Z,1998-04-03T09:19:51Z,,,,,,,,,
1998-04-03T16:00:00Z,1998-04-03T10:19:51Z,,,,,,,,,
1998-04-03T17:00:00Z,1998-04-03T11:19:51Z,,,,,,,,,
1998-04-03T18:00:00Z,1998-04-03T12:19:51Z,,,,,,,,,
1998-04-03T19:00:00Z,1998-04-03T13:19:51Z,,,,,,,,,
1998-04-03T20:00:00Z,1998-04-03T14:19:51Z,,,,,,,,,
1998-04-03T21:00:00Z,1998-04-03T15:19:51Z,,,,,,,,,
1998-04-03T22:00:00Z,1998-04-03T16:19:51Z,,,,,,,,,
1998-04-03T23:00:00Z,1998-04-03T17:19:51Z,,,,,,,,,
1998-04-04T00:00:00Z,1998-04-03T18:19:51Z,,,,,,,,,
1998-04-04T01:00:00Z,1998-04-03T19:19:51Z,,,,,,,,,
1998-04-04T02:00:00Z,1998-04-03T20:19:51Z,,,,,,,,,
1998-04-04T03:00:00Z,1998-04-03T21:19:51Z,,,,,,,,,
1998-04-04T04:00:00Z,1998-04-03T22:19:51Z,,,,,,,,,
1998-04-04T05:00:00Z,1998-04-03T23:19:51Z,,,,,,,,,
1998-04-04T06:00:00Z,1998-04-04T00:20:09Z,,,,,,,,,
1998-04-04T07:00:00Z,1998-04-04T01:20:09Z,,,,,,,,,
1998-04-04T08:00:00Z,1998-04-04T02:20:09Z,,,,,,,,,
1998-04-04T09:00:00Z,1998-04-04T03:20:09Z,,,,,,,,,
1998-04-04T10:00:00Z,1998-04-04T04:20:09Z,,,,,,,,,
1998-04-04T11:00:00Z,1998-04-04T05:20:09Z,,,,,,,,,
1998-04-04T12:00:00Z,1998-04-04T06:20:09Z,,,,,,,,,
1998-04-04T13:00:00Z,1998-04-04T07:20:09Z,,,,,,,,,
1998-04-04T14:00:00Z,1998-04-04T08:20:09Z,,,,,,,,,
1998-04-04T15:00:00Z,1998-04-04T09:20:09Z,,,,,,,,,
1998-04-04T16:00:00Z,1998-04-04T10:20:09Z,,,,,,,,,
1998-04-04T17:00:00Z,1998-04-04T11:20:09Z,,,,,,,,,
1998-04-04T18:00:00Z,1998-04-04T12:20:09Z,,,,,,,,,
1998-04-04T19:00:00Z,1998-04-04T13:20:09Z,,,,,,,,,
1998-04-04T20:00:00Z,1998-04-04T14:20:09Z,,,,,,,,,
1998-04-04T21:00:00Z,1998-04-04T15:20:09Z,,,,,,,,,
1998-04-04T22:00:00Z,1998-04-04T16:20:09Z,,,,,,,,,
1998-04-04T23:00:00Z,1998-04-04T17:20:09Z,,,,,,,,,
1998-04-05T00:00:00Z,1998-04-04T18:20:09Z,,,,,,,,,
1998-04-05T01:00:00Z,1998-04-04T19:20:09Z,,,,,,,,,
1998-04-05T02:00:00Z,1998-04-04T20:20:09Z,,,,,,,,,
1998-04-05T03:00:00Z,1998-04-04T21:20:09Z,,,,,,,,,
1998-04-05T04:00:00Z,1998-04-04T22:20:09Z,,,,,,,,,
