TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,ppfd_in,vpd,ext_rad
2015-05-06T21:00:00Z,2015-05-07T00:18:07Z,14.17,98.37,0,0,0.026383558988799433,0
2015-05-06T21:30:00Z,2015-05-07T00:48:07Z,14.3,98.47,0,0,0.02497450305596193,0
2015-05-06T22:00:00Z,2015-05-07T01:18:07Z,14.47,98.47,0,0,0.025250895080981328,0
2015-05-06T22:30:00Z,2015-05-07T01:48:07Z,14.54,98.45,0,0,0.025697054682007333,0
2015-05-06T23:00:00Z,2015-05-07T02:18:07Z,14.72,98.49,0,0,0.02532676550116019,0
2015-05-06T23:30:00Z,2015-05-07T02:48:07Z,14.85,98.51,0,0,0.025201857322393342,0
2015-05-07T00:00:00Z,2015-05-07T03:18:07Z,14.96,98.45,0,0,0.02640328528923677,0
2015-05-07T00:30:00Z,2015-05-07T03:48:07Z,15.04,98.41,0,0,0.027224610775941026,0
2015-05-07T01:00:00Z,2015-05-07T04:18:07Z,15.13,98.43,0,0,0.027038373384562157,0
2015-05-07T01:30:00Z,2015-05-07T04:48:07Z,15.12,98.41,0,0,0.027365193784031346,0
2015-05-07T02:00:00Z,2015-05-07T05:18:07Z,15.11,98.38,0,0,0.02786357842159035,0
2015-05-07T02:30:00Z,2015-05-07T05:48:07Z,15.19,98.41,0,0,0.02748872477056538,0
2015-05-07T03:00:00Z,2015-05-07T06:18:07Z,15.17,98.39,0.11,0.23254,0.027798706035931774,0
2015-05-07T03:30:00Z,2015-05-07T06:48:07Z,15.13,98.39,8,16.912,0.027727249139582966,145.0347494560113
2015-05-07T04:00:00Z,2015-05-07T07:18:07Z,15.18,98.45,40.87,86.39917999999999,0.026779952118757566,297.3241244647737
2015-05-07T04:30:00Z,2015-05-07T07:48:07Z,15.2,98.56,90.44,191.19016,0.024911467326465795,442.3721293845567
2015-05-07T05:00:00Z,2015-05-07T08:18:07Z,15.36,98.71,157.55,333.0607,0.02254722266376579,577.6967223882814
2015-05-07T05:30:00Z,2015-05-07T08:48:07Z,15.62,98.8,240.52,508.45928,0.02132703548122427,700.9822492006997
2015-05-07T06:00:00Z,2015-05-07T09:18:07Z,16.09,98.73,334.86,707.89404,0.023260182666928537,810.1190681282004
2015-05-07T06:30:00Z,2015-05-07T09:48:07Z,17.64,95.17,625.44,1322.1801600000001,0.09760717658601567,903.2396497791547
2015-05-07T07:00:00Z,2015-05-07T10:18:07Z,19.78,83.74,758.07,1602.55998,0.37565261795238797,978.7505337465802
2015-05-07T07:30:00Z,2015-05-07T10:48:07Z,21.4,74.46,806.48,1704.89872,0.6519965027110698,1035.3595954210914
2015-05-07T08:00:00Z,2015-05-07T11:18:07Z,22.71,69.21,844.52,1785.3152799999998,0.8513255225914724,1072.0981563550924
2015-05-07T08:30:00Z,2015-05-07T11:48:07Z,23.97,65.72,860.96,1820.06944,1.0226652534846015,1088.337559836951
2015-05-07T09:00:00Z,2015-05-07T12:18:07Z,24.95,57.69,865.4,1829.4555999999998,1.3383992593310567,1083.799928044464
2015-05-07T09:30:00Z,2015-05-07T12:48:07Z,25.74,51.13,850.45,1797.8513,1.6201718668238436,1058.56291671185
2015-05-07T10:00:00Z,2015-05-07T13:18:07Z,25.9,49.25,811.96,1716.48344,1.6985037966392778,1013.0583859580795
2015-05-07T10:30:00Z,2015-05-07T13:48:07Z,26.31,46.72,757.78,1601.9469199999999,1.8268712368258622,948.0650100300962
2015-05-07T11:00:00Z,2015-05-07T14:18:07Z,26.65,44.31,683.61,1445.1515399999998,1.9481131254983528,864.6949524312081
2015-05-07T11:30:00Z,2015-05-07T14:48:07Z,26.49,54.46,600.2,1268.8228,1.5781267187474193,764.3748344559389
2015-05-07T12:00:00Z,2015-05-07T15:18:07Z,25.63,60.26,508.03,1073.97542,1.3089313207883575,648.8213228034512
2015-05-07T12:30:00Z,2015-05-07T15:48:07Z,24.71,63.73,393.69,832.2606599999999,1.131033286236177,520.0117540170844
2015-05-07T13:00:00Z,2015-05-07T16:18:07Z,24.03,68.3,283.53,599.3824199999999,0.9491080631342727,380.15029842777057
2015-05-07T13:30:00Z,2015-05-07T16:48:07Z,22.93,73.98,159.5,337.183,0.7290874915058142,231.63024260227766
2015-05-07T14:00:00Z,2015-05-07T17:18:07Z,22.08,77.66,26.16,55.30224,0.5944893137420644,76.9930357193433
2015-05-07T14:30:00Z,2015-05-07T17:48:07Z,21.01,86.82,6.42,13.571879999999998,0.3285125305586834,0
2015-05-07T15:00:00Z,2015-05-07T18:18:07Z,20.41,91.82,0,0,0.1964926856498245,0
2015-05-07T15:30:00Z,2015-05-07T18:48:07Z,19.97,94.16,0,0,0.13651884158904484,0
2015-05-07T16:00:00Z,2015-05-07T19:18:07Z,19.66,94.88,0,0,0.11740918765154768,0
2015-05-07T16:30:00Z,2015-05-07T19:48:07Z,19.46,94.85,0,0,0.11663877708009474,0
2015-05-07T17:00:00Z,2015-05-07T20:18:07Z,19.18,94.85,0,0,0.11462350727273393,0
