sp_basal_area_perc,sp_leaf_habit,sp_name,sp_ntrees,si_code
57,evergreen,Pinus sylvestris,22,SWE_NOR_ST4_BEF
40,evergreen,Picea abies,18,SWE_NOR_ST4_BEF
