sp_basal_area_perc,sp_leaf_habit,sp_name,sp_ntrees,si_code
9,cold deciduous,Acer rubrum,2,USA_TNP
14,cold deciduous,Cornus florida,1,USA_TNP
1,cold deciduous,Fagus sylvatica,1,USA_TNP
5,cold deciduous,Liriodendron tulipifera,1,USA_TNP
52,evergreen,Pinus taeda,4,USA_TNP
