TIMESTAMP,solar_TIMESTAMP,AUT_PAT_FOR_Pce_Js_1,AUT_PAT_FOR_Pce_Js_2,AUT_PAT_FOR_Pce_Js_3
2007-04-20T23:00:00Z,2007-04-20T23:47:02Z,160.3475045522189,65.39537478337903,114.96063493970547
2007-04-20T23:30:00Z,2007-04-21T00:17:14Z,135.7334320266011,43.05011025651411,80.33405385103977
2007-04-21T00:00:00Z,2007-04-21T00:47:14Z,112.01852862292282,43.05011025651411,64.04791863685821
2007-04-21T00:30:00Z,2007-04-21T01:17:14Z,89.29642962598527,32.64641241537916,48.561024008029726
2007-04-21T01:00:00Z,2007-04-21T01:47:14Z,67.69491073239651,22.866232993430344,48.561024008029726
2007-04-21T01:30:00Z,2007-04-21T02:17:14Z,47.39978658065273,13.854356306779936,48.561024008029726
2007-04-21T02:00:00Z,2007-04-21T02:47:14Z,47.39978658065273,13.854356306779936,34.007043446344625
2007-04-21T02:30:00Z,2007-04-21T03:17:14Z,47.39978658065273,13.854356306779936,20.600736138318258
2007-04-21T03:00:00Z,2007-04-21T03:47:14Z,28.709775124620332,13.854356306779936,20.600736138318258
2007-04-21T03:30:00Z,2007-04-21T04:17:14Z,28.709775124620332,13.854356306779936,20.600736138318258
2007-04-21T04:00:00Z,2007-04-21T04:47:14Z,12.203527871485843,5.890875084826774,8.75787194946696
2007-04-21T04:30:00Z,2007-04-21T05:17:14Z,12.203527871485843,5.890875084826774,0
2007-04-21T05:00:00Z,2007-04-21T05:47:14Z,0,5.890875084826774,0
2007-04-21T05:30:00Z,2007-04-21T06:17:14Z,0,0,0
2007-04-21T06:00:00Z,2007-04-21T06:47:14Z,0,5.890875084826774,0
2007-04-21T06:30:00Z,2007-04-21T07:17:14Z,12.203527871485843,0,8.75787194946696
2007-04-21T07:00:00Z,2007-04-21T07:47:14Z,28.709775124620332,5.890875084826774,8.75787194946696
2007-04-21T07:30:00Z,2007-04-21T08:17:14Z,67.69491073239651,22.866232993430344,8.75787194946696
2007-04-21T08:00:00Z,2007-04-21T08:47:14Z,212.00128577949985,65.39537478337903,34.007043446344625
2007-04-21T08:30:00Z,2007-04-21T09:17:14Z,575.304429208592,128.21824859267156,133.1819157890062
2007-04-21T09:00:00Z,2007-04-21T09:47:14Z,1295.2182724802503,228.8893480733169,341.4141068986317
2007-04-21T09:30:00Z,2007-04-21T10:17:14Z,2219.3228818288912,358.45270511873434,587.3238983794874
2007-04-21T10:00:00Z,2007-04-21T10:47:14Z,2910.3061590653942,482.86280161291614,835.8031710169429
2007-04-21T10:30:00Z,2007-04-21T11:17:14Z,3492.0260996657366,558.2557456464864,1014.7924260920611
2007-04-21T11:00:00Z,2007-04-21T11:47:14Z,3862.828065135604,616.7822107908987,1139.888634113181
2007-04-21T11:30:00Z,2007-04-21T12:17:14Z,4184.71868460011,656.7280894772387,1269.555605871107
2007-04-21T12:00:00Z,2007-04-21T12:47:14Z,4586.914455523439,718.0234571321931,1438.044728730724
2007-04-21T12:30:00Z,2007-04-21T13:17:14Z,5224.020059170544,802.2952420145352,1649.637927044112
2007-04-21T13:00:00Z,2007-04-21T13:47:14Z,5596.202862687871,889.4507719630346,1796.432707694398
2007-04-21T13:30:00Z,2007-04-21T14:17:14Z,5981.931727458557,979.4744467617668,1986.436252259145
2007-04-21T14:00:00Z,2007-04-21T14:47:14Z,6220.055224124446,1119.8774516103194,2183.758752573859
2007-04-21T14:30:00Z,2007-04-21T15:17:14Z,6140.114957874376,1119.8774516103194,2264.761475743023
2007-04-21T15:00:00Z,2007-04-21T15:47:14Z,6060.741709210527,1143.9047718388556,2264.761475743023
2007-04-21T15:30:00Z,2007-04-21T16:17:14Z,5825.986799724578,1168.111539366788,2224.111029340944
2007-04-21T16:00:00Z,2007-04-21T16:47:14Z,5371.2949590382,1168.111539366788,2103.944765888555
2007-04-21T16:30:00Z,2007-04-21T17:17:14Z,5078.845530040015,1143.9047718388556,1947.8532467439288
2007-04-21T17:00:00Z,2007-04-21T17:47:14Z,4518.653282605275,1096.0294116276386,1796.432707694398
2007-04-21T17:30:00Z,2007-04-21T18:17:14Z,3926.2578289086264,1025.559699573039,1577.9637366311913
2007-04-21T18:00:00Z,2007-04-21T18:47:14Z,3253.9754308040065,911.6881819574858,1336.0975532450213
2007-04-21T18:30:00Z,2007-04-21T19:17:14Z,2529.2481611159105,718.0234571321931,1108.1850514444025
2007-04-21T19:00:00Z,2007-04-21T19:47:14Z,1876.9036691571218,539.1220698771273,894.3027388754651
2007-04-21T19:30:00Z,2007-04-21T20:17:14Z,1337.4555073051922,392.9931474265487,667.4178113485024
2007-04-21T20:00:00Z,2007-04-21T20:47:14Z,934.2369275287832,275.80069253483265,510.05975932733367
2007-04-21T20:30:00Z,2007-04-21T21:17:14Z,678.0966537802618,198.8111456074101,387.86463287199797
2007-04-21T21:00:00Z,2007-04-21T21:47:14Z,509.2350140038894,155.62142213135982,296.43714830814747
2007-04-21T21:30:00Z,2007-04-21T22:17:14Z,383.3493835310174,114.96883832944725,231.9088746496535
2007-04-21T22:00:00Z,2007-04-21T22:47:14Z,266.5618740659166,89.45371509538172,171.2326830409356
2007-04-21T22:30:00Z,2007-04-21T23:17:14Z,212.00128577949985,65.39537478337903,114.96063493970547
2007-04-21T23:00:00Z,2007-04-21T23:47:14Z,160.3475045522189,43.05011025651411,64.04791863685821
2007-04-21T23:30:00Z,2007-04-22T00:17:25Z,112.01852862292282,32.64641241537916,34.007043446344625
2007-04-22T00:00:00Z,2007-04-22T00:47:25Z,67.69491073239651,22.866232993430344,20.600736138318258
2007-04-22T00:30:00Z,2007-04-22T01:17:25Z,47.39978658065273,13.854356306779936,8.75787194946696
2007-04-22T01:00:00Z,2007-04-22T01:47:25Z,28.709775124620332,5.890875084826774,8.75787194946696
2007-04-22T01:30:00Z,2007-04-22T02:17:25Z,28.709775124620332,5.890875084826774,0
2007-04-22T02:00:00Z,2007-04-22T02:47:25Z,12.203527871485843,5.890875084826774,8.75787194946696
2007-04-22T02:30:00Z,2007-04-22T03:17:25Z,12.203527871485843,0,8.75787194946696
2007-04-22T03:00:00Z,2007-04-22T03:47:25Z,0,0,8.75787194946696
