TIMESTAMP,solar_TIMESTAMP,AUS_BRI_BRI_Ncu_Jt_1,AUS_BRI_BRI_Ncu_Jt_2,AUS_BRI_BRI_Ncu_Jt_3,AUS_BRI_BRI_Ncu_Jt_4,AUS_BRI_BRI_Ncu_Jt_5
2009-09-10T06:30:00Z,2009-09-10T16:17:58Z,,,,,
2009-09-10T06:59:59Z,2009-09-10T16:47:57Z,,,,,
2009-09-10T07:30:00Z,2009-09-10T17:17:58Z,,,,,
2009-09-10T08:00:00Z,2009-09-10T17:47:58Z,,,,,
2009-09-10T08:29:59Z,2009-09-10T18:17:57Z,,,,,
2009-09-10T09:00:00Z,2009-09-10T18:47:58Z,,,,,
2009-09-10T09:30:00Z,2009-09-10T19:17:58Z,,,,,
2009-09-10T09:59:59Z,2009-09-10T19:47:57Z,,,,,
2009-09-10T10:30:00Z,2009-09-10T20:17:58Z,,,,,
2009-09-10T11:00:00Z,2009-09-10T20:47:58Z,,,,,
2009-09-10T11:29:59Z,2009-09-10T21:17:57Z,,,,,
2009-09-10T12:00:00Z,2009-09-10T21:47:58Z,,,,,
2009-09-10T12:30:00Z,2009-09-10T22:17:58Z,,,,,
2009-09-10T12:59:59Z,2009-09-10T22:47:57Z,,,,,
2009-09-10T13:30:00Z,2009-09-10T23:17:58Z,,,,,
2009-09-10T14:00:00Z,2009-09-10T23:47:58Z,,,,,
2009-09-10T14:29:59Z,2009-09-11T00:18:19Z,,,,,
2009-09-10T15:00:00Z,2009-09-11T00:48:20Z,,,,,
2009-09-10T15:30:00Z,2009-09-11T01:18:20Z,,,,,
2009-09-10T15:59:59Z,2009-09-11T01:48:19Z,,,,,
2009-09-10T16:30:00Z,2009-09-11T02:18:20Z,,,,,
2009-09-10T17:00:00Z,2009-09-11T02:48:20Z,,,,,
2009-09-10T17:29:59Z,2009-09-11T03:18:19Z,,,,,
2009-09-10T18:00:00Z,2009-09-11T03:48:20Z,,,,,
2009-09-10T18:30:00Z,2009-09-11T04:18:20Z,,,,,
2009-09-10T18:59:59Z,2009-09-11T04:48:19Z,,,,,
2009-09-10T19:30:00Z,2009-09-11T05:18:20Z,,,,,
