TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,precip,ppfd_in,ext_rad
2008-06-29T17:00:00Z,2008-06-29T13:55:23Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-06-29T17:30:00Z,2008-06-29T14:25:23Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-29T18:00:00Z,2008-06-29T14:55:23Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-06-29T18:30:00Z,2008-06-29T15:25:23Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-29T19:00:00Z,2008-06-29T15:55:23Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-06-29T19:30:00Z,2008-06-29T16:25:23Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-29T20:00:00Z,2008-06-29T16:55:23Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-06-29T20:30:00Z,2008-06-29T17:25:23Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-29T21:00:00Z,2008-06-29T17:55:23Z,,,,,,CALCULATED,CALCULATED
2008-06-29T21:30:00Z,2008-06-29T18:25:23Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-29T22:00:00Z,2008-06-29T18:55:23Z,,,,,,CALCULATED,CALCULATED
2008-06-29T22:30:00Z,2008-06-29T19:25:23Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-29T23:00:00Z,2008-06-29T19:55:23Z,,,,,,CALCULATED,CALCULATED
2008-06-29T23:30:00Z,2008-06-29T20:25:23Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T00:00:00Z,2008-06-29T20:55:23Z,,,,,,CALCULATED,CALCULATED
2008-06-30T00:30:00Z,2008-06-29T21:25:23Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T01:00:00Z,2008-06-29T21:55:23Z,,,,,,CALCULATED,CALCULATED
2008-06-30T01:30:00Z,2008-06-29T22:25:23Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T02:00:00Z,2008-06-29T22:55:23Z,,,,,,CALCULATED,CALCULATED
2008-06-30T02:30:00Z,2008-06-29T23:25:23Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T03:00:00Z,2008-06-29T23:55:23Z,,,,,,CALCULATED,CALCULATED
2008-06-30T03:30:00Z,2008-06-30T00:25:13Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T04:00:00Z,2008-06-30T00:55:13Z,,,,,,CALCULATED,CALCULATED
2008-06-30T04:30:00Z,2008-06-30T01:25:13Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T05:00:00Z,2008-06-30T01:55:13Z,,,,,,CALCULATED,CALCULATED
2008-06-30T05:30:00Z,2008-06-30T02:25:13Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T06:00:00Z,2008-06-30T02:55:13Z,,,,,,CALCULATED,CALCULATED
2008-06-30T06:30:00Z,2008-06-30T03:25:13Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T07:00:00Z,2008-06-30T03:55:13Z,,,,,,CALCULATED,CALCULATED
2008-06-30T07:30:00Z,2008-06-30T04:25:13Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T08:00:00Z,2008-06-30T04:55:13Z,,,,,,CALCULATED,CALCULATED
2008-06-30T08:30:00Z,2008-06-30T05:25:13Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T09:00:00Z,2008-06-30T05:55:13Z,,,,,,CALCULATED,CALCULATED
2008-06-30T09:30:00Z,2008-06-30T06:25:13Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T10:00:00Z,2008-06-30T06:55:13Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-06-30T10:30:00Z,2008-06-30T07:25:13Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T11:00:00Z,2008-06-30T07:55:13Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-06-30T11:30:00Z,2008-06-30T08:25:13Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T12:00:00Z,2008-06-30T08:55:13Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-06-30T12:30:00Z,2008-06-30T09:25:13Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T13:00:00Z,2008-06-30T09:55:13Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-06-30T13:30:00Z,2008-06-30T10:25:13Z,,,OUT_WARN,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T14:00:00Z,2008-06-30T10:55:13Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-06-30T14:30:00Z,2008-06-30T11:25:13Z,,,OUT_WARN,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T15:00:00Z,2008-06-30T11:55:13Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-06-30T15:30:00Z,2008-06-30T12:25:13Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T16:00:00Z,2008-06-30T12:55:13Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-06-30T16:30:00Z,2008-06-30T13:25:13Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T17:00:00Z,2008-06-30T13:55:13Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-06-30T17:30:00Z,2008-06-30T14:25:13Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T18:00:00Z,2008-06-30T14:55:13Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-06-30T18:30:00Z,2008-06-30T15:25:13Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T19:00:00Z,2008-06-30T15:55:13Z,,,,OUT_WARN,,CALCULATED,CALCULATED
2008-06-30T19:30:00Z,2008-06-30T16:25:13Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T20:00:00Z,2008-06-30T16:55:13Z,,,,,,CALCULATED,CALCULATED
2008-06-30T20:30:00Z,2008-06-30T17:25:13Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T21:00:00Z,2008-06-30T17:55:13Z,,,,NA_PRESENT,,CALCULATED,CALCULATED
2008-06-30T21:30:00Z,2008-06-30T18:25:13Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T22:00:00Z,2008-06-30T18:55:13Z,,,,,,CALCULATED,CALCULATED
2008-06-30T22:30:00Z,2008-06-30T19:25:13Z,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED
2008-06-30T23:00:00Z,2008-06-30T19:55:13Z,,,,,,CALCULATED,CALCULATED
