TIMESTAMP,TIMESTAMP_solar,ta,rh,vpd,sw_in,netrad,ws,precip,swc_shallow,ppfd_in,ext_rad
2013-07-02T17:00:00Z,2013-07-02T23:46:57Z,22.92666667,98.21666667,0.049879841,0,-27,0.2,0.05,0.38,0,1077.9860074396722
2013-07-02T18:00:00Z,2013-07-03T00:46:48Z,22.78083333,98.24166667,0.048749783,0,-19.16666667,0.333333333,0.025,0.38,0,904.4987940889481
2013-07-02T19:00:00Z,2013-07-03T01:46:48Z,22.8725,98.28333333,0.047859502,0,-14.33333333,0.4,0,0.38,0,668.119970411456
2013-07-02T20:00:00Z,2013-07-03T02:46:48Z,22.8975,98.325,0.046767658,0,-18,0.383333333,0,0.381,0,384.9543063034947
2013-07-02T21:00:00Z,2013-07-03T03:46:48Z,22.88,98.225,0.049513223,0,-16.66666667,0.316666667,0,0.38,0,74.29423311390522
2013-07-02T22:00:00Z,2013-07-03T04:46:48Z,22.9625,97.88333333,0.059334801,0,-19.66666667,0.283333333,0,0.381,0,0
2013-07-02T23:00:00Z,2013-07-03T05:46:48Z,22.8,98.41666667,0.043958817,0.333333333,-25.16666667,0.25,0,0.38299999999999995,0.704666665962,0
2013-07-03T00:00:00Z,2013-07-03T06:46:48Z,23.10416667,97.86666667,0.060669676,52.83333333,11.33333333,0.15,0,0.382,111.68966665962,0
2013-07-03T01:00:00Z,2013-07-03T07:46:48Z,24.89083333,89.95,0.316581653,222.3333333,150.1666667,0.6,0,0.381,470.01266659619995,0
2013-07-03T02:00:00Z,2013-07-03T08:46:48Z,27.41333333,79.95,0.73526206,430.3333333,320,0.9,0,0.381,909.7246665961999,0
2013-07-03T03:00:00Z,2013-07-03T09:46:48Z,27.43416667,80,0.7322222,426.5,320.3333333,0.85,0,0.381,901.621,0
2013-07-03T04:00:00Z,2013-07-03T10:46:48Z,29.54,71.34166667,1.186206688,624.3333333,466.6666667,0.983333333,0,0.382,1319.8406665962,0
2013-07-03T05:00:00Z,2013-07-03T11:46:48Z,31.03666667,65.69166667,1.544609581,640,467.8333333,1.083333333,0,0.38299999999999995,1352.96,0
2013-07-03T06:00:00Z,2013-07-03T12:46:48Z,31.79,62.75833333,1.751316644,573.3333333,402.1666667,0.916666667,0,0.38,1212.0266665962001,0
2013-07-03T07:00:00Z,2013-07-03T13:46:48Z,32.44416667,60.55833333,1.923778736,547.6666667,371.8333333,0.85,0,0.377,1157.7673334037997,0
