TIMESTAMP,solar_TIMESTAMP,AUS_KAR_Evi_Js_1,AUS_KAR_Evi_Js_2,AUS_KAR_Evi_Js_3,AUS_KAR_Evi_Js_4,AUS_KAR_Evi_Js_5,AUS_KAR_Evi_Js_6,AUS_KAR_Evi_Js_7,AUS_KAR_Evi_Js_8,AUS_KAR_Evi_Js_9,AUS_KAR_Evi_Js_10,AUS_KAR_Evi_Js_11,AUS_KAR_Evi_Js_12,AUS_KAR_Evi_Js_13,AUS_KAR_Evi_Js_14
2008-06-07T21:00:00Z,2008-06-08T04:53:05Z,59.66801640695237,108.01169408239184,356.42819990838143,26.436730762958167,625.715940099379,230.66636709603176,1336.2802550723009,340.8899789331394,64.93784504554995,1489.6229089181736,506.58899703608427,789.8462200814763,1117.0654374961766,1310.4308527679764
2008-06-07T22:00:00Z,2008-06-08T05:53:05Z,56.955833843000015,129.36405405046358,222.9937849680605,29.338966675059375,604.5347951736733,207.1358429096105,1185.1409126499268,360.6631795673123,64.46897973836218,1455.7557739628721,533.5259762952929,712.5227204598915,1177.4488574532904,1131.4571348034071
2008-06-07T23:00:00Z,2008-06-08T06:53:05Z,100.80278529356333,167.38167057898212,1027.3696083653635,40.42023106671849,737.8514132354701,407.4814488397108,4157.54798028996,450.8289744591404,81.8169961043215,1834.0415951454158,608.2543703692265,827.420519523137,2968.4623339296786,1619.3443933643555
2008-06-08T00:00:00Z,2008-06-08T07:53:05Z,315.06520784580175,354.865806884002,2020.2121195314776,132.50026136883858,1664.8379911604766,821.9548248662455,7367.956081399683,1334.2955787939802,233.72935563326237,4960.005580761257,1770.0202177744532,3230.828433085498,10812.944847016443,3795.2234987555225
2008-06-08T01:00:00Z,2008-06-08T08:53:05Z,493.61722663933415,563.1815138895793,2229.0332095793283,233.0231597788893,1844.2547481782192,936.2459423431472,8266.105966829215,1935.4008780728338,370.4035926785901,6117.743887804946,2418.2455896250854,6263.1713947065045,11965.231585256864,4708.47979932815
2008-06-08T02:00:00Z,2008-06-08T09:53:05Z,601.6524987701038,704.3154053858586,2617.274586383092,296.34467058837,1906.5522332538235,947.0027533997977,8552.749547285439,2140.2512366428705,406.03735602488354,6674.664366793572,2816.21773480952,6735.4786452181,13583.252480145466,4476.7946438808685
2008-06-08T03:00:00Z,2008-06-08T10:53:05Z,662.6766064590325,740.7706541118348,2731.1084657954516,336.4482941010411,1951.4064225082586,959.1041658385266,8608.341029555731,2223.2986793063983,406.7406539856667,6856.903924018275,3117.738115549704,6740.65126716084,13791.442009730936,4603.056924362718
2008-06-08T04:00:00Z,2008-06-08T11:53:05Z,701.551223209017,749.1032823920578,2790.6639391303984,340.4058885266336,1922.7495793734802,961.1210679116472,9152.095215512085,2200.36176657076,416.8212580902093,7054.284953773588,3171.6120740681163,6910.712452021729,14190.35740475039,4530.731928746898
2008-06-08T05:00:00Z,2008-06-08T12:53:05Z,728.6730488485406,780.3506384428947,2789.15620562824,437.2350321394648,1928.9793278810423,973.5586306958998,9240.69414038037,2152.9060850487444,417.2901233973994,7130.992771327716,3235.044315549479,7003.8341201452495,14352.613896817871,4381.178547981984
2008-06-08T06:00:00Z,2008-06-08T13:53:05Z,724.6047750026121,780.8714277104082,2832.88047719061,462.5636364632551,1986.2930141505994,974.2309313869418,8922.780351147116,1880.8268443225224,405.09962541050714,7232.878192530572,2902.2422814760293,7039.889968021219,14417.67901116026,4652.090819695474
