TIMESTAMP,solar_TIMESTAMP,SWE_SVA_MIX_NON_Psy_Jt_1,SWE_SVA_MIX_NON_Psy_Jt_2,SWE_SVA_MIX_NON_Psy_Jt_3,SWE_SVA_MIX_NON_Psy_Jt_4,SWE_SVA_MIX_NON_Psy_Jt_5,SWE_SVA_MIX_NON_Psy_Jt_6,SWE_SVA_MIX_NON_Psy_Jt_7,SWE_SVA_MIX_NON_Psy_Jt_8,SWE_SVA_MIX_NON_Psy_Jt_9,SWE_SVA_MIX_NON_Psy_Jt_10,SWE_SVA_MIX_NON_Pab_Jt_11,SWE_SVA_MIX_NON_Pab_Jt_12,SWE_SVA_MIX_NON_Pab_Jt_13,SWE_SVA_MIX_NON_Pab_Jt_14,SWE_SVA_MIX_NON_Pab_Jt_15,SWE_SVA_MIX_NON_Pab_Jt_16,SWE_SVA_MIX_NON_Pab_Jt_17,SWE_SVA_MIX_NON_Pab_Jt_18,SWE_SVA_MIX_NON_Pab_Jt_19,SWE_SVA_MIX_NON_Pab_Jt_20
2016-06-23T14:30:00Z,2016-06-23T15:46:20Z,,,,,,,,,,,,,,,,,,,,
2016-06-23T15:00:00Z,2016-06-23T16:16:20Z,,,,,,,,,,,,,,,,,,,,
2016-06-23T15:30:00Z,2016-06-23T16:46:20Z,,,,,,,,,,,,,,,,,,,,
2016-06-23T16:00:00Z,2016-06-23T17:16:20Z,,,,,,,,,,,,,,,,,,,,
2016-06-23T16:30:00Z,2016-06-23T17:46:20Z,,,,,,,,,,,,,,,,,,,,
2016-06-23T17:00:00Z,2016-06-23T18:16:20Z,,,,,,,,,,,,,,,,,,,,
2016-06-23T17:30:00Z,2016-06-23T18:46:20Z,,,,,,,,,,,,,,,,,,,,
2016-06-23T18:00:00Z,2016-06-23T19:16:20Z,,,,,,,,,,,,,,,,,,,,
2016-06-23T18:30:00Z,2016-06-23T19:46:20Z,,,,,,,,,,,,,,,,,,,,
2016-06-23T19:00:00Z,2016-06-23T20:16:20Z,,,,,,,,,,,,,,,,,,,,
2016-06-23T19:30:00Z,2016-06-23T20:46:20Z,,,,,,,,,,,,,,,,,,,,
2016-06-23T20:00:00Z,2016-06-23T21:16:20Z,,,,,,,,,,,,,,,,,,,,
2016-06-23T20:30:00Z,2016-06-23T21:46:20Z,,,,,,,,,,,,,,,,,,,,
2016-06-23T21:00:00Z,2016-06-23T22:16:20Z,,,,,,,,,,,,,,,,,,,,
2016-06-23T21:30:00Z,2016-06-23T22:46:20Z,,,,,,,,,,,,,,,,,,,,
2016-06-23T22:00:00Z,2016-06-23T23:16:20Z,,,,,,,,,,,,,,,,,,,,
2016-06-23T22:30:00Z,2016-06-23T23:46:20Z,,,,,,,,,,,,,,,,,,,,
2016-06-23T23:00:00Z,2016-06-24T00:16:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-23T23:30:00Z,2016-06-24T00:46:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T00:00:00Z,2016-06-24T01:16:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T00:30:00Z,2016-06-24T01:46:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T01:00:00Z,2016-06-24T02:16:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T01:30:00Z,2016-06-24T02:46:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T02:00:00Z,2016-06-24T03:16:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T02:30:00Z,2016-06-24T03:46:08Z,,,,,,,,,,,,,,,,OUT_WARN,,,,
2016-06-24T03:00:00Z,2016-06-24T04:16:08Z,,,,,,,,,,,,,,,,OUT_WARN,,,,
2016-06-24T03:30:00Z,2016-06-24T04:46:08Z,,,,,,,,,,,,,,OUT_WARN,,OUT_WARN,,,,
2016-06-24T04:00:00Z,2016-06-24T05:16:08Z,,,,,,,,,OUT_WARN,,,,,OUT_WARN,,OUT_WARN,,,,
2016-06-24T04:30:00Z,2016-06-24T05:46:08Z,,,,,,,,,OUT_WARN,,,,,OUT_WARN,,OUT_WARN,,,,
2016-06-24T05:00:00Z,2016-06-24T06:16:08Z,,,,,,,,,,,,,,OUT_WARN,,OUT_WARN,,,,
2016-06-24T05:30:00Z,2016-06-24T06:46:08Z,,,,,,,,,,,,,,,,OUT_WARN,,,,
2016-06-24T06:00:00Z,2016-06-24T07:16:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T06:30:00Z,2016-06-24T07:46:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T07:00:00Z,2016-06-24T08:16:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T07:30:00Z,2016-06-24T08:46:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T08:00:00Z,2016-06-24T09:16:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T08:30:00Z,2016-06-24T09:46:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T09:00:00Z,2016-06-24T10:16:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T09:30:00Z,2016-06-24T10:46:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T10:00:00Z,2016-06-24T11:16:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T10:30:00Z,2016-06-24T11:46:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T11:00:00Z,2016-06-24T12:16:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T11:30:00Z,2016-06-24T12:46:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T12:00:00Z,2016-06-24T13:16:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T12:30:00Z,2016-06-24T13:46:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T13:00:00Z,2016-06-24T14:16:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T13:30:00Z,2016-06-24T14:46:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T14:00:00Z,2016-06-24T15:16:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T14:30:00Z,2016-06-24T15:46:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T15:00:00Z,2016-06-24T16:16:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T15:30:00Z,2016-06-24T16:46:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T16:00:00Z,2016-06-24T17:16:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T16:30:00Z,2016-06-24T17:46:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T17:00:00Z,2016-06-24T18:16:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T17:30:00Z,2016-06-24T18:46:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T18:00:00Z,2016-06-24T19:16:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T18:30:00Z,2016-06-24T19:46:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T19:00:00Z,2016-06-24T20:16:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T19:30:00Z,2016-06-24T20:46:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T20:00:00Z,2016-06-24T21:16:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T20:30:00Z,2016-06-24T21:46:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T21:00:00Z,2016-06-24T22:16:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T21:30:00Z,2016-06-24T22:46:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T22:00:00Z,2016-06-24T23:16:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T22:30:00Z,2016-06-24T23:46:08Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T23:00:00Z,2016-06-25T00:15:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-24T23:30:00Z,2016-06-25T00:45:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T00:00:00Z,2016-06-25T01:15:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T00:30:00Z,2016-06-25T01:45:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T01:00:00Z,2016-06-25T02:15:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T01:30:00Z,2016-06-25T02:45:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T02:00:00Z,2016-06-25T03:15:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T02:30:00Z,2016-06-25T03:45:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T03:00:00Z,2016-06-25T04:15:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T03:30:00Z,2016-06-25T04:45:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T04:00:00Z,2016-06-25T05:15:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T04:30:00Z,2016-06-25T05:45:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T05:00:00Z,2016-06-25T06:15:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T05:30:00Z,2016-06-25T06:45:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T06:00:00Z,2016-06-25T07:15:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T06:30:00Z,2016-06-25T07:45:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T07:00:00Z,2016-06-25T08:15:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T07:30:00Z,2016-06-25T08:45:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T08:00:00Z,2016-06-25T09:15:57Z,,,OUT_WARN,,,,,,,,,,,,,,,,,
2016-06-25T08:30:00Z,2016-06-25T09:45:57Z,,,OUT_WARN,,,OUT_WARN,,,OUT_WARN,OUT_WARN,,,,,,,,,,
2016-06-25T09:00:00Z,2016-06-25T10:15:57Z,,,OUT_WARN,,,OUT_WARN,,,OUT_WARN,OUT_WARN,,,,OUT_WARN,,,,,,
2016-06-25T09:30:00Z,2016-06-25T10:45:57Z,,OUT_WARN,OUT_WARN,,,OUT_WARN,,,OUT_WARN,OUT_WARN,,,,OUT_WARN,OUT_WARN,,,,,
2016-06-25T10:00:00Z,2016-06-25T11:15:57Z,,,OUT_WARN,,,OUT_WARN,,,,OUT_WARN,,,,OUT_WARN,OUT_WARN,,,,,
2016-06-25T10:30:00Z,2016-06-25T11:45:57Z,,,OUT_WARN,,,OUT_WARN,,,,OUT_WARN,,,,,,,,,,
2016-06-25T11:00:00Z,2016-06-25T12:15:57Z,,,OUT_WARN,,,,,,,,,,,,,,,,,
2016-06-25T11:30:00Z,2016-06-25T12:45:57Z,,,OUT_WARN,,,,,,,,,,,,,,,,,
2016-06-25T12:00:00Z,2016-06-25T13:15:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T12:30:00Z,2016-06-25T13:45:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T13:00:00Z,2016-06-25T14:15:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T13:30:00Z,2016-06-25T14:45:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T14:00:00Z,2016-06-25T15:15:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T14:30:00Z,2016-06-25T15:45:57Z,,,,,,,,,,,,,,,,,,,,
2016-06-25T15:00:00Z,2016-06-25T16:15:57Z,,,,,,,,,,,,,,,,,,,,
