TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ppfd_in,netrad,ws,ext_rad
2015-12-31T23:30:00Z,2016-01-01T00:11:09Z,,,,,,,,CALCULATED
2016-01-01T00:00:00Z,2016-01-01T00:41:09Z,,,,,,,,CALCULATED
2016-01-01T00:30:00Z,2016-01-01T01:11:09Z,,,,,,,,CALCULATED
2016-01-01T01:00:00Z,2016-01-01T01:41:09Z,,,,,,,,CALCULATED
2016-01-01T01:30:00Z,2016-01-01T02:11:09Z,,,,,,,,CALCULATED
2016-01-01T02:00:00Z,2016-01-01T02:41:09Z,,,,,,,,CALCULATED
2016-01-01T02:30:00Z,2016-01-01T03:11:09Z,,,,,,,,CALCULATED
2016-01-01T03:00:00Z,2016-01-01T03:41:09Z,,,,,,,,CALCULATED
2016-01-01T03:30:00Z,2016-01-01T04:11:09Z,,,,,,,,CALCULATED
2016-01-01T04:00:00Z,2016-01-01T04:41:09Z,,,,,,,,CALCULATED
2016-01-01T04:30:00Z,2016-01-01T05:11:09Z,,,,,,,,CALCULATED
2016-01-01T05:00:00Z,2016-01-01T05:41:09Z,,,,,,,,CALCULATED
2016-01-01T05:30:00Z,2016-01-01T06:11:09Z,,,,,,,,CALCULATED
2016-01-01T06:00:00Z,2016-01-01T06:41:09Z,,,,,,,,CALCULATED
2016-01-01T06:30:00Z,2016-01-01T07:11:09Z,,,,,,,,CALCULATED
2016-01-01T07:00:00Z,2016-01-01T07:41:09Z,,,,,OUT_WARN,,,CALCULATED
2016-01-01T07:30:00Z,2016-01-01T08:11:09Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED
2016-01-01T08:00:00Z,2016-01-01T08:41:09Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED
2016-01-01T08:30:00Z,2016-01-01T09:11:09Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED
2016-01-01T09:00:00Z,2016-01-01T09:41:09Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED
2016-01-01T09:30:00Z,2016-01-01T10:11:09Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED
2016-01-01T10:00:00Z,2016-01-01T10:41:09Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED
2016-01-01T10:30:00Z,2016-01-01T11:11:09Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED
2016-01-01T11:00:00Z,2016-01-01T11:41:09Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED
2016-01-01T11:30:00Z,2016-01-01T12:11:09Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED
2016-01-01T12:00:00Z,2016-01-01T12:41:09Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED
2016-01-01T12:30:00Z,2016-01-01T13:11:09Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED
2016-01-01T13:00:00Z,2016-01-01T13:41:09Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED
2016-01-01T13:30:00Z,2016-01-01T14:11:09Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED
2016-01-01T14:00:00Z,2016-01-01T14:41:09Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED
2016-01-01T14:30:00Z,2016-01-01T15:11:09Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED
