sp_basal_area_perc,sp_leaf_habit,sp_name,sp_ntrees,si_code
64,evergreen,Pinus sylvestris,10,SWE_SVA_MIX_NON
36,evergreen,Picea abies,10,SWE_SVA_MIX_NON
