TIMESTAMP,solar_TIMESTAMP,AUS_CAR_THI_TP0_Eni_Js_1,AUS_CAR_THI_TP0_Eni_Js_2,AUS_CAR_THI_TP0_Eni_Js_3,AUS_CAR_THI_TP0_Eni_Js_4,AUS_CAR_THI_TP0_Eni_Js_5,AUS_CAR_THI_TP0_Eni_Js_6,AUS_CAR_THI_TP0_Eni_Js_7,AUS_CAR_THI_TP0_Eni_Js_8,AUS_CAR_THI_TP0_Eni_Js_9,AUS_CAR_THI_TP0_Eni_Js_10,AUS_CAR_THI_TP0_Eni_Js_11
2008-09-08T19:00:00Z,2008-09-09T04:51:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-08T19:30:00Z,2008-09-09T05:21:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-08T20:00:00Z,2008-09-09T05:51:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-08T20:30:00Z,2008-09-09T06:21:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-08T21:00:00Z,2008-09-09T06:51:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-08T21:30:00Z,2008-09-09T07:21:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-08T22:00:00Z,2008-09-09T07:51:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-08T22:30:00Z,2008-09-09T08:21:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-08T23:00:00Z,2008-09-09T08:51:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-08T23:30:00Z,2008-09-09T09:21:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T00:00:00Z,2008-09-09T09:51:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T00:30:00Z,2008-09-09T10:21:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T01:00:00Z,2008-09-09T10:51:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T01:30:00Z,2008-09-09T11:21:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T02:00:00Z,2008-09-09T11:51:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T02:30:00Z,2008-09-09T12:21:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T03:00:00Z,2008-09-09T12:51:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T03:30:00Z,2008-09-09T13:21:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T04:00:00Z,2008-09-09T13:51:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T04:30:00Z,2008-09-09T14:21:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T05:00:00Z,2008-09-09T14:51:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T05:30:00Z,2008-09-09T15:21:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T06:00:00Z,2008-09-09T15:51:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T06:30:00Z,2008-09-09T16:21:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T07:00:00Z,2008-09-09T16:51:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T07:30:00Z,2008-09-09T17:21:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T08:00:00Z,2008-09-09T17:51:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T08:30:00Z,2008-09-09T18:21:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T09:00:00Z,2008-09-09T18:51:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T09:30:00Z,2008-09-09T19:21:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T10:00:00Z,2008-09-09T19:51:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T10:30:00Z,2008-09-09T20:21:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T11:00:00Z,2008-09-09T20:51:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T11:30:00Z,2008-09-09T21:21:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T12:00:00Z,2008-09-09T21:51:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T12:30:00Z,2008-09-09T22:21:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T13:00:00Z,2008-09-09T22:51:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T13:30:00Z,2008-09-09T23:21:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T14:00:00Z,2008-09-09T23:51:18Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T14:30:00Z,2008-09-10T00:21:40Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T15:00:00Z,2008-09-10T00:51:40Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T15:30:00Z,2008-09-10T01:21:40Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T16:00:00Z,2008-09-10T01:51:40Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T16:30:00Z,2008-09-10T02:21:40Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T17:00:00Z,2008-09-10T02:51:40Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T17:30:00Z,2008-09-10T03:21:40Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T18:00:00Z,2008-09-10T03:51:40Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T18:30:00Z,2008-09-10T04:21:40Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T19:00:00Z,2008-09-10T04:51:40Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T19:30:00Z,2008-09-10T05:21:40Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T20:00:00Z,2008-09-10T05:51:40Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T20:30:00Z,2008-09-10T06:21:40Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T21:00:00Z,2008-09-10T06:51:40Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T21:30:00Z,2008-09-10T07:21:40Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T22:00:00Z,2008-09-10T07:51:40Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T22:30:00Z,2008-09-10T08:21:40Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
2008-09-09T23:00:00Z,2008-09-10T08:51:40Z,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT,NA_PRESENT
