TIMESTAMP,solar_TIMESTAMP,USA_SWH_Qly_Jt_1,USA_SWH_Qly_Jt_2,USA_SWH_Qly_Jt_3,USA_SWH_Qly_Jt_4,USA_SWH_Qly_Jt_5,USA_SWH_Qly_Jt_6,USA_SWH_Qly_Jt_7,USA_SWH_Qly_Jt_8,USA_SWH_Cla_Jt_9,USA_SWH_Cla_Jt_10,USA_SWH_Cla_Jt_11,USA_SWH_Cla_Jt_12,USA_SWH_Cla_Jt_13,USA_SWH_Cla_Jt_14,USA_SWH_Cla_Jt_15,USA_SWH_Cla_Jt_16
2013-06-06T19:00:00Z,2013-06-06T12:56:16Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,,OUT_WARN,OUT_WARN,OUT_WARN,,,OUT_WARN,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-06-06T19:30:00Z,2013-06-06T13:26:16Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,,OUT_WARN,OUT_WARN,OUT_WARN,,,OUT_WARN,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-06-06T20:00:00Z,2013-06-06T13:56:16Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,,OUT_WARN,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-06-06T20:30:00Z,2013-06-06T14:26:16Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,,OUT_WARN,OUT_WARN,OUT_WARN,,,OUT_WARN,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-06-06T21:00:00Z,2013-06-06T14:56:16Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,,OUT_WARN,OUT_WARN,OUT_WARN,,,OUT_WARN,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-06-06T21:30:00Z,2013-06-06T15:26:16Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,,OUT_WARN,OUT_WARN,OUT_WARN,,,OUT_WARN,,OUT_WARN,,,OUT_WARN
2013-06-06T22:00:00Z,2013-06-06T15:56:16Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,,OUT_WARN,OUT_WARN,OUT_WARN,,,OUT_WARN,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-06-06T22:30:00Z,2013-06-06T16:26:16Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,,OUT_WARN,OUT_WARN,OUT_WARN,,,OUT_WARN,,,,,OUT_WARN
2013-06-06T23:00:00Z,2013-06-06T16:56:16Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,,OUT_WARN,OUT_WARN,OUT_WARN,,,OUT_WARN,,,,,OUT_WARN
2013-06-06T23:30:00Z,2013-06-06T17:26:16Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,,OUT_WARN,OUT_WARN,OUT_WARN,,,OUT_WARN,,,,OUT_WARN,OUT_WARN
2013-06-07T00:00:00Z,2013-06-06T17:56:16Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,,OUT_WARN,OUT_WARN,OUT_WARN,,,OUT_WARN,,,,OUT_WARN,OUT_WARN
2013-06-07T00:30:00Z,2013-06-06T18:26:16Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN,,OUT_WARN,OUT_WARN,OUT_WARN,,,OUT_WARN,,,,,OUT_WARN
2013-06-07T01:00:00Z,2013-06-06T18:56:16Z,,OUT_WARN,,,,,,OUT_WARN,,,OUT_WARN,,,,,OUT_WARN
2013-06-07T01:30:00Z,2013-06-06T19:26:16Z,,,,,,,,,,,OUT_WARN,,,,,
2013-06-07T02:00:00Z,2013-06-06T19:56:16Z,,,,,,,,,,,OUT_WARN,,,,,
2013-06-07T02:30:00Z,2013-06-06T20:26:16Z,,,,,,,,,,,,,,,,
2013-06-07T03:00:00Z,2013-06-06T20:56:16Z,,,,,,,,,,,,,,,,
2013-06-07T03:30:00Z,2013-06-06T21:26:16Z,,,,,,,,,,,,,,,,
2013-06-07T04:00:00Z,2013-06-06T21:56:16Z,,,,,,,,,,,,,,,,
2013-06-07T04:30:00Z,2013-06-06T22:26:16Z,,,,,,,,,,,,,,,,
2013-06-07T05:00:00Z,2013-06-06T22:56:16Z,,,,,,,,,,,,,,,,
2013-06-07T05:30:00Z,2013-06-06T23:26:16Z,,,,,,,,,,,,,,,,
2013-06-07T06:00:00Z,2013-06-06T23:56:16Z,,,,,,,,,,,,,,,,
2013-06-07T06:30:00Z,2013-06-07T00:26:05Z,,,,,,,,,,,,,,,,
2013-06-07T07:00:00Z,2013-06-07T00:56:05Z,,,,,,,,,,,,,,,,
2013-06-07T07:30:00Z,2013-06-07T01:26:05Z,,,,,,,,,,,,,,,,
2013-06-07T08:00:00Z,2013-06-07T01:56:05Z,,,,,,,,,,,,,,,,
2013-06-07T08:30:00Z,2013-06-07T02:26:05Z,,,,,,,,,,,,,,,,
2013-06-07T09:00:00Z,2013-06-07T02:56:05Z,,,,,,,,,,,,,,,,
2013-06-07T09:30:00Z,2013-06-07T03:26:05Z,,,,,,,,,,,,,,,,
2013-06-07T10:00:00Z,2013-06-07T03:56:05Z,,,,,,,,,,,,,,,,
2013-06-07T10:30:00Z,2013-06-07T04:26:05Z,,,,,,,,,,,,,,,,
2013-06-07T11:00:00Z,2013-06-07T04:56:05Z,,,,,,,,,,,,,,,,
2013-06-07T11:30:00Z,2013-06-07T05:26:05Z,,,,,,,,,,,,,,,,
2013-06-07T12:00:00Z,2013-06-07T05:56:05Z,,,,,,,,,,,,,,,,
2013-06-07T12:30:00Z,2013-06-07T06:26:05Z,,,,,,,,,,,,,,,,
2013-06-07T13:00:00Z,2013-06-07T06:56:05Z,,,,,,,,,,,,,,,,
2013-06-07T13:30:00Z,2013-06-07T07:26:05Z,,,,,,,,,,,,,,,,
2013-06-07T14:00:00Z,2013-06-07T07:56:05Z,,,,,,,,,,,,,,,,
2013-06-07T14:30:00Z,2013-06-07T08:26:05Z,,,,,,,,,,,,,,,,
2013-06-07T15:00:00Z,2013-06-07T08:56:05Z,,,,,,,,OUT_WARN,,,,,,,,
2013-06-07T15:30:00Z,2013-06-07T09:26:05Z,,,,,,,OUT_WARN,OUT_WARN,,,,,,,,
2013-06-07T16:00:00Z,2013-06-07T09:56:05Z,,,,,,,OUT_WARN,OUT_WARN,,,,,,,,
2013-06-07T16:30:00Z,2013-06-07T10:26:05Z,,,,,,,OUT_WARN,OUT_WARN,,,,,,,,
2013-06-07T17:00:00Z,2013-06-07T10:56:05Z,,,,,,,OUT_WARN,OUT_WARN,,,,,,,,
2013-06-07T17:30:00Z,2013-06-07T11:26:05Z,,,,,,,OUT_WARN,OUT_WARN,,,OUT_WARN,,,,,
2013-06-07T18:00:00Z,2013-06-07T11:56:05Z,,,,,,,OUT_WARN,OUT_WARN,,,OUT_WARN,,,,,
2013-06-07T18:30:00Z,2013-06-07T12:26:05Z,,,,,,,OUT_WARN,OUT_WARN,,,OUT_WARN,,,,,
2013-06-07T19:00:00Z,2013-06-07T12:56:05Z,,,,,,,OUT_WARN,OUT_WARN,,,OUT_WARN,,,,,
2013-06-07T19:30:00Z,2013-06-07T13:26:05Z,,,,,,,OUT_WARN,OUT_WARN,,,OUT_WARN,,,,,
2013-06-07T20:00:00Z,2013-06-07T13:56:05Z,,,,,,,OUT_WARN,OUT_WARN,,,OUT_WARN,,,,,
2013-06-07T20:30:00Z,2013-06-07T14:26:05Z,,,,,,,OUT_WARN,OUT_WARN,,,OUT_WARN,,,,,
2013-06-07T21:00:00Z,2013-06-07T14:56:05Z,,,,,,,OUT_WARN,OUT_WARN,,,OUT_WARN,,,,,
2013-06-07T21:30:00Z,2013-06-07T15:26:05Z,,,,,,,OUT_WARN,OUT_WARN,,,OUT_WARN,,,,,
2013-06-07T22:00:00Z,2013-06-07T15:56:05Z,,,,,,,OUT_WARN,OUT_WARN,,,OUT_WARN,,,,,
2013-06-07T22:30:00Z,2013-06-07T16:26:05Z,,,,,,,OUT_WARN,OUT_WARN,,,OUT_WARN,,,,,
2013-06-07T23:00:00Z,2013-06-07T16:56:05Z,,,,,,,OUT_WARN,OUT_WARN,,,OUT_WARN,,,,,
2013-06-07T23:30:00Z,2013-06-07T17:26:05Z,,,,,,,OUT_WARN,OUT_WARN,,,OUT_WARN,,,,,
2013-06-08T00:00:00Z,2013-06-07T17:56:05Z,,,,,,,OUT_WARN,OUT_WARN,,,OUT_WARN,,,,,
2013-06-08T00:30:00Z,2013-06-07T18:26:05Z,,,,,,,OUT_WARN,OUT_WARN,,,,,,,,
2013-06-08T01:00:00Z,2013-06-07T18:56:05Z,,,,,,,,OUT_WARN,,,,,,,,
2013-06-08T01:30:00Z,2013-06-07T19:26:05Z,,,,,,,,OUT_WARN,,,,,,,,
2013-06-08T02:00:00Z,2013-06-07T19:56:05Z,,,,,,,,,,,,,,,,
2013-06-08T02:30:00Z,2013-06-07T20:26:05Z,,,,,,,,,,,,,,,,
2013-06-08T03:00:00Z,2013-06-07T20:56:05Z,,,,,,,,,,,,,,,,
2013-06-08T03:30:00Z,2013-06-07T21:26:05Z,,,,,,,,,,,,,,,,
2013-06-08T04:00:00Z,2013-06-07T21:56:05Z,,,,,,,,,,,,,,,,
2013-06-08T04:30:00Z,2013-06-07T22:26:05Z,,,,,,,,,,,,,,,,
2013-06-08T05:00:00Z,2013-06-07T22:56:05Z,,,,,,,,,,,,,,,,
2013-06-08T05:30:00Z,2013-06-07T23:26:05Z,,,,,,,,,,,,,,,,
2013-06-08T06:00:00Z,2013-06-07T23:56:05Z,,,,,,,,,,,,,,,,
