TIMESTAMP,solar_TIMESTAMP,AUT_PAT_TRE_Pce_Js_1,AUT_PAT_TRE_Pce_Js_2,AUT_PAT_TRE_Pce_Js_3
2007-04-21T23:00:00Z,2007-04-21T23:47:14Z,28.73140177356954,24.499152706025136,13.280579416615394
2007-04-21T23:30:00Z,2007-04-22T00:17:25Z,2.5806356137095308,4.390681364161125,9.28693279894408
2007-04-21T23:59:59Z,2007-04-22T00:47:24Z,0,0,7.406777400086625
2007-04-22T00:30:00Z,2007-04-22T01:17:25Z,2.5806356137095308,7.247867524267473,5.617761279859477
2007-04-22T01:00:00Z,2007-04-22T01:47:25Z,23.70760689703235,28.381751615403303,2.384839192977213
2007-04-22T01:29:59Z,2007-04-22T02:17:24Z,39.34007232202744,45.011587014569855,1.0142025550130678
2007-04-22T02:00:00Z,2007-04-22T02:47:25Z,68.60995041360675,67.91308001452425,0
2007-04-22T02:30:00Z,2007-04-22T03:17:25Z,74.87665588128529,77.65214595300985,2.384839192977213
2007-04-22T02:59:59Z,2007-04-22T03:47:24Z,81.26930941507511,82.63732238269917,5.617761279859477
2007-04-22T03:30:00Z,2007-04-22T04:17:25Z,87.78421640167697,92.83114463648505,5.617761279859477
2007-04-22T04:00:00Z,2007-04-22T04:47:25Z,87.78421640167697,87.6974577133761,3.9354555920460736
2007-04-22T04:29:59Z,2007-04-22T05:17:24Z,101.16818056745907,98.0371091474292,5.617761279859477
2007-04-22T05:00:00Z,2007-04-22T05:47:25Z,68.60995041360675,45.011587014569855,22.033784428359162
2007-04-22T05:30:00Z,2007-04-22T06:17:25Z,33.947249952337884,13.649938322718505,29.15580280579127
2007-04-22T05:59:59Z,2007-04-22T06:47:24Z,39.34007232202744,36.489219025612364,19.760309999583622
2007-04-22T06:30:00Z,2007-04-22T07:17:25Z,44.89795276032495,53.91190870366414,29.15580280579127
2007-04-22T07:00:00Z,2007-04-22T07:47:25Z,39.34007232202744,45.011587014569855,15.380130624499484
2007-04-22T07:29:59Z,2007-04-22T08:17:24Z,136.5802967962133,108.66135070235231,50.06489492148457
2007-04-22T08:00:00Z,2007-04-22T08:47:25Z,294.0212461360562,196.78448585820146,102.0936261967203
2007-04-22T08:30:00Z,2007-04-22T09:17:25Z,410.9816609189457,291.64225658157085,170.77409948094436
2007-04-22T08:59:59Z,2007-04-22T09:47:24Z,485.42526881008394,358.87365822955076,254.36391759065174
2007-04-22T09:30:00Z,2007-04-22T10:17:25Z,518.7529692102673,431.03354185642195,324.7059502292523
2007-04-22T10:00:00Z,2007-04-22T10:47:25Z,611.8844702514182,499.3935777857838,359.8414426098054
2007-04-22T10:29:59Z,2007-04-22T11:17:24Z,648.4350446998318,535.0945108969021,396.4890334390326
2007-04-22T11:00:00Z,2007-04-22T11:47:25Z,660.8191528122985,571.8292184063337,385.8619175077842
2007-04-22T11:30:00Z,2007-04-22T12:17:25Z,685.8910934718975,571.8292184063337,349.6499422764914
2007-04-22T11:59:59Z,2007-04-22T12:47:24Z,673.3043392043572,535.0945108969021,324.7059502292523
2007-04-22T12:30:00Z,2007-04-22T13:17:25Z,660.8191528122985,526.0729842071445,300.5168284735498
2007-04-22T13:00:00Z,2007-04-22T13:47:25Z,673.3043392043572,526.0729842071445,286.3613986253064
2007-04-22T13:29:59Z,2007-04-22T14:17:24Z,660.8191528122985,508.2227563850579,277.07239527462116
2007-04-22T14:00:00Z,2007-04-22T14:47:25Z,660.8191528122985,517.1158132887155,277.07239527462116
2007-04-22T14:30:00Z,2007-04-22T15:17:25Z,636.1515369701225,499.3935777857838,258.84710409992306
2007-04-22T14:59:59Z,2007-04-22T15:47:24Z,623.9681635375921,490.6280479006098,249.90987751012773
2007-04-22T15:30:00Z,2007-04-22T16:17:25Z,576.2271117177755,481.92594333881186,232.38423987451273
2007-04-22T16:00:00Z,2007-04-22T16:47:25Z,564.5378412156238,473.2870469945236,211.127954394869
2007-04-22T16:29:59Z,2007-04-22T17:17:24Z,530.0540876626952,431.03354185642195,206.96316434358852
2007-04-22T17:00:00Z,2007-04-22T17:47:25Z,442.3203490787254,328.38860482720804,194.6413871983632
2007-04-22T17:30:00Z,2007-04-22T18:17:25Z,380.4854376888295,284.4738477858537,182.57833998290116
2007-04-22T17:59:59Z,2007-04-22T18:47:24Z,350.82779110181673,263.3301591789028,151.67689695535006
2007-04-22T18:30:00Z,2007-04-22T19:17:25Z,303.2567065357674,229.29792787323066,119.1349321517667
2007-04-22T19:00:00Z,2007-04-22T19:47:25Z,223.50356382339737,184.20881038097946,102.0936261967203
2007-04-22T19:29:59Z,2007-04-22T20:17:24Z,143.98220289531102,119.56212271881996,79.52517059806131
2007-04-22T20:00:00Z,2007-04-22T20:47:25Z,115.00678142729062,108.66135070235231,61.43670906337343
2007-04-22T20:30:00Z,2007-04-22T21:17:25Z,62.47342405546149,67.91308001452425,44.598363632504174
2007-04-22T20:59:59Z,2007-04-22T21:47:24Z,74.87665588128529,87.6974577133761,31.623543924079264
2007-04-22T21:30:00Z,2007-04-22T22:17:25Z,81.26930941507511,77.65214595300985,17.541343914183397
2007-04-22T22:00:00Z,2007-04-22T22:47:25Z,50.61123900811432,53.91190870366414,19.760309999583622
2007-04-22T22:29:59Z,2007-04-22T23:17:24Z,39.34007232202744,49.41639043344397,22.033784428359162
2007-04-22T23:00:00Z,2007-04-22T23:47:25Z,33.70014663117418,17.30271929099318,15.462848874619219
2007-04-22T23:30:00Z,2007-04-23T00:17:35Z,9.954461174780512,7.3245939730588425,13.351901877423932
