TIMESTAMP,solar_TIMESTAMP,USA_SWH_Qly_Jt_1,USA_SWH_Qly_Jt_2,USA_SWH_Qly_Jt_3,USA_SWH_Qly_Jt_4,USA_SWH_Qly_Jt_5,USA_SWH_Qly_Jt_6,USA_SWH_Qly_Jt_7,USA_SWH_Qly_Jt_8,USA_SWH_Cla_Jt_9,USA_SWH_Cla_Jt_10,USA_SWH_Cla_Jt_11,USA_SWH_Cla_Jt_12,USA_SWH_Cla_Jt_13,USA_SWH_Cla_Jt_14,USA_SWH_Cla_Jt_15,USA_SWH_Cla_Jt_16
2013-06-06T06:00:00Z,2013-06-05T23:56:26Z,0.182230326614555,0.02029328194056951,0.4324991664476755,0.5066480028115083,0.3266804559257189,0.0893898895195671,0,0,0.04448504211023744,0.13258520823351352,0.029439599407647735,0.1544244014377829,0.30551766525124047,0.9682585136753362,0.47865443130394714,0.2473915034300464
2013-06-06T06:30:00Z,2013-06-06T00:26:16Z,0.11952169248599709,0.008241299997829719,0.31738785841301814,0.38600739442361803,0.2295657753469571,0.05829032862168015,0,0,0.007461045860917117,0.09458318987306233,0.001289679778220933,0.10156967759775978,0.22580368904787126,0.7266972863047758,0.30072936262829997,0.18073442636604098
2013-06-06T07:00:00Z,2013-06-06T00:56:16Z,0.09989522685873008,0,0.2012199888141393,0.2705633445044903,0.1619360125340503,0.03024006511533432,0,0,0,0.01585797500637449,0,0.06435670368425846,0.1519019778508331,0.523470293022167,0.142691130596529,0.1268585506245991
2013-06-06T07:30:00Z,2013-06-06T01:26:16Z,0.08101173665395532,0.003179288257430137,0.17288597556373397,0.18010988102285805,0.099735913267704,0.021301321242592958,0,0,0,0.0011137953221561304,0,0.04236467434181557,0.11082303478352037,0.38415130267306347,0.10727743537173919,0.10149959241109893
2013-06-06T08:00:00Z,2013-06-06T01:56:16Z,0.029971168355823887,0.0020791989547603086,0.1410145688570947,0.18010988102285805,0.014038011685757738,0.01304157498192945,0,0,0,0,0,0.027668167454737633,0.07269793398626365,0.25567074620643976,0.07403233597879431,0.07198976138533245
2013-06-06T08:30:00Z,2013-06-06T02:26:16Z,0.0035330669644421647,0,0.09386005914108064,0.1404229590428258,0.0022007846812019823,0.00570932128596799,0,0,0,0,0,0.012871910100113524,0.04927958007528798,0.1583715258433351,0.016767485048285454,0.039929258414659184
2013-06-06T09:00:00Z,2013-06-06T02:56:16Z,0.015574638919656906,0,0.07185262812107047,0.07432127345091472,0.02854492838608388,0.001642305802204059,0,0,0,0,0,0.009916662457583363,0.027914343438074113,0.08856116736309472,0.016767485048285454,0.030651584247068445
2013-06-06T09:30:00Z,2013-06-06T03:26:16Z,0,0,0.01920755433124638,0.047775595419334196,0.0022007846812019823,8.086803405189692e-4,0,0,0,0,0,7.097360596508888e-4,0.009475974928100664,0.0425394501537017,0,0.01000152359611925
2013-06-06T10:00:00Z,2013-06-06T03:56:16Z,0,0,0,0.014127008137019743,0,1.2693871510203035e-4,0,0,0,0,0.007354471492548772,0,0.0021497074507967045,0.016373751799868098,0,0
2013-06-06T10:30:00Z,2013-06-06T04:26:16Z,0.0035330669644421647,0,0,0.006867357138325936,0.0022007846812019823,1.2693871510203035e-4,0.0013230287805553421,0.0128501881975946,0,0,0.012796449824213012,0,0,0,0,0
