TIMESTAMP,TIMESTAMP_solar,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,vpd,ext_rad
1998-05-28T12:00:00Z,1998-05-28T06:23:23Z,NA,NA,659.14,1208.9,0.65367,0,0.2821875,NA,1068.8627432373235
1998-05-28T17:00:00Z,1998-05-28T11:23:23Z,NA,NA,661.07,1197,0.88642,0,0.28330750000000005,NA,1089.1392327343126
1998-05-28T18:00:00Z,1998-05-28T12:23:23Z,NA,NA,619.42,1151.3,0.85122,0,0.28397,NA,908.5333913909358
1998-05-28T19:00:00Z,1998-05-28T13:23:23Z,NA,NA,644.02,1184.6,1.0154,0,0.2840175,NA,685.7426817594655
1998-05-28T20:00:00Z,1998-05-28T14:23:23Z,NA,NA,606.05,1148.8,1.0808,0,0.283945,NA,435.94732399966875
1998-05-28T21:00:00Z,1998-05-28T15:23:23Z,NA,NA,690.35,1264.3,1.0161,0,0.28373750000000003,NA,176.16752482704186
1998-05-28T22:00:00Z,1998-05-28T16:23:23Z,NA,NA,619.96,1104.5,0.97144,0,0.2834475,NA,0
1998-05-28T23:00:00Z,1998-05-28T17:23:23Z,NA,NA,148.42,324.83,0.81563,0,0.28318,NA,0
1998-05-29T00:00:00Z,1998-05-28T18:23:23Z,NA,NA,48.52,132.2,0.57118,0,0.2830275,NA,0
1998-05-29T01:00:00Z,1998-05-28T19:23:23Z,NA,NA,8.7161,26.802,0.55358,0,0.2829975,NA,0
1998-05-29T02:00:00Z,1998-05-28T20:23:23Z,NA,NA,-0.66279,-0.71965,0.6925,0,0.2830175,NA,0
1998-05-29T03:00:00Z,1998-05-28T21:23:23Z,NA,NA,-0.05099,0.17994,0.21687,0,0.283075,NA,0
1998-05-29T04:00:00Z,1998-05-28T22:23:23Z,NA,NA,0,0,0.66149,0,0.2831525,NA,0
1998-05-29T05:00:00Z,1998-05-28T23:23:23Z,24.345,100,0,0,0.03447,0,0.283255,0,0
1998-05-29T06:00:00Z,1998-05-29T00:23:14Z,23.601,100,0,0,0.20966,0,0.2833475,0,0
1998-05-29T07:00:00Z,1998-05-29T01:23:14Z,23.086,100,0,0,0.10661,0,0.28344500000000006,0,0
1998-05-29T08:00:00Z,1998-05-29T02:23:14Z,22.613,100,0,0,0.05725,0,0.283535,0,144.08773200207713
1998-05-29T09:00:00Z,1998-05-29T03:23:14Z,22.469,100,0,0,0.1174,0,0.2836225,0,403.4935143521693
1998-05-29T10:00:00Z,1998-05-29T04:23:14Z,21.734,100,0,0,0,0,0.28369999999999995,0,655.2570284538278
1998-05-29T11:00:00Z,1998-05-29T05:23:14Z,21.509,100,6.8367000000000004,17.465,0.05626,0,0.2837925,0,882.224090132073
1998-05-29T12:00:00Z,1998-05-29T06:23:14Z,22.602,100,90.464,172.5,0.05737,0,0.28387,0,1068.930066787709
1998-05-29T13:00:00Z,1998-05-29T07:23:14Z,25.267,100,288.69,518.66,0.44647,0,0.28398,0,1202.653574010319
1998-05-29T14:00:00Z,1998-05-29T08:23:14Z,29.174,91.526,471.47,858.65,0.70905,0,0.28403,0.3433666017349993,1274.2832561346388
1998-05-29T15:00:00Z,1998-05-29T09:23:14Z,32.662,79.133,656.94,1208.3,1.023,0,0.2839125,1.0312277251783106,1278.938592220358
1998-05-29T16:00:00Z,1998-05-29T10:23:14Z,33.76,72.514,585.94,1080.2,0.96856,0,0.28369500000000003,1.444390394920487,1216.3024288139245
1998-05-29T17:00:00Z,1998-05-29T11:23:14Z,34.71,70.174,632.67,1160.5,0.90611,0,0.283295,1.6522460793329123,1090.6425827333449
1998-05-29T18:00:00Z,1998-05-29T12:23:14Z,35.436,67.358,694.17,1272.4,0.92767,0,0.2828125,1.882145406953312,910.5210426756481
