TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ppfd_in,netrad,ws,precip,ext_rad
2015-02-04T14:30:00Z,2015-02-04T13:53:00Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED
2015-02-04T15:00:00Z,2015-02-04T14:23:00Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED
2015-02-04T15:30:00Z,2015-02-04T14:53:00Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED
2015-02-04T16:00:00Z,2015-02-04T15:23:00Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED
2015-02-04T16:30:00Z,2015-02-04T15:53:00Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED
2015-02-04T17:00:00Z,2015-02-04T16:23:00Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED
2015-02-04T17:30:00Z,2015-02-04T16:53:00Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED
2015-02-04T18:00:00Z,2015-02-04T17:23:00Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED
2015-02-04T18:30:00Z,2015-02-04T17:53:00Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED
2015-02-04T19:00:00Z,2015-02-04T18:23:00Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED
2015-02-04T19:30:00Z,2015-02-04T18:53:00Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED
2015-02-04T20:00:00Z,2015-02-04T19:23:00Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED
2015-02-04T20:30:00Z,2015-02-04T19:53:00Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED
2015-02-04T21:00:00Z,2015-02-04T20:23:00Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED
2015-02-04T21:30:00Z,2015-02-04T20:53:00Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED
2015-02-04T22:00:00Z,2015-02-04T21:23:00Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED
2015-02-04T22:30:00Z,2015-02-04T21:53:00Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED
2015-02-04T23:00:00Z,2015-02-04T22:23:00Z,,,,,,,,,CALCULATED
2015-02-04T23:30:00Z,2015-02-04T22:53:00Z,,,,,,,,,CALCULATED
2015-02-05T00:00:00Z,2015-02-04T23:23:00Z,,,,,,,,,CALCULATED
2015-02-05T00:30:00Z,2015-02-04T23:52:56Z,,,,,,,,,CALCULATED
2015-02-05T01:00:00Z,2015-02-05T00:22:56Z,,,,,,,,,CALCULATED
2015-02-05T01:30:00Z,2015-02-05T00:52:56Z,,,,,,,,,CALCULATED
2015-02-05T02:00:00Z,2015-02-05T01:22:56Z,,,,,,,,,CALCULATED
2015-02-05T02:30:00Z,2015-02-05T01:52:56Z,,,,,,,,,CALCULATED
2015-02-05T03:00:00Z,2015-02-05T02:22:56Z,,,,,,,,,CALCULATED
