TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,netrad,ws,precip,ppfd_in,vpd,ext_rad
2001-01-01T20:30:00Z,2001-01-01T21:36:44Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-01T21:00:00Z,2001-01-01T22:06:44Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-01T21:30:00Z,2001-01-01T22:36:44Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-01T22:00:00Z,2001-01-01T23:06:44Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-01T22:30:00Z,2001-01-01T23:36:44Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-01T23:00:00Z,2001-01-02T00:06:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-01T23:30:00Z,2001-01-02T00:36:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T00:00:00Z,2001-01-02T01:06:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T00:30:00Z,2001-01-02T01:36:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T01:00:00Z,2001-01-02T02:06:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T01:30:00Z,2001-01-02T02:36:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T02:00:00Z,2001-01-02T03:06:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T02:30:00Z,2001-01-02T03:36:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T03:00:00Z,2001-01-02T04:06:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T03:30:00Z,2001-01-02T04:36:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T04:00:00Z,2001-01-02T05:06:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T04:30:00Z,2001-01-02T05:36:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T05:00:00Z,2001-01-02T06:06:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T05:30:00Z,2001-01-02T06:36:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T06:00:00Z,2001-01-02T07:06:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T06:30:00Z,2001-01-02T07:36:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T07:00:00Z,2001-01-02T08:06:18Z,,,,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T07:30:00Z,2001-01-02T08:36:18Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T08:00:00Z,2001-01-02T09:06:18Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T08:30:00Z,2001-01-02T09:36:18Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T09:00:00Z,2001-01-02T10:06:18Z,,OUT_WARN,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T09:30:00Z,2001-01-02T10:36:18Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T10:00:00Z,2001-01-02T11:06:18Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T10:30:00Z,2001-01-02T11:36:18Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T11:00:00Z,2001-01-02T12:06:18Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T11:30:00Z,2001-01-02T12:36:18Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2001-01-02T12:00:00Z,2001-01-02T13:06:18Z,,,OUT_WARN,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
