TIMESTAMP,solar_TIMESTAMP,GUF_GUY_ST2_Dgu_Js_1,GUF_GUY_ST2_Dgu_Js_2,GUF_GUY_ST2_Dgu_Js_3,GUF_GUY_ST2_Dgu_Js_4,GUF_GUY_ST2_Vsp_Js_5,GUF_GUY_ST2_Oas_Js_6,GUF_GUY_ST2_Oas_Js_7,GUF_GUY_ST2_Rsp_Js_8,GUF_GUY_ST2_Ssp_Js_9,GUF_GUY_ST2_Vam_Js_10,GUF_GUY_ST2_Ggl_Js_11
2008-01-02T02:00:00Z,2008-01-01T22:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T02:30:00Z,2008-01-01T22:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T03:00:00Z,2008-01-01T23:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T03:30:00Z,2008-01-01T23:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T04:00:00Z,2008-01-02T00:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T04:30:00Z,2008-01-02T00:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T05:00:00Z,2008-01-02T01:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T05:30:00Z,2008-01-02T01:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T06:00:00Z,2008-01-02T02:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T06:30:00Z,2008-01-02T02:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T07:00:00Z,2008-01-02T03:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T07:30:00Z,2008-01-02T03:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T08:00:00Z,2008-01-02T04:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T08:30:00Z,2008-01-02T04:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T09:00:00Z,2008-01-02T05:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T09:30:00Z,2008-01-02T05:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T10:00:00Z,2008-01-02T06:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T10:30:00Z,2008-01-02T06:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T11:00:00Z,2008-01-02T07:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T11:30:00Z,2008-01-02T07:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T12:00:00Z,2008-01-02T08:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T12:30:00Z,2008-01-02T08:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T13:00:00Z,2008-01-02T09:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T13:30:00Z,2008-01-02T09:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T14:00:00Z,2008-01-02T10:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T14:30:00Z,2008-01-02T10:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T15:00:00Z,2008-01-02T11:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T15:30:00Z,2008-01-02T11:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T16:00:00Z,2008-01-02T12:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T16:30:00Z,2008-01-02T12:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T17:00:00Z,2008-01-02T13:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
