TIMESTAMP,solar_TIMESTAMP,USA_NWH_Qly_Jt_1,USA_NWH_Qly_Jt_2,USA_NWH_Qly_Jt_3,USA_NWH_Qly_Jt_4,USA_NWH_Qly_Jt_5,USA_NWH_Cla_Jt_6,USA_NWH_Cla_Jt_7,USA_NWH_Cla_Jt_8,USA_NWH_Cla_Jt_9,USA_NWH_Cla_Jt_10
2013-07-28T21:00:00Z,2013-07-28T14:48:57Z,,OUT_WARN,OUT_WARN,OUT_WARN,,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-07-28T21:29:59Z,2013-07-28T15:18:56Z,,OUT_WARN,OUT_WARN,OUT_WARN,,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-07-28T22:00:00Z,2013-07-28T15:48:57Z,,OUT_WARN,OUT_WARN,OUT_WARN,,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-07-28T22:30:00Z,2013-07-28T16:18:57Z,,OUT_WARN,OUT_WARN,OUT_WARN,,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-07-28T22:59:59Z,2013-07-28T16:48:56Z,,OUT_WARN,OUT_WARN,OUT_WARN,,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-07-28T23:30:00Z,2013-07-28T17:18:57Z,,OUT_WARN,OUT_WARN,OUT_WARN,,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-07-29T00:00:00Z,2013-07-28T17:48:57Z,,OUT_WARN,OUT_WARN,OUT_WARN,,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-07-29T00:29:59Z,2013-07-28T18:18:56Z,,OUT_WARN,OUT_WARN,OUT_WARN,,,OUT_WARN,,OUT_WARN,
2013-07-29T01:00:00Z,2013-07-28T18:48:57Z,,OUT_WARN,OUT_WARN,OUT_WARN,,,,,OUT_WARN,
2013-07-29T01:30:00Z,2013-07-28T19:18:57Z,,OUT_WARN,OUT_WARN,OUT_WARN,,,,,OUT_WARN,
2013-07-29T01:59:59Z,2013-07-28T19:48:56Z,,,,,,,,,,
2013-07-29T02:30:00Z,2013-07-28T20:18:57Z,,,,,,,,,,
2013-07-29T03:00:00Z,2013-07-28T20:48:57Z,,,,,,,,,,
2013-07-29T03:29:59Z,2013-07-28T21:18:56Z,,,,,,,,,,
2013-07-29T04:00:00Z,2013-07-28T21:48:57Z,,,,,,,,,,
2013-07-29T04:30:00Z,2013-07-28T22:18:57Z,,,,,,,,,,
2013-07-29T04:59:59Z,2013-07-28T22:48:56Z,,,,,,,,,,
2013-07-29T05:30:00Z,2013-07-28T23:18:57Z,,,,,,,,,,
2013-07-29T06:00:00Z,2013-07-28T23:48:57Z,,,,,,,,,,
2013-07-29T06:29:59Z,2013-07-29T00:19:00Z,,,,,,,,,,
2013-07-29T07:00:00Z,2013-07-29T00:49:01Z,,,,,,,,,,
2013-07-29T07:30:00Z,2013-07-29T01:19:01Z,,,,,,,,,,
2013-07-29T07:59:59Z,2013-07-29T01:49:00Z,,,,,,,,,,
2013-07-29T08:30:00Z,2013-07-29T02:19:01Z,,,,,,,,,,
2013-07-29T09:00:00Z,2013-07-29T02:49:01Z,,,,,,,,,,
2013-07-29T09:29:59Z,2013-07-29T03:19:00Z,,,,,,,,,,
2013-07-29T10:00:00Z,2013-07-29T03:49:01Z,,,,,,,,,,
2013-07-29T10:30:00Z,2013-07-29T04:19:01Z,,,,,,,,,,
2013-07-29T10:59:59Z,2013-07-29T04:49:00Z,,,,,,,,,,
2013-07-29T11:30:00Z,2013-07-29T05:19:01Z,,,,,,,,,,
2013-07-29T12:00:00Z,2013-07-29T05:49:01Z,,,,,,,,,,
2013-07-29T12:29:59Z,2013-07-29T06:19:00Z,,,,,,,,,,
2013-07-29T13:00:00Z,2013-07-29T06:49:01Z,,,,,,,,,,
2013-07-29T13:30:00Z,2013-07-29T07:19:01Z,,,,,,,,,,
2013-07-29T13:59:59Z,2013-07-29T07:49:00Z,,,,,,,,,,
2013-07-29T14:30:00Z,2013-07-29T08:19:01Z,,,,,,,,,,
2013-07-29T15:00:00Z,2013-07-29T08:49:01Z,,,,,,,,,,
2013-07-29T15:29:59Z,2013-07-29T09:19:00Z,,,,,,,,,,
2013-07-29T16:00:00Z,2013-07-29T09:49:01Z,,,,,,,,,,
2013-07-29T16:30:00Z,2013-07-29T10:19:01Z,,OUT_WARN,,,,,,,,
2013-07-29T16:59:59Z,2013-07-29T10:49:00Z,,OUT_WARN,,,,,,,,OUT_WARN
2013-07-29T17:30:00Z,2013-07-29T11:19:01Z,,OUT_WARN,,,,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-07-29T18:00:00Z,2013-07-29T11:49:01Z,,OUT_WARN,,,,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-07-29T18:29:59Z,2013-07-29T12:19:00Z,,OUT_WARN,,,,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-07-29T19:00:00Z,2013-07-29T12:49:01Z,,OUT_WARN,,,,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-07-29T19:30:00Z,2013-07-29T13:19:01Z,,OUT_WARN,,,,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-07-29T19:59:59Z,2013-07-29T13:49:00Z,,OUT_WARN,,,,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-07-29T20:30:00Z,2013-07-29T14:19:01Z,,OUT_WARN,,,,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-07-29T21:00:00Z,2013-07-29T14:49:01Z,,OUT_WARN,,,,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-07-29T21:29:59Z,2013-07-29T15:19:00Z,,OUT_WARN,,,,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-07-29T22:00:00Z,2013-07-29T15:49:01Z,,OUT_WARN,,,,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-07-29T22:30:00Z,2013-07-29T16:19:01Z,,OUT_WARN,,,,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-07-29T22:59:59Z,2013-07-29T16:49:00Z,,OUT_WARN,,,,,OUT_WARN,,OUT_WARN,OUT_WARN
2013-07-29T23:30:00Z,2013-07-29T17:19:01Z,,OUT_WARN,,,,,OUT_WARN,,,OUT_WARN
2013-07-30T00:00:00Z,2013-07-29T17:49:01Z,,,,,,,,,,
2013-07-30T00:29:59Z,2013-07-29T18:19:00Z,,,,,,,,,,
2013-07-30T01:00:00Z,2013-07-29T18:49:01Z,,,,,,,,,,
2013-07-30T01:30:00Z,2013-07-29T19:19:01Z,,,,,,,,,,
2013-07-30T01:59:59Z,2013-07-29T19:49:00Z,,,,,,,,,,
2013-07-30T02:30:00Z,2013-07-29T20:19:01Z,,,,,,,,,,
2013-07-30T03:00:00Z,2013-07-29T20:49:01Z,,,,,,,,,,
2013-07-30T03:29:59Z,2013-07-29T21:19:00Z,,,,,,,,,,
2013-07-30T04:00:00Z,2013-07-29T21:49:01Z,,,,,,,,,,
