TIMESTAMP,solar_TIMESTAMP,ta,vpd,sw_in,netrad,ws,precip,ppfd_in,rh,ext_rad
2001-01-01T01:00:00Z,2001-01-01T00:23:25Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-01T02:00:00Z,2001-01-01T01:23:25Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-01T03:00:00Z,2001-01-01T02:23:25Z,,,,,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-01T04:00:00Z,2001-01-01T03:23:25Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-01T05:00:00Z,2001-01-01T04:23:25Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-01T06:00:00Z,2001-01-01T05:23:25Z,,,,,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-01T07:00:00Z,2001-01-01T06:23:25Z,,,,,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-01T08:00:00Z,2001-01-01T07:23:25Z,,,,,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-01T09:00:00Z,2001-01-01T08:23:25Z,,,OUT_WARN,OUT_WARN,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-01T10:00:00Z,2001-01-01T09:23:25Z,,,OUT_WARN,OUT_WARN,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-01T11:00:00Z,2001-01-01T10:23:25Z,,,OUT_WARN,OUT_WARN,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-01T12:00:00Z,2001-01-01T11:23:25Z,,,OUT_WARN,OUT_WARN,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-01T13:00:00Z,2001-01-01T12:23:25Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-01T14:00:00Z,2001-01-01T13:23:25Z,,,OUT_WARN,OUT_WARN,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-01T15:00:00Z,2001-01-01T14:23:25Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-01T16:00:00Z,2001-01-01T15:23:25Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-01T17:00:00Z,2001-01-01T16:23:25Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-01T18:00:00Z,2001-01-01T17:23:25Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-01T19:00:00Z,2001-01-01T18:23:25Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-01T20:00:00Z,2001-01-01T19:23:25Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-01T21:00:00Z,2001-01-01T20:23:25Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-01T22:00:00Z,2001-01-01T21:23:25Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-01T23:00:00Z,2001-01-01T22:23:25Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-02T00:00:00Z,2001-01-01T23:23:25Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-02T01:00:00Z,2001-01-02T00:23:00Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-02T02:00:00Z,2001-01-02T01:23:00Z,,,,,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-02T03:00:00Z,2001-01-02T02:23:00Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-02T04:00:00Z,2001-01-02T03:23:00Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-02T05:00:00Z,2001-01-02T04:23:00Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-02T06:00:00Z,2001-01-02T05:23:00Z,,,,,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-02T07:00:00Z,2001-01-02T06:23:00Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-02T08:00:00Z,2001-01-02T07:23:00Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-02T09:00:00Z,2001-01-02T08:23:00Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-02T10:00:00Z,2001-01-02T09:23:00Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-02T11:00:00Z,2001-01-02T10:23:00Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-02T12:00:00Z,2001-01-02T11:23:00Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-02T13:00:00Z,2001-01-02T12:23:00Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-02T14:00:00Z,2001-01-02T13:23:00Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-02T15:00:00Z,2001-01-02T14:23:00Z,,,OUT_WARN,OUT_WARN,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-02T16:00:00Z,2001-01-02T15:23:00Z,,,OUT_WARN,OUT_WARN,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-02T17:00:00Z,2001-01-02T16:23:00Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-02T18:00:00Z,2001-01-02T17:23:00Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-02T19:00:00Z,2001-01-02T18:23:00Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-02T20:00:00Z,2001-01-02T19:23:00Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-02T21:00:00Z,2001-01-02T20:23:00Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-02T22:00:00Z,2001-01-02T21:23:00Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-02T23:00:00Z,2001-01-02T22:23:00Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-03T00:00:00Z,2001-01-02T23:23:00Z,,,,,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-03T01:00:00Z,2001-01-03T00:22:35Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-03T02:00:00Z,2001-01-03T01:22:35Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-03T03:00:00Z,2001-01-03T02:22:35Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-03T04:00:00Z,2001-01-03T03:22:35Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-03T05:00:00Z,2001-01-03T04:22:35Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-03T06:00:00Z,2001-01-03T05:22:35Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-03T07:00:00Z,2001-01-03T06:22:35Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-03T08:00:00Z,2001-01-03T07:22:35Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-03T09:00:00Z,2001-01-03T08:22:35Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-03T10:00:00Z,2001-01-03T09:22:35Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-03T11:00:00Z,2001-01-03T10:22:35Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-03T12:00:00Z,2001-01-03T11:22:35Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-03T13:00:00Z,2001-01-03T12:22:35Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-03T14:00:00Z,2001-01-03T13:22:35Z,,,OUT_WARN,OUT_WARN,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-03T15:00:00Z,2001-01-03T14:22:35Z,,,OUT_WARN,OUT_WARN,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-03T16:00:00Z,2001-01-03T15:22:35Z,,,OUT_WARN,OUT_WARN,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-03T17:00:00Z,2001-01-03T16:22:35Z,,,OUT_WARN,OUT_WARN,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-03T18:00:00Z,2001-01-03T17:22:35Z,,,OUT_WARN,OUT_WARN,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-03T19:00:00Z,2001-01-03T18:22:35Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-03T20:00:00Z,2001-01-03T19:22:35Z,,,,,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-03T21:00:00Z,2001-01-03T20:22:35Z,,,,,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-03T22:00:00Z,2001-01-03T21:22:35Z,,,,,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-03T23:00:00Z,2001-01-03T22:22:35Z,,,,,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-04T00:00:00Z,2001-01-03T23:22:35Z,,,,,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-04T01:00:00Z,2001-01-04T00:22:10Z,,,,,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-04T02:00:00Z,2001-01-04T01:22:10Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-04T03:00:00Z,2001-01-04T02:22:10Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-04T04:00:00Z,2001-01-04T03:22:10Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-04T05:00:00Z,2001-01-04T04:22:10Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-04T06:00:00Z,2001-01-04T05:22:10Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-04T07:00:00Z,2001-01-04T06:22:10Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-04T08:00:00Z,2001-01-04T07:22:10Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-04T09:00:00Z,2001-01-04T08:22:10Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-04T10:00:00Z,2001-01-04T09:22:10Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-04T11:00:00Z,2001-01-04T10:22:10Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-04T12:00:00Z,2001-01-04T11:22:10Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-04T13:00:00Z,2001-01-04T12:22:10Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-04T14:00:00Z,2001-01-04T13:22:10Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-04T15:00:00Z,2001-01-04T14:22:10Z,,OUT_WARN,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-04T16:00:00Z,2001-01-04T15:22:10Z,,OUT_WARN,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-04T17:00:00Z,2001-01-04T16:22:10Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-04T18:00:00Z,2001-01-04T17:22:10Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-04T19:00:00Z,2001-01-04T18:22:10Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-04T20:00:00Z,2001-01-04T19:22:10Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-04T21:00:00Z,2001-01-04T20:22:10Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-04T22:00:00Z,2001-01-04T21:22:10Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-04T23:00:00Z,2001-01-04T22:22:10Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-05T00:00:00Z,2001-01-04T23:22:10Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-05T01:00:00Z,2001-01-05T00:21:46Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-05T02:00:00Z,2001-01-05T01:21:46Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-05T03:00:00Z,2001-01-05T02:21:46Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-05T04:00:00Z,2001-01-05T03:21:46Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-05T05:00:00Z,2001-01-05T04:21:46Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-05T06:00:01Z,2001-01-05T05:21:47Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-05T07:00:01Z,2001-01-05T06:21:47Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-05T08:00:01Z,2001-01-05T07:21:47Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-05T09:00:01Z,2001-01-05T08:21:47Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-05T10:00:01Z,2001-01-05T09:21:47Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-05T11:00:01Z,2001-01-05T10:21:47Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-05T12:00:01Z,2001-01-05T11:21:47Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-05T13:00:01Z,2001-01-05T12:21:47Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-05T14:00:01Z,2001-01-05T13:21:47Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-05T15:00:01Z,2001-01-05T14:21:47Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-05T16:00:01Z,2001-01-05T15:21:47Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-05T17:00:01Z,2001-01-05T16:21:47Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-05T18:00:01Z,2001-01-05T17:21:47Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-05T19:00:01Z,2001-01-05T18:21:47Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-05T20:00:01Z,2001-01-05T19:21:47Z,,,,,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-05T21:00:01Z,2001-01-05T20:21:47Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-05T22:00:01Z,2001-01-05T21:21:47Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-05T23:00:01Z,2001-01-05T22:21:47Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-06T00:00:01Z,2001-01-05T23:21:47Z,,,,,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2001-01-06T01:00:01Z,2001-01-06T00:21:23Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-06T02:00:01Z,2001-01-06T01:21:23Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-06T03:00:01Z,2001-01-06T02:21:23Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-06T04:00:01Z,2001-01-06T03:21:23Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-06T05:00:01Z,2001-01-06T04:21:23Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-06T06:00:01Z,2001-01-06T05:21:23Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-06T07:00:01Z,2001-01-06T06:21:23Z,,,,,,,CALCULATED,CALCULATED,CALCULATED
2001-01-06T08:00:01Z,2001-01-06T07:21:23Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
2001-01-06T09:00:01Z,2001-01-06T08:21:23Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED,CALCULATED
