TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,swc_shallow,sw_in,ext_rad
2011-03-10T09:00:00Z,2011-03-10T05:47:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T09:30:00Z,2011-03-10T06:17:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T09:59:59Z,2011-03-10T06:47:46Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T10:30:00Z,2011-03-10T07:17:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T11:00:00Z,2011-03-10T07:47:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T11:29:59Z,2011-03-10T08:17:46Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T12:00:00Z,2011-03-10T08:47:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T12:30:00Z,2011-03-10T09:17:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T12:59:59Z,2011-03-10T09:47:46Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T13:30:00Z,2011-03-10T10:17:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T14:00:00Z,2011-03-10T10:47:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T14:29:59Z,2011-03-10T11:17:46Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T15:00:00Z,2011-03-10T11:47:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T15:30:00Z,2011-03-10T12:17:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T15:59:59Z,2011-03-10T12:47:46Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T16:30:00Z,2011-03-10T13:17:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T17:00:00Z,2011-03-10T13:47:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T17:29:59Z,2011-03-10T14:17:46Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T18:00:00Z,2011-03-10T14:47:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T18:30:00Z,2011-03-10T15:17:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T18:59:59Z,2011-03-10T15:47:46Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T19:30:00Z,2011-03-10T16:17:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T20:00:00Z,2011-03-10T16:47:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T20:29:59Z,2011-03-10T17:17:46Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T21:00:00Z,2011-03-10T17:47:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T21:30:00Z,2011-03-10T18:17:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T21:59:59Z,2011-03-10T18:47:46Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T22:30:00Z,2011-03-10T19:17:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T23:00:00Z,2011-03-10T19:47:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-10T23:29:59Z,2011-03-10T20:17:46Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T00:00:00Z,2011-03-10T20:47:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T00:30:00Z,2011-03-10T21:17:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T00:59:59Z,2011-03-10T21:47:46Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T01:30:00Z,2011-03-10T22:17:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T02:00:00Z,2011-03-10T22:47:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T02:29:59Z,2011-03-10T23:17:46Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T03:00:00Z,2011-03-10T23:47:47Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T03:30:00Z,2011-03-11T00:18:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T03:59:59Z,2011-03-11T00:48:02Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T04:30:00Z,2011-03-11T01:18:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T05:00:00Z,2011-03-11T01:48:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T05:29:59Z,2011-03-11T02:18:02Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T06:00:00Z,2011-03-11T02:48:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T06:30:00Z,2011-03-11T03:18:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T06:59:59Z,2011-03-11T03:48:02Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T07:30:00Z,2011-03-11T04:18:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T08:00:00Z,2011-03-11T04:48:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T08:29:59Z,2011-03-11T05:18:02Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T09:00:00Z,2011-03-11T05:48:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T09:30:00Z,2011-03-11T06:18:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T09:59:59Z,2011-03-11T06:48:02Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T10:30:00Z,2011-03-11T07:18:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T11:00:00Z,2011-03-11T07:48:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T11:29:59Z,2011-03-11T08:18:02Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T12:00:00Z,2011-03-11T08:48:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T12:30:00Z,2011-03-11T09:18:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T12:59:59Z,2011-03-11T09:48:02Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T13:30:00Z,2011-03-11T10:18:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T14:00:00Z,2011-03-11T10:48:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T14:29:59Z,2011-03-11T11:18:02Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T15:00:00Z,2011-03-11T11:48:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T15:30:00Z,2011-03-11T12:18:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T15:59:59Z,2011-03-11T12:48:02Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T16:30:00Z,2011-03-11T13:18:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T17:00:00Z,2011-03-11T13:48:03Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
2011-03-11T17:29:59Z,2011-03-11T14:18:02Z,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,NA_ADDED,CALCULATED,CALCULATED
