TIMESTAMP,solar_TIMESTAMP,ta,rh,netrad,ws,precip,vpd,ext_rad
2007-04-21T23:00:00Z,2007-04-21T23:47:14Z,3.229,75,0,1.108,0,0.19262860627278625,0
2007-04-21T23:30:00Z,2007-04-22T00:17:25Z,3.126,75.2,0,0.804,0,0.189695238250673,0
2007-04-21T23:59:59Z,2007-04-22T00:47:24Z,3.11,74.1,0,0.865,0,0.19788410090670802,0
2007-04-22T00:30:00Z,2007-04-22T01:17:25Z,3.114,74,0,1.033,0,0.1987045879497291,0
2007-04-22T01:00:00Z,2007-04-22T01:47:25Z,3.016,74.7,0,1.706,0,0.19201287579319903,0
2007-04-22T01:29:59Z,2007-04-22T02:17:24Z,2.804,75.6,0,2.084,0,0.18240966047288176,0
2007-04-22T02:00:00Z,2007-04-22T02:47:25Z,2.025,79.8,0,2.892,0,0.14283462967423516,0
2007-04-22T02:30:00Z,2007-04-22T03:17:25Z,1.798,80.1,0,3.081,0,0.13843960712971773,0
2007-04-22T02:59:59Z,2007-04-22T03:47:24Z,1.717,79.2,0,3.122,0,0.1438609123768399,0
2007-04-22T03:30:00Z,2007-04-22T04:17:25Z,1.593,79,0,3.243,0,0.1439546430591643,0
2007-04-22T04:00:00Z,2007-04-22T04:47:25Z,1.735,74.5,0.067,2.947,0,0.1765962757782143,0
2007-04-22T04:29:59Z,2007-04-22T05:17:24Z,1.6,74.6,4.154,4.039,0,0.17420429156206377,48.3910028991262
2007-04-22T05:00:00Z,2007-04-22T05:47:25Z,2.05,71.1,51.24,3.809,0,0.2047190818282435,165.17474687665361
2007-04-22T05:30:00Z,2007-04-22T06:17:25Z,2.432,68.91,138.8,1.926,0,0.2263360647150766,282.6460686159592
2007-04-22T05:59:59Z,2007-04-22T06:47:24Z,3.499,64.73,229,0.917,0,0.27701205594068123,398.7948681446674
2007-04-22T06:30:00Z,2007-04-22T07:17:25Z,4.353,59.93,328.9,1.449,0,0.3342570611605806,511.82369811283615
2007-04-22T07:00:00Z,2007-04-22T07:47:25Z,5.035,57,421.7,1.466,0,0.3762644405124525,619.607636777713
2007-04-22T07:29:59Z,2007-04-22T08:17:24Z,6.094,50.27,510.1,1.794,0,0.46843656458403293,720.3121088587327
2007-04-22T08:00:00Z,2007-04-22T08:47:25Z,6.909,43.93,589.3,1.924,0,0.5587329303742024,812.3737457047175
2007-04-22T08:30:00Z,2007-04-22T09:17:25Z,7.32,40.86,663.3,2.221,0,0.6062030454059036,894.0567350551447
2007-04-22T08:59:59Z,2007-04-22T09:47:24Z,7.42,37.56,730,1.716,0,0.6444319963631949,963.9813989248615
2007-04-22T09:30:00Z,2007-04-22T10:17:25Z,7.69,40.46,783,2.533,0,0.6259645413395478,1021.0565198088464
2007-04-22T10:00:00Z,2007-04-22T10:47:25Z,8.45,41.02,826,2.944,0,0.6530454884927664,1064.1997271519062
2007-04-22T10:29:59Z,2007-04-22T11:17:24Z,9.21,30.5,861,2.883,0,0.8101785274601233,1092.6963393876485
2007-04-22T11:00:00Z,2007-04-22T11:47:25Z,9.11,25.18,878,1.647,0,0.8663230385307261,1106.0934617805788
2007-04-22T11:30:00Z,2007-04-22T12:17:25Z,9.09,23.43,878,1.812,0,0.8853882719858379,1104.126989592782
2007-04-22T11:59:59Z,2007-04-22T12:47:24Z,9.88,29.43,863,3.349,0,0.8606176420091354,1086.856069263927
2007-04-22T12:30:00Z,2007-04-22T13:17:25Z,9.72,31.72,833,2.193,0,0.8237856290739586,1054.5350949633767
2007-04-22T13:00:00Z,2007-04-22T13:47:25Z,10.37,32.74,798,2.587,0,0.8476354352770276,1007.758444386827
2007-04-22T13:29:59Z,2007-04-22T14:17:24Z,10.45,31.78,757,2.02,0,0.8643448304594651,947.3500833146062
2007-04-22T14:00:00Z,2007-04-22T14:47:25Z,10.87,28.56,702,1.988,0,0.9308679303139675,874.2329535381093
2007-04-22T14:30:00Z,2007-04-22T15:17:25Z,10.98,28.48,634.1,2.082,0,0.9387608251295888,789.7694004746619
2007-04-22T14:59:59Z,2007-04-22T15:47:24Z,10.98,30.08,554.1,1.93,0,0.9177594643884347,695.4227325975908
2007-04-22T15:30:00Z,2007-04-22T16:17:25Z,10.78,31.85,461.5,1.675,0,0.8826892977762615,592.6438906018886
2007-04-22T16:00:00Z,2007-04-22T16:47:25Z,9.64,37.69,369,2.521,0,0.7477242021212904,483.3557257637667
2007-04-22T16:29:59Z,2007-04-22T17:17:24Z,8.45,43.52,276.6,3.632,0,0.625364686166013,369.4380528194384
2007-04-22T17:00:00Z,2007-04-22T17:47:25Z,8.1,49.25,186.4,1.916,0,0.5486955443191786,252.6488585688044
2007-04-22T17:30:00Z,2007-04-22T18:17:25Z,7.09,59.59,62.74,2.84,0,0.40772584441660414,135.17868415163085
2007-04-22T17:59:59Z,2007-04-22T18:47:24Z,6.459,63.83,22.21,3.309,0,0.34941974960588296,19.0375885719381
2007-04-22T18:30:00Z,2007-04-22T19:17:25Z,5.936,66.79,4.271,3.608,0,0.30941664506338834,0
2007-04-22T19:00:00Z,2007-04-22T19:47:25Z,5.443,70.5,0.044,3.737,0,0.26559003872088777,0
2007-04-22T19:29:59Z,2007-04-22T20:17:24Z,5.051,73.1,0,2.796,0,0.2356474254572072,0
2007-04-22T20:00:00Z,2007-04-22T20:47:25Z,4.749,75.4,0,2.628,0,0.21099248975001145,0
2007-04-22T20:30:00Z,2007-04-22T21:17:25Z,4.349,77.2,0,1.578,0,0.19014020810536744,0
2007-04-22T20:59:59Z,2007-04-22T21:47:24Z,3.967,78.6,0,2.702,0,0.17372829511206547,0
2007-04-22T21:30:00Z,2007-04-22T22:17:25Z,4.291,74.3,0,2.435,0,0.2134523270164797,0
2007-04-22T22:00:00Z,2007-04-22T22:47:25Z,4.262,73.5,0,1.684,0,0.21964819942501815,0
2007-04-22T22:29:59Z,2007-04-22T23:17:24Z,4.107,73.5,0,1.416,0,0.21726435974839492,0
2007-04-22T23:00:00Z,2007-04-22T23:47:25Z,3.766,75.6,0,1.06,0,0.19529204916305093,0
2007-04-22T23:30:00Z,2007-04-23T00:17:35Z,3.517,79.3,0,1.314,0,0.16278599835849478,0
2007-04-22T23:59:59Z,2007-04-23T00:47:34Z,3.519,75.3,0,1.266,0,0.19426973555694346,0
2007-04-23T00:30:00Z,2007-04-23T01:17:35Z,3.758,75.2,0,0.665,0,0.19838139772195962,0
2007-04-23T01:00:00Z,2007-04-23T01:47:35Z,3.732,73.3,0,1.06,0,0.21318793912445863,0
2007-04-23T01:29:59Z,2007-04-23T02:17:34Z,3.632,73.2,0,1.096,0,0.21247885183109044,0
2007-04-23T02:00:00Z,2007-04-23T02:47:35Z,3.364,75.6,0,1.358,0,0.18981441060536794,0
2007-04-23T02:30:00Z,2007-04-23T03:17:35Z,2.948,77.9,0,2.06,0,0.16691749288287808,0
2007-04-23T02:59:59Z,2007-04-23T03:47:34Z,2.845,79.9,0,2.226,0,0.15070306251467808,0
2007-04-23T03:30:00Z,2007-04-23T04:17:35Z,3.082,80.2,0,1.674,0,0.15097754164088456,0
2007-04-23T04:00:00Z,2007-04-23T04:47:35Z,2.995,80.2,0.1,1.653,0,0.15004673256285173,0
2007-04-23T04:29:59Z,2007-04-23T05:17:34Z,2.849,78.4,4.232,1.715,0,0.161995688744669,55.62597280218906
2007-04-23T05:00:00Z,2007-04-23T05:47:35Z,3.035,76.5,50.91,1.437,0,0.17859295083142504,172.21643947807974
2007-04-23T05:30:00Z,2007-04-23T06:17:35Z,3.39,72.5,136.4,1.436,0,0.21432479513902233,289.4690261417988
2007-04-23T05:59:59Z,2007-04-23T06:47:34Z,4.557,67.84,235.1,0.871,0,0.2721450870279002,405.3774367252355
2007-04-23T06:30:00Z,2007-04-23T07:17:35Z,4.998,65.55,334.2,1.33,0,0.3006702931191983,518.1479444376681
2007-04-23T07:00:00Z,2007-04-23T07:47:35Z,5.672,66.24,427.2,1.508,0,0.30882607142926416,625.6604832715947
2007-04-23T07:29:59Z,2007-04-23T08:17:34Z,6.198,63.15,514.4,1.326,0,0.34962135064096844,726.0851602911036
2007-04-23T08:00:00Z,2007-04-23T08:47:35Z,7.11,55.47,595,1.848,0,0.4499133712735645,817.8629451836858
2007-04-23T08:30:00Z,2007-04-23T09:17:35Z,7.02,53.69,667.6,2.185,0,0.4650124062477505,899.2633686501307
2007-04-23T08:59:59Z,2007-04-23T09:47:34Z,7.84,48.68,730,2.65,0,0.5451036498366723,968.9115975582979
2007-04-23T09:30:00Z,2007-04-23T10:17:35Z,8.81,31.55,786,2.471,0,0.7766401381256062,1025.7207073959933
2007-04-23T10:00:00Z,2007-04-23T10:47:35Z,9.12,32.89,824,2.453,0,0.7775760649363476,1068.6133414066235
2007-04-23T10:29:59Z,2007-04-23T11:17:34Z,9.45,30.9,861,2.406,0,0.8186630303832079,1096.8790854042707
2007-04-23T11:00:00Z,2007-04-23T11:47:35Z,9.68,25.37,884,2.176,0,0.8979782674488943,1110.0686368086863
2007-04-23T11:30:00Z,2007-04-23T12:17:35Z,9.56,27.33,886,2.032,0,0.8673618186557226,1107.9218102686534
2007-04-23T11:59:59Z,2007-04-23T12:47:34Z,10.8,19.31,875,2.032,0,1.0465035032764307,1090.5007911255143
2007-04-23T12:30:00Z,2007-04-23T13:17:35Z,10.53,19.97,847,2.256,0,1.0194119129825108,1058.06231709642
2007-04-23T13:00:00Z,2007-04-23T13:47:35Z,11.14,21.67,810,1.568,0,1.039147381961608,1011.2029935444394
