TIMESTAMP,solar_TIMESTAMP,CHN_YIN_ST1_Peu_Js_1,CHN_YIN_ST1_Peu_Js_2,CHN_YIN_ST1_Peu_Js_3,CHN_YIN_ST1_Peu_Js_4,CHN_YIN_ST1_Peu_Js_5
2012-05-26T06:29:59Z,2012-05-26T12:15:10Z,,,,,
2012-05-26T06:39:59Z,2012-05-26T12:25:10Z,,,,,
2012-05-26T06:50:00Z,2012-05-26T12:35:11Z,,,,,
2012-05-26T07:00:00Z,2012-05-26T12:45:11Z,,,,,
2012-05-26T07:10:00Z,2012-05-26T12:55:11Z,,,,,
2012-05-26T07:20:00Z,2012-05-26T13:05:11Z,,,,,
2012-05-26T07:30:00Z,2012-05-26T13:15:11Z,,,,,
2012-05-26T07:40:00Z,2012-05-26T13:25:11Z,,,,,
2012-05-26T07:49:59Z,2012-05-26T13:35:10Z,,,,,
2012-05-26T07:59:59Z,2012-05-26T13:45:10Z,,,,,
2012-05-26T08:09:59Z,2012-05-26T13:55:10Z,,,,,
2012-05-26T08:20:00Z,2012-05-26T14:05:11Z,,,,,
2012-05-26T08:30:00Z,2012-05-26T14:15:11Z,,,,,
2012-05-26T08:40:00Z,2012-05-26T14:25:11Z,,,,,
2012-05-26T08:50:00Z,2012-05-26T14:35:11Z,,,,,
2012-05-26T09:00:00Z,2012-05-26T14:45:11Z,,,,,
2012-05-26T09:10:00Z,2012-05-26T14:55:11Z,,,,,
2012-05-26T09:19:59Z,2012-05-26T15:05:10Z,,,,,
2012-05-26T09:29:59Z,2012-05-26T15:15:10Z,,,,,
2012-05-26T09:39:59Z,2012-05-26T15:25:10Z,,,,,
2012-05-26T09:50:00Z,2012-05-26T15:35:11Z,,,,,
2012-05-26T10:00:00Z,2012-05-26T15:45:11Z,,,,,
2012-05-26T10:10:00Z,2012-05-26T15:55:11Z,,,,,
2012-05-26T10:20:00Z,2012-05-26T16:05:11Z,,,,,
2012-05-26T10:30:00Z,2012-05-26T16:15:11Z,,,,,
2012-05-26T10:40:00Z,2012-05-26T16:25:11Z,,,,,
2012-05-26T10:49:59Z,2012-05-26T16:35:10Z,,,,,
2012-05-26T10:59:59Z,2012-05-26T16:45:10Z,,,,,
2012-05-26T11:09:59Z,2012-05-26T16:55:10Z,,,,,
2012-05-26T11:20:00Z,2012-05-26T17:05:11Z,,,,,
2012-05-26T11:30:00Z,2012-05-26T17:15:11Z,,,,,
