pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
100,No azimuthal correction,52,CHN_ARG_GWD_Peu_Js_1,25.5,7.9,NA,UT253,No radial correction,obligate phreatophyte,cm3 cm-2 h-1,66.38,1.1,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,10,dominant,Populus euphratica,two increment cores at breast height  for dendrochronological analysis,CHN_ARG_GWD,g m-2 s-1
130,No azimuthal correction,41,CHN_ARG_GWD_Peu_Js_2,29.3,8.7,NA,UT175,No radial correction,obligate phreatophyte,cm3 cm-2 h-1,141.64,2.1,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,10,dominant,Populus euphratica,two increment cores at breast height  for dendrochronological analysis,CHN_ARG_GWD,g m-2 s-1
