TIMESTAMP,solar_TIMESTAMP,MDG_YOU_SHO_Pal_Js_1,MDG_YOU_SHO_Pal_Js_2,MDG_YOU_SHO_Pal_Js_3,MDG_YOU_SHO_Pal_Js_4
2015-02-28T21:00:00Z,2015-03-01T00:01:21Z,0.05,0.06,0.2,0.08
2015-02-28T21:30:00Z,2015-03-01T00:31:21Z,0.03,0.05,0.22,0.06
2015-02-28T22:00:00Z,2015-03-01T01:01:21Z,0.03,0.03,0.19,0.06
2015-02-28T22:30:00Z,2015-03-01T01:31:21Z,0.03,0.03,0.1,0.05
2015-02-28T23:00:00Z,2015-03-01T02:01:21Z,0.02,0.04,0.11,0.03
2015-02-28T23:30:00Z,2015-03-01T02:31:21Z,0.01,0.03,0.14,0.02
2015-03-01T00:00:00Z,2015-03-01T03:01:21Z,0.01,0.02,0.14,0.01
2015-03-01T00:30:00Z,2015-03-01T03:31:21Z,0.01,0.05,0.24,0
2015-03-01T01:00:00Z,2015-03-01T04:01:21Z,0.02,0.04,0.25,0
2015-03-01T01:30:00Z,2015-03-01T04:31:21Z,0.02,0.03,0.2,0.01
2015-03-01T02:00:00Z,2015-03-01T05:01:21Z,0.03,0.02,0.15,0.03
2015-03-01T02:30:00Z,2015-03-01T05:31:21Z,0,0.01,0.05,0.03
2015-03-01T03:00:00Z,2015-03-01T06:01:21Z,0.03,0.02,0.01,0.04
2015-03-01T03:30:00Z,2015-03-01T06:31:21Z,0.14,0.07,0.04,0.14
2015-03-01T04:00:00Z,2015-03-01T07:01:21Z,0.25,0.19,0.04,0.27
2015-03-01T04:30:00Z,2015-03-01T07:31:21Z,1.14,1.38,0.46,0.8
2015-03-01T05:00:00Z,2015-03-01T08:01:21Z,2.54,3.84,3.49,2.86
2015-03-01T05:30:00Z,2015-03-01T08:31:21Z,3.42,5.44,5.82,5.89
2015-03-01T06:00:00Z,2015-03-01T09:01:21Z,3.94,6.06,5.35,6.61
2015-03-01T06:30:00Z,2015-03-01T09:31:21Z,3.89,5.68,4.82,5.79
2015-03-01T07:00:00Z,2015-03-01T10:01:21Z,4.15,6.43,5.95,7.27
2015-03-01T07:30:00Z,2015-03-01T10:31:21Z,5.09,7.99,6.32,9.74
2015-03-01T08:00:00Z,2015-03-01T11:01:21Z,5.25,8.31,6.11,8.8
2015-03-01T08:30:00Z,2015-03-01T11:31:21Z,5.52,8.22,6.35,9.48
