sp_basal_area_perc,sp_leaf_habit,sp_name,sp_ntrees,si_code
44,cold deciduous,Quercus montana,7,USA_SIL_OAK_1PR
27,cold deciduous,Quercus velutina,8,USA_SIL_OAK_1PR
14,cold deciduous,Quercus coccinea,2,USA_SIL_OAK_1PR
8,evergreen,Pinus rigida,1,USA_SIL_OAK_1PR
