TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,ws,precip,swc_shallow,swc_deep,ppfd_in,vpd,ext_rad
1998-07-31T23:59:59Z,1998-07-31T22:52:26Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1998-08-01T01:00:00Z,1998-07-31T23:52:27Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1998-08-01T02:00:00Z,1998-08-01T00:52:32Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1998-08-01T03:00:00Z,1998-08-01T01:52:32Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1998-08-01T04:00:00Z,1998-08-01T02:52:32Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1998-08-01T05:00:00Z,1998-08-01T03:52:32Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1998-08-01T06:00:00Z,1998-08-01T04:52:32Z,,,RANGE_WARN,,,,,CALCULATED,CALCULATED,CALCULATED
1998-08-01T07:00:00Z,1998-08-01T05:52:32Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1998-08-01T08:00:00Z,1998-08-01T06:52:32Z,,,,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1998-08-01T09:00:00Z,1998-08-01T07:52:32Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1998-08-01T10:00:00Z,1998-08-01T08:52:32Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1998-08-01T11:00:00Z,1998-08-01T09:52:32Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
