TIMESTAMP,TIMESTAMP_solar,ta,rh,vpd,sw_in,ws,precip,swc_shallow,ppfd_in,ext_rad
2015-02-02T22:00:01Z,2015-02-02T23:02:33Z,NA,NA,NA,NA,NA,NA,NA,NA,1342.5716592367614
2015-02-02T23:00:01Z,2015-02-03T00:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,1318.7693814278928
2015-02-03T00:00:01Z,2015-02-03T01:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,1220.3272734747782
2015-02-03T01:00:01Z,2015-02-03T02:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,1053.9529226776185
2015-02-03T02:00:01Z,2015-02-03T03:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,830.9827179629384
2015-02-03T03:00:01Z,2015-02-03T04:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,566.6094194421316
2015-02-03T04:00:01Z,2015-02-03T05:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,278.8469582148362
2015-02-03T05:00:01Z,2015-02-03T06:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-02-03T06:00:01Z,2015-02-03T07:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-02-03T07:00:01Z,2015-02-03T08:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-02-03T08:00:01Z,2015-02-03T09:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-02-03T09:00:01Z,2015-02-03T10:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-02-03T10:00:01Z,2015-02-03T11:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-02-03T11:00:01Z,2015-02-03T12:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-02-03T12:00:01Z,2015-02-03T13:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-02-03T13:00:01Z,2015-02-03T14:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-02-03T14:00:01Z,2015-02-03T15:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-02-03T15:00:01Z,2015-02-03T16:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,0
2015-02-03T16:00:01Z,2015-02-03T17:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,163.16663218677957
2015-02-03T17:00:01Z,2015-02-03T18:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,455.0777275189152
2015-02-03T18:00:01Z,2015-02-03T19:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,730.9290392165537
2015-02-03T19:00:01Z,2015-02-03T20:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,971.92425606736106
2015-02-03T20:00:01Z,2015-02-03T21:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,1161.6420993097283
2015-02-03T21:00:01Z,2015-02-03T22:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,1287.155263922243
2015-02-03T22:00:01Z,2015-02-03T23:02:27Z,NA,NA,NA,NA,NA,NA,NA,NA,1339.9112866269293
