TIMESTAMP,solar_TIMESTAMP,CHN_YIN_ST3_DRO_Peu_Js_1,CHN_YIN_ST3_DRO_Peu_Js_2,CHN_YIN_ST3_DRO_Peu_Js_3
2012-05-26T07:40:00Z,2012-05-26T13:26:17Z,,,
2012-05-26T07:49:59Z,2012-05-26T13:36:16Z,,,
2012-05-26T07:59:59Z,2012-05-26T13:46:16Z,,,
2012-05-26T08:09:59Z,2012-05-26T13:56:16Z,,,
2012-05-26T08:20:00Z,2012-05-26T14:06:17Z,,,
2012-05-26T08:30:00Z,2012-05-26T14:16:17Z,,,
2012-05-26T08:40:00Z,2012-05-26T14:26:17Z,,,
2012-05-26T08:50:00Z,2012-05-26T14:36:17Z,,,
2012-05-26T09:00:00Z,2012-05-26T14:46:17Z,,,
2012-05-26T09:10:00Z,2012-05-26T14:56:17Z,,,
2012-05-26T09:19:59Z,2012-05-26T15:06:16Z,,,
2012-05-26T09:29:59Z,2012-05-26T15:16:16Z,,,
2012-05-26T09:39:59Z,2012-05-26T15:26:16Z,,,
2012-05-26T09:50:00Z,2012-05-26T15:36:17Z,,,
2012-05-26T10:00:00Z,2012-05-26T15:46:17Z,,,
2012-05-26T10:10:00Z,2012-05-26T15:56:17Z,,,
2012-05-26T10:20:00Z,2012-05-26T16:06:17Z,,,
2012-05-26T10:30:00Z,2012-05-26T16:16:17Z,,,
2012-05-26T10:40:00Z,2012-05-26T16:26:17Z,,,
2012-05-26T10:49:59Z,2012-05-26T16:36:16Z,,,
2012-05-26T10:59:59Z,2012-05-26T16:46:16Z,,,
2012-05-26T11:09:59Z,2012-05-26T16:56:16Z,,,
2012-05-26T11:20:00Z,2012-05-26T17:06:17Z,,,
2012-05-26T11:30:00Z,2012-05-26T17:16:17Z,,,
2012-05-26T11:40:00Z,2012-05-26T17:26:17Z,,,
2012-05-26T11:50:00Z,2012-05-26T17:36:17Z,,,
2012-05-26T12:00:00Z,2012-05-26T17:46:17Z,,,
2012-05-26T12:10:00Z,2012-05-26T17:56:17Z,,,
2012-05-26T12:19:59Z,2012-05-26T18:06:16Z,,,
2012-05-26T12:29:59Z,2012-05-26T18:16:16Z,,,
2012-05-26T12:39:59Z,2012-05-26T18:26:16Z,,,
2012-05-26T12:50:00Z,2012-05-26T18:36:17Z,,,
2012-05-26T13:00:00Z,2012-05-26T18:46:17Z,,,
2012-05-26T13:10:00Z,2012-05-26T18:56:17Z,,,
2012-05-26T13:20:00Z,2012-05-26T19:06:17Z,,,
2012-05-26T13:30:00Z,2012-05-26T19:16:17Z,,,
2012-05-26T13:40:00Z,2012-05-26T19:26:17Z,,,
2012-05-26T13:49:59Z,2012-05-26T19:36:16Z,,,
2012-05-26T13:59:59Z,2012-05-26T19:46:16Z,,,
2012-05-26T14:09:59Z,2012-05-26T19:56:16Z,,,
2012-05-26T14:20:00Z,2012-05-26T20:06:17Z,,,
2012-05-26T14:30:00Z,2012-05-26T20:16:17Z,,,
2012-05-26T14:40:00Z,2012-05-26T20:26:17Z,,,
2012-05-26T14:50:00Z,2012-05-26T20:36:17Z,,,
2012-05-26T15:00:00Z,2012-05-26T20:46:17Z,,,
2012-05-26T15:10:00Z,2012-05-26T20:56:17Z,,,
2012-05-26T15:19:59Z,2012-05-26T21:06:16Z,,,
