pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
80,No azimuthal correction,69,CHN_ARG_GWS_Peu_Js_1,40.15,10.5,NA,UT31A,No radial correction,obligate phreatophyte,cm3 cm-2 h-1,182.13,1.5,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,10,codominant,Populus euphratica,two increment cores at breast height  for dendrochronological analysis,CHN_ARG_GWS,g m-2 s-1
65,No azimuthal correction,53,CHN_ARG_GWS_Peu_Js_2,28.08,9.9,NA,UT33A,No radial correction,obligate phreatophyte,cm3 cm-2 h-1,117.34,2.75,FALSE,No correction,Moist nights zero flow,1.3,20,UP GmbH,HD,10,codominant,Populus euphratica,two increment cores at breast height  for dendrochronological analysis,CHN_ARG_GWS,g m-2 s-1
