TIMESTAMP,solar_TIMESTAMP,ta,rh,ppfd_in,precip,sw_in,vpd,ext_rad
2013-01-01T15:00:00Z,2013-01-01T09:19:57Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-01T15:30:00Z,2013-01-01T09:49:57Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-01T16:00:00Z,2013-01-01T10:19:57Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-01T16:30:00Z,2013-01-01T10:49:57Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-01T17:00:00Z,2013-01-01T11:19:57Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-01T17:30:00Z,2013-01-01T11:49:57Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-01T18:00:00Z,2013-01-01T12:19:57Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-01T18:30:00Z,2013-01-01T12:49:57Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-01T19:00:00Z,2013-01-01T13:19:57Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-01T19:30:00Z,2013-01-01T13:49:57Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-01T20:00:00Z,2013-01-01T14:19:57Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-01T20:30:00Z,2013-01-01T14:49:57Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-01T21:00:00Z,2013-01-01T15:19:57Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-01T21:30:00Z,2013-01-01T15:49:57Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-01T22:00:00Z,2013-01-01T16:19:57Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-01T22:30:00Z,2013-01-01T16:49:57Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-01T23:00:00Z,2013-01-01T17:19:57Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-01T23:30:00Z,2013-01-01T17:49:57Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T00:00:00Z,2013-01-01T18:19:57Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T00:30:00Z,2013-01-01T18:49:57Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T01:00:00Z,2013-01-01T19:19:57Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T01:30:00Z,2013-01-01T19:49:57Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T02:00:00Z,2013-01-01T20:19:57Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T02:30:00Z,2013-01-01T20:49:57Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T03:00:00Z,2013-01-01T21:19:57Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T03:30:00Z,2013-01-01T21:49:57Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T04:00:00Z,2013-01-01T22:19:57Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T04:30:00Z,2013-01-01T22:49:57Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T05:00:00Z,2013-01-01T23:19:57Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T05:30:00Z,2013-01-01T23:49:57Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T06:00:00Z,2013-01-02T00:19:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T06:30:00Z,2013-01-02T00:49:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T07:00:00Z,2013-01-02T01:19:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T07:30:00Z,2013-01-02T01:49:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T08:00:00Z,2013-01-02T02:19:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T08:30:00Z,2013-01-02T02:49:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T09:00:00Z,2013-01-02T03:19:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T09:30:00Z,2013-01-02T03:49:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T10:00:00Z,2013-01-02T04:19:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T10:30:00Z,2013-01-02T04:49:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T11:00:00Z,2013-01-02T05:19:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T11:30:00Z,2013-01-02T05:49:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T12:00:00Z,2013-01-02T06:19:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T12:30:00Z,2013-01-02T06:49:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T13:00:00Z,2013-01-02T07:19:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T13:30:00Z,2013-01-02T07:49:31Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T14:00:00Z,2013-01-02T08:19:31Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T14:30:00Z,2013-01-02T08:49:31Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T15:00:00Z,2013-01-02T09:19:31Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T15:30:00Z,2013-01-02T09:49:31Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T16:00:00Z,2013-01-02T10:19:31Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T16:30:00Z,2013-01-02T10:49:31Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T17:00:00Z,2013-01-02T11:19:31Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T17:30:00Z,2013-01-02T11:49:31Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T18:00:00Z,2013-01-02T12:19:31Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T18:30:00Z,2013-01-02T12:49:31Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T19:00:00Z,2013-01-02T13:19:31Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T19:30:00Z,2013-01-02T13:49:31Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T20:00:00Z,2013-01-02T14:19:31Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T20:30:00Z,2013-01-02T14:49:31Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T21:00:00Z,2013-01-02T15:19:31Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T21:30:00Z,2013-01-02T15:49:31Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T22:00:00Z,2013-01-02T16:19:31Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T22:30:00Z,2013-01-02T16:49:31Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T23:00:00Z,2013-01-02T17:19:31Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-02T23:30:00Z,2013-01-02T17:49:31Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T00:00:00Z,2013-01-02T18:19:31Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T00:30:00Z,2013-01-02T18:49:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T01:00:00Z,2013-01-02T19:19:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T01:30:00Z,2013-01-02T19:49:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T02:00:00Z,2013-01-02T20:19:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T02:30:00Z,2013-01-02T20:49:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T03:00:00Z,2013-01-02T21:19:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T03:30:00Z,2013-01-02T21:49:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T04:00:00Z,2013-01-02T22:19:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T04:30:00Z,2013-01-02T22:49:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T05:00:00Z,2013-01-02T23:19:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T05:30:00Z,2013-01-02T23:49:31Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T06:00:00Z,2013-01-03T00:19:06Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T06:30:00Z,2013-01-03T00:49:06Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T07:00:00Z,2013-01-03T01:19:06Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T07:30:00Z,2013-01-03T01:49:06Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T08:00:00Z,2013-01-03T02:19:06Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T08:30:00Z,2013-01-03T02:49:06Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T09:00:00Z,2013-01-03T03:19:06Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T09:30:00Z,2013-01-03T03:49:06Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T10:00:00Z,2013-01-03T04:19:06Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T10:30:00Z,2013-01-03T04:49:06Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T11:00:00Z,2013-01-03T05:19:06Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T11:30:00Z,2013-01-03T05:49:06Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T12:00:00Z,2013-01-03T06:19:06Z,,,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2013-01-03T12:30:00Z,2013-01-03T06:49:06Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T13:00:00Z,2013-01-03T07:19:06Z,,,,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2013-01-03T13:30:00Z,2013-01-03T07:49:06Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T14:00:00Z,2013-01-03T08:19:06Z,,,OUT_WARN,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2013-01-03T14:30:00Z,2013-01-03T08:49:06Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T15:00:00Z,2013-01-03T09:19:06Z,,,OUT_WARN,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2013-01-03T15:30:00Z,2013-01-03T09:49:06Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T16:00:00Z,2013-01-03T10:19:06Z,,,OUT_WARN,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2013-01-03T16:30:00Z,2013-01-03T10:49:06Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T17:00:00Z,2013-01-03T11:19:06Z,,,OUT_WARN,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2013-01-03T17:30:00Z,2013-01-03T11:49:06Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T18:00:00Z,2013-01-03T12:19:06Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T18:30:00Z,2013-01-03T12:49:06Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T19:00:00Z,2013-01-03T13:19:06Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T19:30:00Z,2013-01-03T13:49:06Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T20:00:00Z,2013-01-03T14:19:06Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T20:30:00Z,2013-01-03T14:49:06Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T21:00:00Z,2013-01-03T15:19:06Z,,,OUT_WARN,OUT_WARN,CALCULATED,CALCULATED,CALCULATED
2013-01-03T21:30:00Z,2013-01-03T15:49:06Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T22:00:00Z,2013-01-03T16:19:06Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T22:30:00Z,2013-01-03T16:49:06Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T23:00:00Z,2013-01-03T17:19:06Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-03T23:30:00Z,2013-01-03T17:49:06Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T00:00:00Z,2013-01-03T18:19:06Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T00:30:00Z,2013-01-03T18:49:06Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T01:00:00Z,2013-01-03T19:19:06Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T01:30:00Z,2013-01-03T19:49:06Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T02:00:00Z,2013-01-03T20:19:06Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T02:30:00Z,2013-01-03T20:49:06Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T03:00:00Z,2013-01-03T21:19:06Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T03:30:00Z,2013-01-03T21:49:06Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T04:00:00Z,2013-01-03T22:19:06Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T04:30:00Z,2013-01-03T22:49:06Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T05:00:00Z,2013-01-03T23:19:06Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T05:30:00Z,2013-01-03T23:49:06Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T06:00:00Z,2013-01-04T00:18:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T06:30:00Z,2013-01-04T00:48:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T07:00:00Z,2013-01-04T01:18:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T07:30:00Z,2013-01-04T01:48:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T08:00:00Z,2013-01-04T02:18:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T08:30:00Z,2013-01-04T02:48:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T09:00:00Z,2013-01-04T03:18:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T09:30:00Z,2013-01-04T03:48:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T10:00:00Z,2013-01-04T04:18:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T10:30:00Z,2013-01-04T04:48:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T11:00:00Z,2013-01-04T05:18:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T11:30:00Z,2013-01-04T05:48:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T12:00:00Z,2013-01-04T06:18:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T12:30:00Z,2013-01-04T06:48:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T13:00:00Z,2013-01-04T07:18:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T13:30:00Z,2013-01-04T07:48:42Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T14:00:00Z,2013-01-04T08:18:42Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T14:30:00Z,2013-01-04T08:48:42Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T15:00:00Z,2013-01-04T09:18:42Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T15:30:00Z,2013-01-04T09:48:42Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T16:00:00Z,2013-01-04T10:18:42Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T16:30:00Z,2013-01-04T10:48:42Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T17:00:00Z,2013-01-04T11:18:42Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T17:30:00Z,2013-01-04T11:48:42Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T18:00:00Z,2013-01-04T12:18:42Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T18:30:00Z,2013-01-04T12:48:42Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T19:00:00Z,2013-01-04T13:18:42Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T19:30:00Z,2013-01-04T13:48:42Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T20:00:00Z,2013-01-04T14:18:42Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T20:30:00Z,2013-01-04T14:48:42Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T21:00:00Z,2013-01-04T15:18:42Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T21:30:00Z,2013-01-04T15:48:42Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T22:00:00Z,2013-01-04T16:18:42Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T22:30:00Z,2013-01-04T16:48:42Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T23:00:00Z,2013-01-04T17:18:42Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-04T23:30:00Z,2013-01-04T17:48:42Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T00:00:00Z,2013-01-04T18:18:42Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T00:30:00Z,2013-01-04T18:48:42Z,,,OUT_WARN,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T01:00:00Z,2013-01-04T19:18:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T01:30:00Z,2013-01-04T19:48:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T02:00:00Z,2013-01-04T20:18:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T02:30:00Z,2013-01-04T20:48:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T03:00:00Z,2013-01-04T21:18:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T03:30:00Z,2013-01-04T21:48:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T04:00:00Z,2013-01-04T22:18:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T04:30:00Z,2013-01-04T22:48:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
2013-01-05T05:00:00Z,2013-01-04T23:18:42Z,,,,,CALCULATED,CALCULATED,CALCULATED
