TIMESTAMP,solar_TIMESTAMP,ESP_RIN_Qpy_Jt_1,ESP_RIN_Qpy_Jt_2,ESP_RIN_Qpy_Jt_3,ESP_RIN_Qpy_Jt_4,ESP_RIN_Qpy_Jt_5,ESP_RIN_Qpy_Jt_6,ESP_RIN_Qpy_Jt_7,ESP_RIN_Qpy_Jt_8
2007-06-02T22:00:00Z,2007-06-02T21:37:23Z,,,,,,,,
2007-06-02T23:00:00Z,2007-06-02T22:37:23Z,,,,,,,,
2007-06-03T00:00:00Z,2007-06-02T23:37:23Z,,,,,,,,
2007-06-03T01:00:00Z,2007-06-03T00:37:13Z,,,,,,,,
2007-06-03T02:00:00Z,2007-06-03T01:37:13Z,,,,,,,,
2007-06-03T03:00:00Z,2007-06-03T02:37:13Z,,,,,,,,
2007-06-03T04:00:00Z,2007-06-03T03:37:13Z,,,,,,,,
2007-06-03T05:00:00Z,2007-06-03T04:37:13Z,,,,,,,,
2007-06-03T06:00:00Z,2007-06-03T05:37:13Z,,,,,,,,
2007-06-03T07:00:00Z,2007-06-03T06:37:13Z,,,,,,,,
2007-06-03T08:00:00Z,2007-06-03T07:37:13Z,,,,,,,,
2007-06-03T09:00:00Z,2007-06-03T08:37:13Z,,,,,,,,
2007-06-03T10:00:00Z,2007-06-03T09:37:13Z,,,,,,,,
2007-06-03T11:00:00Z,2007-06-03T10:37:13Z,,,,,,,,
2007-06-03T12:00:00Z,2007-06-03T11:37:13Z,,,,,,,,
2007-06-03T13:00:00Z,2007-06-03T12:37:13Z,,,,,,,,
2007-06-03T14:00:00Z,2007-06-03T13:37:13Z,,,,,,,,
2007-06-03T15:00:00Z,2007-06-03T14:37:13Z,,,,,,,,
2007-06-03T16:00:00Z,2007-06-03T15:37:13Z,,,,,,,,
2007-06-03T17:00:00Z,2007-06-03T16:37:13Z,,,,,,,,
2007-06-03T18:00:00Z,2007-06-03T17:37:13Z,,,,,,,,
2007-06-03T19:00:00Z,2007-06-03T18:37:13Z,,,,,,,,
2007-06-03T20:00:00Z,2007-06-03T19:37:13Z,,,,,,,,
2007-06-03T21:00:00Z,2007-06-03T20:37:13Z,,,,,,,,
2007-06-03T22:00:00Z,2007-06-03T21:37:13Z,,,,,,,,
2007-06-03T23:00:00Z,2007-06-03T22:37:13Z,,,,,,,,
2007-06-04T00:00:00Z,2007-06-03T23:37:13Z,,,,,,,,
2007-06-04T01:00:00Z,2007-06-04T00:37:03Z,,,,,,,,
2007-06-04T02:00:00Z,2007-06-04T01:37:03Z,,,,,,,,
2007-06-04T03:00:00Z,2007-06-04T02:37:03Z,,,,,,,,
2007-06-04T04:00:00Z,2007-06-04T03:37:03Z,,,,,,,,
2007-06-04T05:00:00Z,2007-06-04T04:37:03Z,,,,,,,,
2007-06-04T06:00:00Z,2007-06-04T05:37:03Z,,,,,,,,
2007-06-04T07:00:00Z,2007-06-04T06:37:03Z,,,,,,,,
2007-06-04T08:00:00Z,2007-06-04T07:37:03Z,,,,,,,,
2007-06-04T09:00:00Z,2007-06-04T08:37:03Z,,,,,,,,
2007-06-04T10:00:00Z,2007-06-04T09:37:03Z,,,,,,,,
2007-06-04T11:00:00Z,2007-06-04T10:37:03Z,,,,,,,,
