TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,netrad,ws,precip,ext_rad
2015-03-05T07:30:00Z,2015-03-05T00:50:43Z,,,,,,,CALCULATED
2015-03-05T07:40:00Z,2015-03-05T01:00:43Z,,,,,,,CALCULATED
2015-03-05T07:50:00Z,2015-03-05T01:10:43Z,,,,,,,CALCULATED
2015-03-05T08:00:00Z,2015-03-05T01:20:43Z,,,,,,,CALCULATED
2015-03-05T08:10:00Z,2015-03-05T01:30:43Z,,,,,,,CALCULATED
2015-03-05T08:20:00Z,2015-03-05T01:40:43Z,,,,,,,CALCULATED
2015-03-05T08:30:00Z,2015-03-05T01:50:43Z,,,,,,,CALCULATED
2015-03-05T08:40:00Z,2015-03-05T02:00:43Z,,,,,,,CALCULATED
2015-03-05T08:50:00Z,2015-03-05T02:10:43Z,,,,,,,CALCULATED
2015-03-05T09:00:00Z,2015-03-05T02:20:43Z,,,,,,,CALCULATED
2015-03-05T09:10:00Z,2015-03-05T02:30:43Z,,,,,OUT_WARN,,CALCULATED
2015-03-05T09:20:00Z,2015-03-05T02:40:43Z,,,,,,,CALCULATED
2015-03-05T09:30:00Z,2015-03-05T02:50:43Z,,,,,,,CALCULATED
2015-03-05T09:40:00Z,2015-03-05T03:00:43Z,,,,,,,CALCULATED
2015-03-05T09:50:00Z,2015-03-05T03:10:43Z,,,,,OUT_WARN,,CALCULATED
2015-03-05T10:00:00Z,2015-03-05T03:20:43Z,,,,,,,CALCULATED
2015-03-05T10:10:00Z,2015-03-05T03:30:43Z,,,,,OUT_WARN,,CALCULATED
2015-03-05T10:20:00Z,2015-03-05T03:40:43Z,,,,,OUT_WARN,,CALCULATED
2015-03-05T10:30:00Z,2015-03-05T03:50:43Z,,,,,OUT_WARN,,CALCULATED
2015-03-05T10:40:00Z,2015-03-05T04:00:43Z,,,,,OUT_WARN,,CALCULATED
2015-03-05T10:50:00Z,2015-03-05T04:10:43Z,,,,,,,CALCULATED
2015-03-05T11:00:00Z,2015-03-05T04:20:43Z,,,,,,,CALCULATED
2015-03-05T11:10:00Z,2015-03-05T04:30:43Z,,,,,,,CALCULATED
2015-03-05T11:20:00Z,2015-03-05T04:40:43Z,,,,,,,CALCULATED
2015-03-05T11:30:00Z,2015-03-05T04:50:43Z,,,,,,,CALCULATED
2015-03-05T11:40:00Z,2015-03-05T05:00:43Z,,,,,,,CALCULATED
2015-03-05T11:50:00Z,2015-03-05T05:10:43Z,,,,,,,CALCULATED
2015-03-05T12:00:00Z,2015-03-05T05:20:43Z,,,,,OUT_WARN,,CALCULATED
2015-03-05T12:10:00Z,2015-03-05T05:30:43Z,,,,,,,CALCULATED
2015-03-05T12:20:00Z,2015-03-05T05:40:43Z,,,,,,,CALCULATED
2015-03-05T12:30:00Z,2015-03-05T05:50:43Z,,,,,,,CALCULATED
2015-03-05T12:40:00Z,2015-03-05T06:00:43Z,,,,,,,CALCULATED
2015-03-05T12:50:00Z,2015-03-05T06:10:43Z,,,,,,,CALCULATED
2015-03-05T13:00:00Z,2015-03-05T06:20:43Z,,,,,,,CALCULATED
2015-03-05T13:10:00Z,2015-03-05T06:30:43Z,,,,,,,CALCULATED
2015-03-05T13:20:00Z,2015-03-05T06:40:43Z,,,,,OUT_WARN,,CALCULATED
2015-03-05T13:30:00Z,2015-03-05T06:50:43Z,,,,,,,CALCULATED
2015-03-05T13:40:00Z,2015-03-05T07:00:43Z,,,,,,,CALCULATED
2015-03-05T13:50:00Z,2015-03-05T07:10:43Z,,,,,,,CALCULATED
2015-03-05T14:00:00Z,2015-03-05T07:20:43Z,,,,,,,CALCULATED
2015-03-05T14:10:00Z,2015-03-05T07:30:43Z,,,,,,,CALCULATED
2015-03-05T14:20:00Z,2015-03-05T07:40:43Z,,,,,,,CALCULATED
2015-03-05T14:30:00Z,2015-03-05T07:50:43Z,,,,,,,CALCULATED
2015-03-05T14:40:00Z,2015-03-05T08:00:43Z,,,,,,,CALCULATED
2015-03-05T14:50:00Z,2015-03-05T08:10:43Z,,,,,,,CALCULATED
2015-03-05T15:00:00Z,2015-03-05T08:20:43Z,,,,,,,CALCULATED
2015-03-05T15:10:00Z,2015-03-05T08:30:43Z,,,,,,,CALCULATED
2015-03-05T15:20:00Z,2015-03-05T08:40:43Z,,,,,,,CALCULATED
2015-03-05T15:30:00Z,2015-03-05T08:50:43Z,,,,,,,CALCULATED
2015-03-05T15:40:00Z,2015-03-05T09:00:43Z,,,,,,,CALCULATED
2015-03-05T15:50:00Z,2015-03-05T09:10:43Z,,,,,,,CALCULATED
2015-03-05T16:00:00Z,2015-03-05T09:20:43Z,,,,,,,CALCULATED
