TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,ppfd_in,netrad,ws,precip,sw_in,ext_rad
2011-01-02T10:00:00Z,2011-01-02T04:56:37Z,,,,,,,,CALCULATED,CALCULATED
2011-01-02T10:30:00Z,2011-01-02T05:26:37Z,,,,,,,,CALCULATED,CALCULATED
2011-01-02T11:00:00Z,2011-01-02T05:56:37Z,,,,,,,,CALCULATED,CALCULATED
2011-01-02T11:30:00Z,2011-01-02T06:26:37Z,,,,,,,,CALCULATED,CALCULATED
2011-01-02T12:00:00Z,2011-01-02T06:56:37Z,,,,,,OUT_WARN,,CALCULATED,CALCULATED
2011-01-02T12:30:00Z,2011-01-02T07:26:37Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-02T13:00:00Z,2011-01-02T07:56:37Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-02T13:30:00Z,2011-01-02T08:26:37Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-02T14:00:00Z,2011-01-02T08:56:37Z,,,,OUT_WARN,,OUT_WARN,,CALCULATED,CALCULATED
2011-01-02T14:30:00Z,2011-01-02T09:26:37Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-02T15:00:00Z,2011-01-02T09:56:37Z,,,,OUT_WARN,,OUT_WARN,,CALCULATED,CALCULATED
2011-01-02T15:30:00Z,2011-01-02T10:26:37Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-02T16:00:00Z,2011-01-02T10:56:37Z,,,,OUT_WARN,,OUT_WARN,,CALCULATED,CALCULATED
2011-01-02T16:30:00Z,2011-01-02T11:26:37Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-02T17:00:00Z,2011-01-02T11:56:37Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-02T17:30:00Z,2011-01-02T12:26:37Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-02T18:00:00Z,2011-01-02T12:56:37Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-02T18:30:00Z,2011-01-02T13:26:37Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-02T19:00:00Z,2011-01-02T13:56:37Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-02T19:30:00Z,2011-01-02T14:26:37Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-02T20:00:00Z,2011-01-02T14:56:37Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-02T20:30:00Z,2011-01-02T15:26:37Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-02T21:00:00Z,2011-01-02T15:56:37Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-02T21:30:00Z,2011-01-02T16:26:37Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-02T22:00:00Z,2011-01-02T16:56:37Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-02T22:30:00Z,2011-01-02T17:26:37Z,,,,,,OUT_WARN,,CALCULATED,CALCULATED
2011-01-02T23:00:00Z,2011-01-02T17:56:37Z,,,,,,,,CALCULATED,CALCULATED
2011-01-02T23:30:00Z,2011-01-02T18:26:37Z,,,,,,OUT_WARN,,CALCULATED,CALCULATED
2011-01-03T00:00:00Z,2011-01-02T18:56:37Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T00:30:00Z,2011-01-02T19:26:37Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T01:00:00Z,2011-01-02T19:56:37Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T01:30:00Z,2011-01-02T20:26:37Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T02:00:00Z,2011-01-02T20:56:37Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T02:30:00Z,2011-01-02T21:26:37Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T03:00:00Z,2011-01-02T21:56:37Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T03:30:00Z,2011-01-02T22:26:37Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T04:00:00Z,2011-01-02T22:56:37Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T04:30:00Z,2011-01-02T23:26:37Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T05:00:00Z,2011-01-02T23:56:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T05:30:00Z,2011-01-03T00:26:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T06:00:00Z,2011-01-03T00:56:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T06:30:00Z,2011-01-03T01:26:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T07:00:00Z,2011-01-03T01:56:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T07:30:00Z,2011-01-03T02:26:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T08:00:00Z,2011-01-03T02:56:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T08:30:00Z,2011-01-03T03:26:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T09:00:00Z,2011-01-03T03:56:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T09:30:00Z,2011-01-03T04:26:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T10:00:00Z,2011-01-03T04:56:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T10:30:00Z,2011-01-03T05:26:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T11:00:00Z,2011-01-03T05:56:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T11:30:00Z,2011-01-03T06:26:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T12:00:00Z,2011-01-03T06:56:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T12:30:00Z,2011-01-03T07:26:12Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-03T13:00:00Z,2011-01-03T07:56:12Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-03T13:30:00Z,2011-01-03T08:26:12Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-03T14:00:00Z,2011-01-03T08:56:12Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-03T14:30:00Z,2011-01-03T09:26:12Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-03T15:00:00Z,2011-01-03T09:56:12Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2011-01-03T15:30:00Z,2011-01-03T10:26:12Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2011-01-03T16:00:00Z,2011-01-03T10:56:12Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2011-01-03T16:30:00Z,2011-01-03T11:26:12Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2011-01-03T17:00:00Z,2011-01-03T11:56:12Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2011-01-03T17:30:00Z,2011-01-03T12:26:12Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2011-01-03T18:00:00Z,2011-01-03T12:56:12Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2011-01-03T18:30:00Z,2011-01-03T13:26:12Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2011-01-03T19:00:00Z,2011-01-03T13:56:12Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2011-01-03T19:30:00Z,2011-01-03T14:26:12Z,,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2011-01-03T20:00:00Z,2011-01-03T14:56:12Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-03T20:30:00Z,2011-01-03T15:26:12Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-03T21:00:00Z,2011-01-03T15:56:12Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-03T21:30:00Z,2011-01-03T16:26:12Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-03T22:00:00Z,2011-01-03T16:56:12Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-03T22:30:00Z,2011-01-03T17:26:12Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-03T23:00:00Z,2011-01-03T17:56:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-03T23:30:00Z,2011-01-03T18:26:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T00:00:00Z,2011-01-03T18:56:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T00:30:00Z,2011-01-03T19:26:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T01:00:00Z,2011-01-03T19:56:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T01:30:00Z,2011-01-03T20:26:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T02:00:00Z,2011-01-03T20:56:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T02:30:00Z,2011-01-03T21:26:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T03:00:00Z,2011-01-03T21:56:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T03:30:00Z,2011-01-03T22:26:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T04:00:00Z,2011-01-03T22:56:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T04:30:00Z,2011-01-03T23:26:12Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T05:00:00Z,2011-01-03T23:55:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T05:30:00Z,2011-01-04T00:25:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T06:00:00Z,2011-01-04T00:55:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T06:30:00Z,2011-01-04T01:25:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T07:00:00Z,2011-01-04T01:55:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T07:30:00Z,2011-01-04T02:25:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T08:00:00Z,2011-01-04T02:55:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T08:30:00Z,2011-01-04T03:25:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T09:00:00Z,2011-01-04T03:55:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T09:30:00Z,2011-01-04T04:25:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T10:00:00Z,2011-01-04T04:55:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T10:30:00Z,2011-01-04T05:25:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T11:00:00Z,2011-01-04T05:55:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T11:30:00Z,2011-01-04T06:25:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T12:00:00Z,2011-01-04T06:55:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T12:30:00Z,2011-01-04T07:25:48Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-04T13:00:00Z,2011-01-04T07:55:48Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-04T13:30:00Z,2011-01-04T08:25:48Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-04T14:00:00Z,2011-01-04T08:55:48Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-04T14:30:00Z,2011-01-04T09:25:48Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-04T15:00:00Z,2011-01-04T09:55:48Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-04T15:30:00Z,2011-01-04T10:25:48Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-04T16:00:00Z,2011-01-04T10:55:48Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-04T16:30:00Z,2011-01-04T11:25:48Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-04T17:00:00Z,2011-01-04T11:55:48Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-04T17:30:00Z,2011-01-04T12:25:48Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-04T18:00:00Z,2011-01-04T12:55:48Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-04T18:30:00Z,2011-01-04T13:25:48Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-04T19:00:00Z,2011-01-04T13:55:48Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-04T19:30:00Z,2011-01-04T14:25:48Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-04T20:00:00Z,2011-01-04T14:55:48Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-04T20:30:00Z,2011-01-04T15:25:48Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-04T21:00:00Z,2011-01-04T15:55:48Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-04T21:30:00Z,2011-01-04T16:25:48Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-04T22:00:00Z,2011-01-04T16:55:48Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-04T22:30:00Z,2011-01-04T17:25:48Z,,,,OUT_WARN,,,,CALCULATED,CALCULATED
2011-01-04T23:00:00Z,2011-01-04T17:55:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-04T23:30:00Z,2011-01-04T18:25:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T00:00:00Z,2011-01-04T18:55:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T00:30:00Z,2011-01-04T19:25:48Z,,,,,,,,CALCULATED,CALCULATED
2011-01-05T01:00:00Z,2011-01-04T19:55:48Z,,,,,,,,CALCULATED,CALCULATED
