TIMESTAMP,TIMESTAMP_solar,IDN_JAM_OIL_Egu_Js_1,IDN_JAM_OIL_Egu_Js_2,IDN_JAM_OIL_Egu_Js_3,IDN_JAM_OIL_Egu_Js_4,IDN_JAM_OIL_Egu_Js_5,IDN_JAM_OIL_Egu_Js_6,IDN_JAM_OIL_Egu_Js_7,IDN_JAM_OIL_Egu_Js_8,IDN_JAM_OIL_Egu_Js_9,IDN_JAM_OIL_Egu_Js_10
2013-07-04T03:00:00Z,2013-07-04T09:46:38Z,,,,NA_PRESENT,,,,,OUT_WARN,
2013-07-04T04:00:00Z,2013-07-04T10:46:38Z,OUT_WARN,,OUT_WARN,NA_PRESENT,OUT_WARN,,OUT_WARN,OUT_WARN,OUT_WARN,
2013-07-04T05:00:00Z,2013-07-04T11:46:38Z,OUT_WARN,OUT_WARN,OUT_WARN,NA_PRESENT,OUT_WARN,,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2013-07-04T06:00:00Z,2013-07-04T12:46:38Z,OUT_WARN,OUT_WARN,OUT_WARN,NA_PRESENT,OUT_WARN,,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2013-07-04T07:00:00Z,2013-07-04T13:46:38Z,OUT_WARN,OUT_WARN,OUT_WARN,NA_PRESENT,OUT_WARN,,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2013-07-04T08:00:00Z,2013-07-04T14:46:38Z,OUT_WARN,OUT_WARN,OUT_WARN,NA_PRESENT,OUT_WARN,,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2013-07-04T09:00:00Z,2013-07-04T15:46:38Z,OUT_WARN,,OUT_WARN,NA_PRESENT,OUT_WARN,,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2013-07-04T10:00:00Z,2013-07-04T16:46:38Z,,,OUT_WARN,NA_PRESENT,,,OUT_WARN,OUT_WARN,OUT_WARN,
2013-07-04T11:00:00Z,2013-07-04T17:46:38Z,,,,NA_PRESENT,,,,,,
2013-07-04T12:00:00Z,2013-07-04T18:46:38Z,,,,NA_PRESENT,,,,,,
2013-07-04T13:00:00Z,2013-07-04T19:46:38Z,,,,NA_PRESENT,,,,,,
2013-07-04T14:00:00Z,2013-07-04T20:46:38Z,,,,NA_PRESENT,,,,,,
2013-07-04T15:00:00Z,2013-07-04T21:46:38Z,,,,NA_PRESENT,,,,,,
