pl_age,pl_azimut_int,pl_bark_thick,pl_code,pl_dbh,pl_height,pl_leaf_area,pl_name,pl_radial_int,pl_remarks,pl_sap_units,pl_sapw_area,pl_sapw_depth,pl_sens_calib,pl_sens_cor_grad,pl_sens_cor_zero,pl_sens_hgt,pl_sens_length,pl_sens_man,pl_sens_meth,pl_sens_timestep,pl_social,pl_species,pl_treatment,si_code,pl_sap_units_orig
NA,measured,8.2,AUS_MAR_MSW_MOD_Ecy_Js_1,80,40,NA,Ecyp1,Measured,Multiple sensors were installed at varying sapwood depths and azimuths,cm3 cm-2 h-1,373.8,1.5,FALSE,No correction,Moist nights zero flow,1.3,1,Other/unknown,CHP,30,codominant,Eucalyptus cypellocarpa,moderate severity fire,AUS_MAR_MSW_MOD,cm3 cm-2 h-1
NA,measured,12.2,AUS_MAR_MSW_MOD_Eob_Js_2,81,40,NA,Eobl1,Measured,Multiple sensors were installed at varying sapwood depths and azimuths,cm3 cm-2 h-1,351.6,1.4,FALSE,No correction,Moist nights zero flow,1.3,1,Other/unknown,CHP,30,codominant,Eucalyptus obliqua,moderate severity fire,AUS_MAR_MSW_MOD,cm3 cm-2 h-1
NA,measured,5.7,AUS_MAR_MSW_MOD_Ecy_Js_3,152,40,NA,Ecyp2,Measured,Multiple sensors were installed at varying sapwood depths and azimuths,cm3 cm-2 h-1,947.7,2,FALSE,No correction,Moist nights zero flow,1.3,1,Other/unknown,CHP,30,codominant,Eucalyptus cypellocarpa,moderate severity fire,AUS_MAR_MSW_MOD,cm3 cm-2 h-1
