TIMESTAMP,solar_TIMESTAMP,SWE_SKO_MIN_Pab_Jt_1,SWE_SKO_MIN_Pab_Jt_2,SWE_SKO_MIN_Pab_Jt_3,SWE_SKO_MIN_Pab_Jt_4,SWE_SKO_MIN_Pab_Jt_5,SWE_SKO_MIN_Pab_Jt_6,SWE_SKO_MIN_Pab_Jt_7,SWE_SKO_MIN_Pab_Jt_8,SWE_SKO_MIN_Pab_Jt_9,SWE_SKO_MIN_Pab_Jt_10,SWE_SKO_MIN_Pab_Jt_11
2015-01-01T22:00:00Z,2015-01-01T22:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T22:30:00Z,2015-01-01T23:14:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T23:00:00Z,2015-01-01T23:44:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-01T23:30:00Z,2015-01-02T00:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T00:00:00Z,2015-01-02T00:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T00:30:00Z,2015-01-02T01:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T01:00:00Z,2015-01-02T01:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T01:30:00Z,2015-01-02T02:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T02:00:00Z,2015-01-02T02:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T02:30:00Z,2015-01-02T03:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T03:00:00Z,2015-01-02T03:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T03:30:00Z,2015-01-02T04:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T04:00:00Z,2015-01-02T04:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T04:30:00Z,2015-01-02T05:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T05:00:00Z,2015-01-02T05:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T05:30:00Z,2015-01-02T06:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T06:00:00Z,2015-01-02T06:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T06:30:00Z,2015-01-02T07:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T07:00:00Z,2015-01-02T07:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T07:30:00Z,2015-01-02T08:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T08:00:00Z,2015-01-02T08:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T08:30:00Z,2015-01-02T09:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T09:00:00Z,2015-01-02T09:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T09:30:00Z,2015-01-02T10:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T10:00:00Z,2015-01-02T10:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T10:30:00Z,2015-01-02T11:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T11:00:00Z,2015-01-02T11:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T11:30:00Z,2015-01-02T12:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T12:00:00Z,2015-01-02T12:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T12:30:00Z,2015-01-02T13:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T13:00:00Z,2015-01-02T13:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T13:30:00Z,2015-01-02T14:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T14:00:00Z,2015-01-02T14:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T14:30:00Z,2015-01-02T15:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T15:00:00Z,2015-01-02T15:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T15:30:00Z,2015-01-02T16:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T16:00:00Z,2015-01-02T16:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T16:30:00Z,2015-01-02T17:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T17:00:00Z,2015-01-02T17:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T17:30:00Z,2015-01-02T18:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T18:00:00Z,2015-01-02T18:43:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-02T18:30:00Z,2015-01-02T19:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
