TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,netrad,ws,precip,swc_shallow,swc_deep,ppfd_in,vpd,ext_rad
1999-01-01T12:00:00Z,1999-01-01T13:05:20Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-01T12:30:00Z,1999-01-01T13:35:20Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-01T13:00:00Z,1999-01-01T14:05:20Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-01T13:30:00Z,1999-01-01T14:35:20Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-01T14:00:00Z,1999-01-01T15:05:20Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-01T14:30:00Z,1999-01-01T15:35:20Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-01T15:00:00Z,1999-01-01T16:05:20Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-01T15:30:00Z,1999-01-01T16:35:20Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-01T16:00:00Z,1999-01-01T17:05:20Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-01T16:30:00Z,1999-01-01T17:35:20Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-01T17:00:00Z,1999-01-01T18:05:20Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-01T17:30:00Z,1999-01-01T18:35:20Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-01T18:00:00Z,1999-01-01T19:05:20Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-01T18:30:00Z,1999-01-01T19:35:20Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-01T19:00:00Z,1999-01-01T20:05:20Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-01T19:30:00Z,1999-01-01T20:35:20Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-01T20:00:00Z,1999-01-01T21:05:20Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-01T20:30:00Z,1999-01-01T21:35:20Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-01T21:00:00Z,1999-01-01T22:05:20Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-01T21:30:00Z,1999-01-01T22:35:20Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-01T22:00:00Z,1999-01-01T23:05:20Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-01T22:30:00Z,1999-01-01T23:35:20Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-01T23:00:00Z,1999-01-02T00:04:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-01T23:30:00Z,1999-01-02T00:34:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T00:00:00Z,1999-01-02T01:04:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T00:30:00Z,1999-01-02T01:34:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T01:00:00Z,1999-01-02T02:04:54Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T01:30:00Z,1999-01-02T02:34:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T02:00:00Z,1999-01-02T03:04:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T02:30:00Z,1999-01-02T03:34:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T03:00:00Z,1999-01-02T04:04:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T03:30:00Z,1999-01-02T04:34:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T04:00:00Z,1999-01-02T05:04:54Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T04:30:00Z,1999-01-02T05:34:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T05:00:00Z,1999-01-02T06:04:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T05:30:00Z,1999-01-02T06:34:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T06:00:00Z,1999-01-02T07:04:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T06:30:00Z,1999-01-02T07:34:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T07:00:00Z,1999-01-02T08:04:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T07:30:00Z,1999-01-02T08:34:54Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T08:00:00Z,1999-01-02T09:04:54Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T08:30:00Z,1999-01-02T09:34:54Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T09:00:00Z,1999-01-02T10:04:54Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T09:30:00Z,1999-01-02T10:34:54Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T10:00:00Z,1999-01-02T11:04:54Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T10:30:00Z,1999-01-02T11:34:54Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T11:00:00Z,1999-01-02T12:04:54Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T11:30:00Z,1999-01-02T12:34:54Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T12:00:00Z,1999-01-02T13:04:54Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T12:30:00Z,1999-01-02T13:34:54Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T13:00:00Z,1999-01-02T14:04:54Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T13:30:00Z,1999-01-02T14:34:54Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T14:00:00Z,1999-01-02T15:04:54Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T14:30:00Z,1999-01-02T15:34:54Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T15:00:00Z,1999-01-02T16:04:54Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T15:30:00Z,1999-01-02T16:34:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T16:00:00Z,1999-01-02T17:04:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T16:30:00Z,1999-01-02T17:34:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T17:00:00Z,1999-01-02T18:04:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T17:30:00Z,1999-01-02T18:34:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T18:00:00Z,1999-01-02T19:04:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T18:30:00Z,1999-01-02T19:34:54Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T19:00:00Z,1999-01-02T20:04:54Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T19:30:00Z,1999-01-02T20:34:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T20:00:00Z,1999-01-02T21:04:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T20:30:00Z,1999-01-02T21:34:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T21:00:00Z,1999-01-02T22:04:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T21:30:00Z,1999-01-02T22:34:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T22:00:00Z,1999-01-02T23:04:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T22:30:00Z,1999-01-02T23:34:54Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T23:00:00Z,1999-01-03T00:04:29Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-02T23:30:00Z,1999-01-03T00:34:29Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T00:00:00Z,1999-01-03T01:04:29Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T00:30:00Z,1999-01-03T01:34:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T01:00:00Z,1999-01-03T02:04:29Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T01:30:00Z,1999-01-03T02:34:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T02:00:00Z,1999-01-03T03:04:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T02:30:00Z,1999-01-03T03:34:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T03:00:00Z,1999-01-03T04:04:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T03:30:00Z,1999-01-03T04:34:29Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T04:00:00Z,1999-01-03T05:04:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T04:30:00Z,1999-01-03T05:34:29Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T05:00:00Z,1999-01-03T06:04:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T05:30:00Z,1999-01-03T06:34:29Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T06:00:00Z,1999-01-03T07:04:29Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T06:30:00Z,1999-01-03T07:34:29Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T07:00:00Z,1999-01-03T08:04:29Z,,,RANGE_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T07:30:00Z,1999-01-03T08:34:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T08:00:00Z,1999-01-03T09:04:29Z,,,,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T08:30:00Z,1999-01-03T09:34:29Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T09:00:00Z,1999-01-03T10:04:29Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T09:30:00Z,1999-01-03T10:34:29Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T10:00:00Z,1999-01-03T11:04:29Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T10:30:00Z,1999-01-03T11:34:29Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T11:00:00Z,1999-01-03T12:04:29Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
1999-01-03T11:30:00Z,1999-01-03T12:34:29Z,,,OUT_WARN,,,NA_PRESENT,NA_PRESENT,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
