TIMESTAMP,solar_TIMESTAMP,ta,ppfd_in,ws,precip,sw_in,ext_rad
2008-04-22T16:00:00Z,2008-04-22T23:54:39Z,17.14,1.2,0,0,0.5676,0
2008-04-22T17:00:00Z,2008-04-23T00:54:49Z,16.95,1.2,0,0,0.5676,0
2008-04-22T18:00:00Z,2008-04-23T01:54:49Z,16.19,1.2,0,0,0.5676,0
2008-04-22T19:00:00Z,2008-04-23T02:54:49Z,15.425,1.2,0.095,0,0.5676,0
2008-04-22T20:00:00Z,2008-04-23T03:54:49Z,14.66,1.2,0,0,0.5676,0
2008-04-22T21:00:00Z,2008-04-23T04:54:49Z,14.09,1.2,0,0,0.5676,0
2008-04-22T22:00:00Z,2008-04-23T05:54:49Z,15.045,52.45,0,0,24.80885,0
2008-04-22T23:00:00Z,2008-04-23T06:54:49Z,17.33,254.95,0,0,120.59134999999999,182.26641099072768
2008-04-23T00:00:00Z,2008-04-23T07:54:49Z,22.48,852.45,0.375,0,403.20885,477.42871578123015
2008-04-23T01:00:00Z,2008-04-23T08:54:49Z,25.37,1132.45,0.74,0,535.64885,732.2292265724552
2008-04-23T02:00:00Z,2008-04-23T09:54:49Z,26.535,961.2,0.835,0,454.6476,929.299321117843
2008-04-23T03:00:00Z,2008-04-23T10:54:49Z,27.91,1202.45,0.835,0,568.7588499999999,1055.2056276876137
2008-04-23T04:00:00Z,2008-04-23T11:54:49Z,28.505,1182.45,0.93,0,559.29885,1101.3657129907815
2008-04-23T05:00:00Z,2008-04-23T12:54:49Z,29.5,1239.95,1.11,0,586.49635,1064.6331011829302
2008-04-23T06:00:00Z,2008-04-23T13:54:49Z,29.3,1001.2,1.205,0,473.56759999999997,947.5117466255822
2008-04-23T07:00:00Z,2008-04-23T14:54:49Z,29.1,803.7,0.93,0,380.1501,757.9853416612547
2008-04-23T08:00:00Z,2008-04-23T15:54:49Z,27.125,148.7,0.65,0,70.3351,508.9730956746683
2008-04-23T09:00:00Z,2008-04-23T16:54:49Z,22.11,8.7,1.3,8.2,4.115099999999999,217.44908343718703
2008-04-23T10:00:00Z,2008-04-23T17:54:49Z,19.23,1.2,0.465,0.4,0.5676,0
2008-04-23T11:00:00Z,2008-04-23T18:54:49Z,19.04,1.2,0.095,0,0.5676,0
2008-04-23T12:00:00Z,2008-04-23T19:54:49Z,19.425,1.2,0.185,0,0.5676,0
2008-04-23T13:00:00Z,2008-04-23T20:54:49Z,19.615,1.2,0.28,0,0.5676,0
2008-04-23T14:00:00Z,2008-04-23T21:54:49Z,19.23,1.2,0,0,0.5676,0
2008-04-23T15:00:00Z,2008-04-23T22:54:49Z,18.85,1.2,0.095,0,0.5676,0
