TIMESTAMP,solar_TIMESTAMP,MEX_VER_BSJ_Pme_Jt_1,MEX_VER_BSJ_Spe_Jt_2,MEX_VER_BSJ_Lst_Jt_3,MEX_VER_BSJ_Cma_Jt_4,MEX_VER_BSJ_Pme_Jt_5,MEX_VER_BSJ_Lst_Jt_6,MEX_VER_BSJ_Tin_Jt_7,MEX_VER_BSJ_Pme_Jt_8
2015-03-06T01:30:00Z,2015-03-05T18:50:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T01:40:00Z,2015-03-05T19:00:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T01:50:00Z,2015-03-05T19:10:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T02:00:00Z,2015-03-05T19:20:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T02:10:00Z,2015-03-05T19:30:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T02:20:00Z,2015-03-05T19:40:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T02:30:00Z,2015-03-05T19:50:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T02:40:00Z,2015-03-05T20:00:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T02:50:00Z,2015-03-05T20:10:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T03:00:00Z,2015-03-05T20:20:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T03:10:00Z,2015-03-05T20:30:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T03:20:00Z,2015-03-05T20:40:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T03:30:00Z,2015-03-05T20:50:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T03:40:00Z,2015-03-05T21:00:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T03:50:00Z,2015-03-05T21:10:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T04:00:00Z,2015-03-05T21:20:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T04:10:00Z,2015-03-05T21:30:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T04:20:00Z,2015-03-05T21:40:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T04:30:00Z,2015-03-05T21:50:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T04:40:00Z,2015-03-05T22:00:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T04:50:00Z,2015-03-05T22:10:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T05:00:00Z,2015-03-05T22:20:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T05:10:00Z,2015-03-05T22:30:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T05:20:00Z,2015-03-05T22:40:43Z,NA,NA,NA,NA,NA,NA,NA,NA
2015-03-06T05:30:00Z,2015-03-05T22:50:43Z,NA,NA,NA,NA,NA,NA,NA,NA
