TIMESTAMP,solar_TIMESTAMP,ta,rh,ppfd_in,ws,precip,swc_shallow,sw_in,vpd,ext_rad
2008-06-16T19:00:00Z,2008-06-16T20:47:33Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-16T19:30:00Z,2008-06-16T21:17:33Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-16T20:00:00Z,2008-06-16T21:47:33Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-16T20:30:00Z,2008-06-16T22:17:33Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-16T21:00:00Z,2008-06-16T22:47:33Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-16T21:30:00Z,2008-06-16T23:17:33Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-16T22:00:00Z,2008-06-16T23:47:33Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-16T22:30:00Z,2008-06-17T00:17:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-16T23:00:00Z,2008-06-17T00:47:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-16T23:30:00Z,2008-06-17T01:17:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T00:00:00Z,2008-06-17T01:47:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T00:30:00Z,2008-06-17T02:17:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
2008-06-17T01:00:00Z,2008-06-17T02:47:21Z,,,NA_PRESENT,,,NA_PRESENT,CALCULATED,CALCULATED,CALCULATED
