sp_basal_area_perc,sp_leaf_habit,sp_name,sp_ntrees,si_code
82,NA,Pinus sylvestris,15,SWE_NOR_ST1_AF1
17.5,NA,Picea abies,11,SWE_NOR_ST1_AF1
