TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,ppfd_in,vpd,ext_rad
2015-02-28T21:00:00Z,2015-03-01T00:01:21Z,17.77,98.33,0,0,0.034025976815484124,0
2015-02-28T21:30:00Z,2015-03-01T00:31:21Z,17.59,98.23,0,0,0.035656430498234234,0
2015-02-28T22:00:00Z,2015-03-01T01:01:21Z,17.72,98.47,0,0,0.031075416171216088,0
2015-02-28T22:30:00Z,2015-03-01T01:31:21Z,17.69,98.6,0,0,0.028381290100332926,0
2015-02-28T23:00:00Z,2015-03-01T02:01:21Z,17.52,98.53,0,0,0.029482410474532733,0
2015-02-28T23:30:00Z,2015-03-01T02:31:21Z,17.45,98.6,0,0,0.02795462541531847,0
2015-03-01T00:00:00Z,2015-03-01T03:01:21Z,17.46,98.73,0,0,0.025374863536433805,0
2015-03-01T00:30:00Z,2015-03-01T03:31:21Z,17.25,98.72,0,0,0.025237362805748578,0
2015-03-01T01:00:00Z,2015-03-01T04:01:21Z,17.18,98.83,0,0,0.02296654806636675,0
2015-03-01T01:30:00Z,2015-03-01T04:31:21Z,17.15,99.08,0,0,0.01802489448470436,0
2015-03-01T02:00:00Z,2015-03-01T05:01:21Z,17.14,99.16,0,0,0.0164470934383717,0
2015-03-01T02:30:00Z,2015-03-01T05:31:21Z,17.19,99.21,0,0,0.015517147793059422,0
2015-03-01T03:00:00Z,2015-03-01T06:01:21Z,17.33,99.33,5.74,12.13436,0.013277200335745115,0
2015-03-01T03:30:00Z,2015-03-01T06:31:21Z,17.48,99.26,94.53,199.83642,0.014804043563307877,167.48556766734927
2015-03-01T04:00:00Z,2015-03-01T07:01:21Z,18.07,99.15,213.62,451.59268,0.017648723922902433,336.46108065051726
2015-03-01T04:30:00Z,2015-03-01T07:31:21Z,18.86,97.36,223.77,473.04978,0.05759692399954635,500.7019513528029
2015-03-01T05:00:00Z,2015-03-01T08:01:21Z,19.78,94.87,334.63,707.4078199999999,0.11851770787796713,657.3972264319832
