TIMESTAMP,solar_TIMESTAMP,MDG_YOU_SHO_Pal_Js_1,MDG_YOU_SHO_Pal_Js_2,MDG_YOU_SHO_Pal_Js_3,MDG_YOU_SHO_Pal_Js_4
2015-03-02T10:30:00Z,2015-03-02T13:31:33Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2015-03-02T11:00:00Z,2015-03-02T14:01:33Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2015-03-02T11:30:00Z,2015-03-02T14:31:33Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2015-03-02T12:00:00Z,2015-03-02T15:01:33Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2015-03-02T12:30:00Z,2015-03-02T15:31:33Z,,OUT_WARN,OUT_WARN,OUT_WARN
2015-03-02T13:00:00Z,2015-03-02T16:01:33Z,,OUT_WARN,OUT_WARN,OUT_WARN
2015-03-02T13:30:00Z,2015-03-02T16:31:33Z,,OUT_WARN,OUT_WARN,OUT_WARN
2015-03-02T14:00:00Z,2015-03-02T17:01:33Z,OUT_WARN,OUT_WARN,OUT_WARN,OUT_WARN
2015-03-02T14:30:00Z,2015-03-02T17:31:33Z,,OUT_WARN,OUT_WARN,OUT_WARN
2015-03-02T15:00:00Z,2015-03-02T18:01:33Z,,,OUT_WARN,
2015-03-02T15:30:00Z,2015-03-02T18:31:33Z,,,,
2015-03-02T16:00:00Z,2015-03-02T19:01:33Z,,,,
2015-03-02T16:30:00Z,2015-03-02T19:31:33Z,,,,
2015-03-02T17:00:00Z,2015-03-02T20:01:33Z,,,,
2015-03-02T17:30:00Z,2015-03-02T20:31:33Z,,,,
2015-03-02T18:00:00Z,2015-03-02T21:01:33Z,,,,
2015-03-02T18:30:00Z,2015-03-02T21:31:33Z,,,,
2015-03-02T19:00:00Z,2015-03-02T22:01:33Z,,,,
2015-03-02T19:30:00Z,2015-03-02T22:31:33Z,,,,
2015-03-02T20:00:00Z,2015-03-02T23:01:33Z,,,,
2015-03-02T20:30:00Z,2015-03-02T23:31:33Z,,,,
2015-03-02T21:00:00Z,2015-03-03T00:01:46Z,,,,
2015-03-02T21:30:00Z,2015-03-03T00:31:46Z,,,,
2015-03-02T22:00:00Z,2015-03-03T01:01:46Z,,,,
2015-03-02T22:30:00Z,2015-03-03T01:31:46Z,,,,
2015-03-02T23:00:00Z,2015-03-03T02:01:46Z,,,,
2015-03-02T23:30:00Z,2015-03-03T02:31:46Z,,,,
2015-03-03T00:00:00Z,2015-03-03T03:01:46Z,,,,
2015-03-03T00:30:00Z,2015-03-03T03:31:46Z,,,,
2015-03-03T01:00:00Z,2015-03-03T04:01:46Z,,,,
2015-03-03T01:30:00Z,2015-03-03T04:31:46Z,,,,
2015-03-03T02:00:00Z,2015-03-03T05:01:46Z,,,,
