TIMESTAMP,solar_TIMESTAMP,ta,rh,vpd,sw_in,ppfd_in,ws,precip,ext_rad
2013-04-30T16:00:00Z,2013-04-30T22:02:42Z,23.184,20.8,2.2499582670762788,0.6,1.2,2.66,0,0
2013-04-30T16:10:00Z,2013-04-30T22:12:42Z,23.04,21.1,2.222014831319537,0.6,1.2,3.05,0,0
2013-04-30T16:20:00Z,2013-04-30T22:22:42Z,22.705,21.8,2.158083836844937,0.6,1.2,2.66,0,0
2013-04-30T16:30:00Z,2013-04-30T22:32:42Z,22.513,22.3,2.119453761674438,0.6,1.2,2.66,0,0
2013-04-30T16:40:00Z,2013-04-30T22:42:42Z,22.154,23,2.055014917185247,0.6,1.2,2.66,0,0
2013-04-30T16:50:00Z,2013-04-30T22:52:42Z,21.987,23.5,2.0210052617705463,0.6,1.2,2.28,0,0
2013-04-30T17:00:00Z,2013-04-30T23:02:42Z,21.891,23.7,2.0039558108874167,0.6,1.2,2.28,0,0
2013-04-30T17:10:00Z,2013-04-30T23:12:42Z,21.748,23.8,1.9839373515820993,0.6,1.2,2.66,0,0
2013-04-30T17:20:00Z,2013-04-30T23:22:42Z,21.485,24.1,1.944608863650922,0.6,1.2,3.05,0,0
2013-04-30T17:30:00Z,2013-04-30T23:32:42Z,21.223,24.5,1.903563473050247,0.6,1.2,2.66,0,0
2013-04-30T17:40:00Z,2013-04-30T23:42:42Z,20.984,24.8,1.8683908042862583,0.6,1.2,2.66,0,0
2013-04-30T17:50:00Z,2013-04-30T23:52:42Z,20.793,25,1.8416689600483158,0.6,1.2,2.28,0,0
2013-04-30T18:00:00Z,2013-05-01T00:02:42Z,20.484,25.4,1.7973101710627513,0.6,1.2,2.28,0,0
2013-04-30T18:10:00Z,2013-05-01T00:12:48Z,20.341,25.5,1.779132748636507,0.6,1.2,2.66,0,0
2013-04-30T18:20:00Z,2013-05-01T00:22:48Z,20.126,25.7,1.750940136455248,0.6,1.2,2.28,0,0
2013-04-30T18:30:00Z,2013-05-01T00:32:48Z,19.912,26.1,1.718599111809628,0.6,1.2,2.28,0,0
2013-04-30T18:40:00Z,2013-05-01T00:42:48Z,19.793,26.4,1.6990457954244302,0.6,1.2,1.9,0,0
2013-04-30T18:50:00Z,2013-05-01T00:52:48Z,19.508,26.9,1.6579133598250397,0.6,1.2,1.9,0,0
2013-04-30T19:00:00Z,2013-05-01T01:02:48Z,19.294,27.3,1.6270421162922615,0.6,1.2,1.9,0,0
2013-04-30T19:10:00Z,2013-05-01T01:12:48Z,18.985,27.7,1.5872292581086214,0.6,1.2,1.52,0,0
2013-04-30T19:20:00Z,2013-05-01T01:22:48Z,18.652,28.4,1.5394982637788264,0.6,1.2,1.52,0,0
2013-04-30T19:30:00Z,2013-05-01T01:32:48Z,18.366,29,1.499497672344551,0.6,1.2,1.14,0,0
2013-04-30T19:40:00Z,2013-05-01T01:42:48Z,18.033,29.5,1.4581343803244662,0.6,1.2,0.76,0,0
