TIMESTAMP,solar_TIMESTAMP,RUS_CHE_LOW_Lca_Jt_1,RUS_CHE_LOW_Lca_Jt_2,RUS_CHE_LOW_Lca_Jt_3,RUS_CHE_LOW_Lca_Jt_4,RUS_CHE_LOW_Lca_Jt_5,RUS_CHE_LOW_Lca_Jt_6,RUS_CHE_LOW_Lca_Jt_7,RUS_CHE_LOW_Lca_Jt_8,RUS_CHE_LOW_Lca_Jt_9,RUS_CHE_LOW_Lca_Jt_10,RUS_CHE_LOW_Lca_Jt_11,RUS_CHE_LOW_Lca_Jt_12
2016-07-02T10:00:00Z,2016-07-02T20:41:39Z,,,,,NA_PRESENT,,,,NA_PRESENT,NA_PRESENT,,
2016-07-02T10:30:00Z,2016-07-02T21:11:39Z,,,,,NA_PRESENT,,,,NA_PRESENT,,,
2016-07-02T11:00:00Z,2016-07-02T21:41:39Z,,,,,,,,,NA_PRESENT,,,
2016-07-02T11:30:00Z,2016-07-02T22:11:39Z,,,,,,,,,NA_PRESENT,,NA_PRESENT,NA_PRESENT
2016-07-02T12:00:00Z,2016-07-02T22:41:39Z,,,,,,NA_PRESENT,,,NA_PRESENT,,NA_PRESENT,NA_PRESENT
2016-07-02T12:30:00Z,2016-07-02T23:11:39Z,NA_PRESENT,,,,,NA_PRESENT,,,NA_PRESENT,,NA_PRESENT,NA_PRESENT
2016-07-02T13:00:00Z,2016-07-02T23:41:39Z,NA_PRESENT,,,,,NA_PRESENT,,,NA_PRESENT,,NA_PRESENT,NA_PRESENT
2016-07-02T13:30:00Z,2016-07-03T00:11:29Z,NA_PRESENT,,,,,NA_PRESENT,,,NA_PRESENT,,NA_PRESENT,NA_PRESENT
2016-07-02T14:00:00Z,2016-07-03T00:41:29Z,NA_PRESENT,,,,,NA_PRESENT,,,NA_PRESENT,,NA_PRESENT,NA_PRESENT
2016-07-02T14:30:00Z,2016-07-03T01:11:29Z,NA_PRESENT,,,,,NA_PRESENT,,,NA_PRESENT,,NA_PRESENT,NA_PRESENT
2016-07-02T15:00:00Z,2016-07-03T01:41:29Z,NA_PRESENT,,,,,NA_PRESENT,,,NA_PRESENT,,NA_PRESENT,NA_PRESENT
2016-07-02T15:30:00Z,2016-07-03T02:11:29Z,NA_PRESENT,,,,,NA_PRESENT,,,NA_PRESENT,,NA_PRESENT,NA_PRESENT
2016-07-02T16:00:00Z,2016-07-03T02:41:29Z,NA_PRESENT,,,,,NA_PRESENT,,,NA_PRESENT,,NA_PRESENT,NA_PRESENT
2016-07-02T16:30:00Z,2016-07-03T03:11:29Z,NA_PRESENT,,,,,NA_PRESENT,,,NA_PRESENT,,NA_PRESENT,NA_PRESENT
2016-07-02T17:00:00Z,2016-07-03T03:41:29Z,NA_PRESENT,,,,,NA_PRESENT,,,NA_PRESENT,,NA_PRESENT,NA_PRESENT
