TIMESTAMP,solar_TIMESTAMP,CHN_YIN_ST3_DRO_Peu_Js_1,CHN_YIN_ST3_DRO_Peu_Js_2,CHN_YIN_ST3_DRO_Peu_Js_3
2012-05-25T16:00:00Z,2012-05-25T21:46:24Z,1.4177048808049353,1.4023346203666482,0.44133866601868466
2012-05-25T16:10:00Z,2012-05-25T21:56:24Z,1.3008175337514036,1.259112493437698,0.39877624181295884
2012-05-25T16:20:00Z,2012-05-25T22:06:24Z,1.1774014578819303,1.1101313317761692,0.3007664234784628
2012-05-25T16:30:00Z,2012-05-25T22:16:24Z,1.2720382235594556,1.1405366926974694,0.3408652836964464
2012-05-25T16:40:00Z,2012-05-25T22:26:24Z,1.1494021199519158,1.0799468225252682,0.3861988081193118
2012-05-25T16:49:59Z,2012-05-25T22:36:23Z,0.967456243832356,1.0301340939828179,0.3490143228902907
2012-05-25T16:59:59Z,2012-05-25T22:46:23Z,0.8365346705204064,0.9711843069437754,0.28895292203310247
2012-05-25T17:09:59Z,2012-05-25T22:56:23Z,0.7023652778496127,0.8987837919091209,0.23147349152502786
2012-05-25T17:20:00Z,2012-05-25T23:06:24Z,0.5741720720474578,0.7721624456477104,0.1255640504950812
2012-05-25T17:30:00Z,2012-05-25T23:16:24Z,0.42302875594844896,0.703939661849855,0.04403090241915754
2012-05-25T17:40:00Z,2012-05-25T23:26:24Z,0.5354033096277071,0.5980782638782123,0.014584437160363412
2012-05-25T17:50:00Z,2012-05-25T23:36:24Z,0.2765972595654618,0.508940738374761,0.05221426738032367
2012-05-25T18:00:00Z,2012-05-25T23:46:24Z,0.37982358867029725,0.5047808611405231,0.08124337306686316
2012-05-25T18:10:00Z,2012-05-25T23:56:24Z,0.187205495027098,0.45548519512965696,0.046728458067625475
2012-05-25T18:19:59Z,2012-05-26T00:06:16Z,0.12262094505663594,0.4232760625860492,0.04869263391879393
2012-05-25T18:29:59Z,2012-05-26T00:16:16Z,0.24156182207987326,0.37987774084503517,0.04869263391879393
2012-05-25T18:39:59Z,2012-05-26T00:26:16Z,0.24156182207987326,0.322440318415669,0.04869263391879393
2012-05-25T18:50:00Z,2012-05-26T00:36:17Z,0.24156182207987326,0.2707687728550923,0.04869263391879393
2012-05-25T19:00:00Z,2012-05-26T00:46:17Z,0.24156182207987326,0.2707687728550923,0.023706679277967255
2012-05-25T19:10:00Z,2012-05-26T00:56:17Z,0.07953041228322995,0.26715356730246304,0.02134930411723408
2012-05-25T19:20:00Z,2012-05-26T01:06:17Z,0.06937483081220584,0.256370714180271,0.05221426738032367
2012-05-25T19:30:00Z,2012-05-26T01:16:17Z,0.14545748634806943,0.2743943272764996,0.06641621917495352
2012-05-25T19:40:00Z,2012-05-26T01:26:17Z,0.10603279343085367,0.2635487769720898,0.06933411364866666
2012-05-25T19:49:59Z,2012-05-26T01:36:16Z,0.14545748634806943,0.26715356730246304,0.046728458067625475
2012-05-25T19:59:59Z,2012-05-26T01:46:16Z,0.24383948820195092,0.2816762238210144,0.0046655789147492
2012-05-25T20:09:59Z,2012-05-26T01:56:16Z,0.3727248474082605,0.24923514305374295,0.03356963426071455
2012-05-25T20:20:00Z,2012-05-26T02:06:17Z,0.3376833347224253,0.22808933002462803,0.046728458067625475
2012-05-25T20:30:00Z,2012-05-26T02:16:17Z,0.3941095172209901,0.23158599981380995,0.07524229871364875
2012-05-25T20:40:00Z,2012-05-26T02:26:17Z,0.3727248474082605,0.20393242392432767,0.046728458067625475
2012-05-25T20:50:00Z,2012-05-26T02:36:17Z,0.24383948820195092,0.1971360153614668,0.023706679277967255
2012-05-25T21:00:00Z,2012-05-26T02:46:17Z,0.7023652778496127,0.1606447761828589,0.1029250617667757
2012-05-25T21:10:00Z,2012-05-26T02:56:17Z,0.43032967433628533,0.15417957509051372,0.13889112054754255
2012-05-25T21:19:59Z,2012-05-26T03:06:16Z,0.11703805934928833,0.15096749499413092,0.09662749083735679
2012-05-25T21:29:59Z,2012-05-26T03:16:16Z,0.3102091078512193,0.10753572386515886,0.09976636853386865
2012-05-25T21:39:59Z,2012-05-26T03:26:16Z,0.4747172075948855,0.1015835762401346,0.09350878328439101
2012-05-25T21:50:00Z,2012-05-26T03:36:17Z,0.46725092715745903,0.11053693109940034,0.14906103587516814
2012-05-25T22:00:00Z,2012-05-26T03:46:17Z,0.4598117497619096,0.14141518907729708,0.11575143265160522
2012-05-25T22:10:00Z,2012-05-26T03:56:17Z,0.2765972595654618,0.09278509611154766,0.14226481952994938
2012-05-25T22:20:00Z,2012-05-26T04:06:17Z,0.3586170288476216,0.14141518907729708,0.14906103587516814
2012-05-25T22:30:00Z,2012-05-26T04:16:17Z,0.41575607190919384,0.12578457892643488,0.13219359257042798
2012-05-25T22:40:00Z,2012-05-26T04:26:17Z,0.2057334671355486,0.08130870528771862,0.13553397228860317
2012-05-25T22:49:59Z,2012-05-26T04:36:16Z,0.3727248474082605,0.04379689934464547,0.14226481952994938
2012-05-25T22:59:59Z,2012-05-26T04:46:16Z,0.22461653843098858,0.0047679222720637725,0.19834256012086035
2012-05-25T23:09:59Z,2012-05-26T04:56:16Z,0.15128721847372442,0.0639145264577157,0.22401918933732015
2012-05-25T23:20:00Z,2012-05-26T05:06:17Z,0.10061336109226515,0.0639145264577157,0.15248315392092457
2012-05-25T23:30:00Z,2012-05-26T05:16:17Z,0.3238827607278862,0.0639145264577157,0.23897872558395702
2012-05-25T23:40:00Z,2012-05-26T05:26:17Z,1.0573948222964986,4.99258050643172e-4,0.44133866601868466
