TIMESTAMP,solar_TIMESTAMP,ta,rh,sw_in,netrad,ws,precip,swc_shallow,swc_deep,ppfd_in,vpd,ext_rad
1998-06-20T08:00:00Z,1998-06-20T09:07:56Z,10.7375,100,355.67499999999995,301.67499999999995,2.16725,0,0.25653750000000025,0.2828125000000006,751.8969499999998,0,895.8336540709818
1998-06-20T08:30:00Z,1998-06-20T09:37:56Z,11.120000000000001,100,637.75,559.6,2.4067499999999997,0,0.25676458333333363,0.28311041666666725,1348.2034999999998,0,946.3280063482364
1998-06-20T09:00:00Z,1998-06-20T10:07:56Z,11.649999999999999,100,715.525,640.675,2.294,0,0.25699166666666695,0.28340833333333393,1512.6198499999998,0,988.4343167662207
1998-06-20T09:30:00Z,1998-06-20T10:37:56Z,10.835,100,289.75,269.075,2.7115,0,0.2572187500000003,0.2837062500000006,612.5314999999999,0,1021.4323523421482
1998-06-20T10:00:00Z,1998-06-20T11:07:56Z,10.899999999999999,100,318.92499999999995,305.85,2.88025,0,0.25744583333333365,0.2840041666666673,674.2074499999999,0,1044.7576781062587
1998-06-20T10:30:00Z,1998-06-20T11:37:56Z,10.3525,100,124.2,110.13999999999999,2.582,0,0.257672916666667,0.28430208333333395,262.5588,0,1058.0113118231573
1998-06-20T11:00:00Z,1998-06-20T12:07:56Z,10.1025,100,136.55,120.425,2.03525,0.937507,0.2579,0.2846,288.6667,0,1060.9665486267263
1998-06-20T11:30:00Z,1998-06-20T12:37:56Z,10.12,100,100.775,91.875,1.9649999999999999,1.00732,0.25780416666666667,0.28455208333333337,213.03835,0,1053.57283883249
1998-06-20T12:00:00Z,1998-06-20T13:07:56Z,10.502500000000001,100,168.175,161.925,1.7815,0.329125,0.2577083333333334,0.28450416666666667,355.52195,0,1035.9566525970006
1998-06-20T12:30:00Z,1998-06-20T13:37:56Z,11.122499999999999,99.275,167.325,160.825,1.7624999999999997,0,0.2576125,0.28445625,353.72504999999995,0.009606868307186225,1008.4193166341137
1998-06-20T13:00:00Z,1998-06-20T14:07:56Z,11.685,94.375,260.35,248.425,2.15625,0,0.2575166666666667,0.2844083333333334,550.3799,0.07736929274545028,971.4318599913028
1998-06-20T13:30:00Z,1998-06-20T14:37:56Z,12.635,88.875,422.65,370.29999999999995,2.9524999999999997,0,0.25742083333333343,0.2843604166666667,893.4821,0.16290794353921725,925.6269570494893
1998-06-20T14:00:00Z,1998-06-20T15:07:56Z,13.27,83.6,524.55,377.725,3.104,0,0.2573250000000001,0.2843125000000001,1108.8986999999997,0.2503503033133133,871.7881055621783
1998-06-20T14:30:00Z,1998-06-20T15:37:56Z,14.0975,75.80000000000001,458.57500000000005,403.275,3.33075,0,0.2572291666666668,0.2842645833333334,969.42755,0.3898688322136091,810.8362248446205
1998-06-20T15:00:00Z,1998-06-20T16:07:56Z,14.115,72.7,457.975,366.85,3.181,0,0.25713333333333344,0.28421666666666673,968.15915,0.4403104111664097,743.8139033523174
1998-06-20T15:30:00Z,1998-06-20T16:37:56Z,14.3475,71.0275,460.75,349.35,3.2625,0,0.25703750000000014,0.2841687500000001,974.0255,0.47438136547607046,671.8675650956638
1998-06-20T16:00:00Z,1998-06-20T17:07:56Z,14.3975,69.24000000000001,404.525,332.15,2.98925,0,0.25694166666666685,0.28412083333333343,855.1658499999999,0.5052821789028069,596.2278599360064
1998-06-20T16:30:00Z,1998-06-20T17:37:56Z,14.032499999999999,69.2875,309.6,253.89999999999998,2.896,0,0.2568458333333335,0.2840729166666668,654.4944,0.4927038873009571,518.1886131891678
1998-06-20T17:00:00Z,1998-06-20T18:07:56Z,13.067499999999999,74.575,121.325,89.725,2.59125,0,0.2567500000000002,0.2840250000000001,256.48105,0.38301463784598616,439.0846946055979
1998-06-20T17:30:00Z,1998-06-20T18:37:56Z,12.585,78.6,141.22500000000002,106.85,2.17425,0,0.25665416666666685,0.28397708333333344,298.54965000000004,0.312341620975551,360.2691852805913
1998-06-20T18:00:00Z,1998-06-20T19:07:56Z,12.35,80.3,112.45,88.875,2.0195,0,0.25655833333333355,0.2839291666666668,237.7193,0.2831207068197468,283.0902330569577
1998-06-20T18:30:00Z,1998-06-20T19:37:56Z,11.915,81.2,71.495,50.335,1.7687499999999998,0,0.25646250000000026,0.28388125000000014,151.14043,0.26254729161105805,208.86799231090166
1998-06-20T19:00:00Z,1998-06-20T20:07:56Z,11.587499999999999,83.15,42.875,22.089999999999996,2.0984999999999996,0,0.2563666666666669,0.2838333333333335,90.63775,0.2302729504918151,138.87204256854753
1998-06-20T19:30:00Z,1998-06-20T20:37:56Z,11.219999999999999,86.125,16.4775,-9.00275,2.0255,0,0.2562708333333336,0.2837854166666668,34.833434999999994,0.18505061703728165,74.29967221005383
1998-06-20T20:00:00Z,1998-06-20T21:07:56Z,11.085,87.4,4.0785,-14.3525,1.62125,0,0.25617500000000026,0.28373750000000014,8.621948999999999,0.16654499358598737,16.255398720919757
1998-06-20T20:30:00Z,1998-06-20T21:37:56Z,11.1375,86.725,1.5715,-18.6025,2.12025,0,0.25607916666666697,0.2836895833333335,3.3221509999999994,0.17608054969309,0
1998-06-20T21:00:00Z,1998-06-20T22:07:56Z,10.9025,85.92500000000001,0.35224999999999995,-34.605000000000004,2.17125,0,0.2559833333333337,0.28364166666666685,0.7446564999999998,0.18379560151781002,0
1998-06-20T21:30:00Z,1998-06-20T22:37:56Z,10.57,87.25,0,-33.45,1.9674999999999998,0,0.2558875000000003,0.2835937500000002,0,0.16284232151433423,0
1998-06-20T22:00:00Z,1998-06-20T23:07:56Z,10.6525,86.85,0,-14.627500000000001,1.69775,0,0.25579166666666703,0.2835458333333335,0,0.1688785901583415,0
1998-06-20T22:30:00Z,1998-06-20T23:37:56Z,10.955,85.5,0,-16.53,2.284,0,0.2556958333333337,0.28349791666666685,0,0.19000839492840343,0
1998-06-20T23:00:00Z,1998-06-21T00:07:44Z,11.219999999999999,84.75,0,-15.9725,2.01375,0,0.2556000000000004,0.2834500000000002,0,0.20338896647340854,0
1998-06-20T23:30:00Z,1998-06-21T00:37:44Z,11.3375,85.25,0,-11.822500000000002,1.7389999999999999,0,0.2555041666666671,0.28340208333333355,0,0.19826108743585327,0
1998-06-21T00:00:00Z,1998-06-21T01:07:44Z,11.355,85.75,0,-11.735,1.8777499999999998,0,0.25540833333333374,0.2833541666666669,0,0.19176291993807365,0
1998-06-21T00:30:00Z,1998-06-21T01:37:44Z,11.25,86.9,0,-10,1.549,0,0.25531250000000044,0.2833062500000002,0,0.17506291274595348,0
1998-06-21T01:00:00Z,1998-06-21T02:07:44Z,11.235,87.375,0,-7.9350000000000005,1.7645,0,0.2552166666666671,0.28325833333333356,0,0.1685472276190013,0
1998-06-21T01:30:00Z,1998-06-21T02:37:44Z,11.385,87.475,0.12025,-6.3462499999999995,1.8242500000000001,0,0.2551208333333338,0.2832104166666669,0.2542085,0.1688853046676468,0
