TIMESTAMP,TIMESTAMP_solar,ta,rh,vpd,sw_in,ws,precip,swc_shallow,ppfd_in,ext_rad
2015-09-30T22:00:00Z,2015-09-30T23:27:53Z,7.38,89.42,0.10887505959940924,0.009963036,0.35,0,0.216,0.021061858104,1154.2230945551723
2015-09-30T23:00:00Z,2015-10-01T00:28:11Z,6.5,92.64,0.0712884488972354,0.01123491,0.24,0,0.214,0.02375059974,1067.582132409524
2015-10-01T00:00:00Z,2015-10-01T01:28:11Z,6.46,92.18,0.0755349723182075,0.01717034,0.21,0,0.213,0.036298098759999994,911.0373495302192
2015-10-01T01:00:00Z,2015-10-01T02:28:11Z,6.06,93.48,0.061258579665170565,0.02183389,0.45,0,0.212,0.04615684346,695.2618038140876
2015-10-01T02:00:00Z,2015-10-01T03:28:11Z,8.66,83.28,0.1877585004900637,0.0175943,2.2,0,0.212,0.0371943502,434.96682463714797
2015-10-01T03:00:00Z,2015-10-01T04:28:11Z,7.81,85.1,0.1579109090096109,0.01123491,1.05,0,0.211,0.02375059974,147.89900926915178
2015-10-01T04:00:00Z,2015-10-01T05:28:11Z,8.09,84.93,0.162794200866207,7.335553,0.75,0,0.21,15.507359042,0
2015-10-01T05:00:00Z,2015-10-01T06:28:11Z,8.95,83.53,0.1886225205305978,117.11,0.42,0,0.21,247.57054,0
2015-10-01T06:00:00Z,2015-10-01T07:28:11Z,13.32,69.63,0.4651475482165395,405.4472,0.55,0,0.209,857.1153808,0
2015-10-01T07:00:00Z,2015-10-01T08:28:11Z,16.19,62.03,0.7000524771703218,597.6774,0.32,0,0.209,1263.4900236,0
2015-10-01T08:00:00Z,2015-10-01T09:28:11Z,17.4,50.6,0.9836273258196164,750.862,0.26,0,0.208,1587.322268,0
2015-10-01T09:00:00Z,2015-10-01T10:28:11Z,17.85,49.25,1.0396457800426127,839.8651,0.63,0,0.207,1775.4748213999999,0
2015-10-01T10:00:00Z,2015-10-01T11:28:11Z,18.79,48.63,1.116368976907389,831.6618,1.24,0,0.207,1758.1330451999997,0
2015-10-01T11:00:00Z,2015-10-01T12:28:11Z,19.67,44.56,1.2728084097775119,749.8214,1.02,0,0.206,1585.1224396,0
2015-10-01T12:00:00Z,2015-10-01T13:28:11Z,19.37,42.93,1.285991885633349,376.9565,0.39,0,0.205,796.886041,0
2015-10-01T13:00:00Z,2015-10-01T14:28:11Z,19.39,39.92,1.355506174042711,344.3164,0.47,0,0.204,727.8848695999999,0
2015-10-01T14:00:00Z,2015-10-01T15:28:11Z,18.17,58.72,0.8628628067564059,213.8829,2.32,0,0.203,452.1484506,0
2015-10-01T15:00:00Z,2015-10-01T16:28:11Z,16.53,69.8,0.5690076153823571,106.3283,1.13,0,0.202,224.77802619999997,0
2015-10-01T16:00:00Z,2015-10-01T17:28:11Z,14.83,73.56,0.44669677291402454,16.74446,0.25,0,0.201,35.39778844,238.3889761776429
2015-10-01T17:00:00Z,2015-10-01T18:28:11Z,12.96,84.16,0.23695596077481618,0.006359383,0.2,0,0.201,0.013443735661999998,519.6737487733492
