TIMESTAMP,TIMESTAMP_solar,ta,rh,vpd,sw_in,ppfd_in,ws,precip,swc_shallow,ext_rad
1998-08-25T13:00:00Z,1998-08-25T07:40:21Z,,,,,,,,,CALCULATED
1998-08-25T14:00:00Z,1998-08-25T08:40:21Z,,,,,,,,,CALCULATED
1998-08-25T15:00:00Z,1998-08-25T09:40:21Z,,,,,,,,,CALCULATED
1998-08-25T16:00:00Z,1998-08-25T10:40:21Z,,,,OUT_WARN,OUT_WARN,,,,CALCULATED
1998-08-25T17:00:00Z,1998-08-25T11:40:21Z,,,,OUT_WARN,OUT_WARN,,,,CALCULATED
1998-08-25T18:00:00Z,1998-08-25T12:40:21Z,,,,OUT_WARN,OUT_WARN,,,,CALCULATED
1998-08-25T19:00:00Z,1998-08-25T13:40:21Z,,,,OUT_WARN,OUT_WARN,,,,CALCULATED
1998-08-25T20:00:00Z,1998-08-25T14:40:21Z,,,,OUT_WARN,OUT_WARN,,,,CALCULATED
1998-08-25T21:00:00Z,1998-08-25T15:40:21Z,,,,,,,,,CALCULATED
1998-08-25T22:00:00Z,1998-08-25T16:40:21Z,,,,,,,,,CALCULATED
1998-08-25T23:00:00Z,1998-08-25T17:40:21Z,,,,,,,,,CALCULATED
1998-08-26T00:00:00Z,1998-08-25T18:40:21Z,,,,,,,,,CALCULATED
1998-08-26T01:00:00Z,1998-08-25T19:40:21Z,,,,,,,OUT_WARN,,CALCULATED
1998-08-26T02:00:00Z,1998-08-25T20:40:21Z,,,,,,,,,CALCULATED
1998-08-26T03:00:00Z,1998-08-25T21:40:21Z,,,,,,,,,CALCULATED
1998-08-26T04:00:00Z,1998-08-25T22:40:21Z,,,,,,,,,CALCULATED
1998-08-26T05:00:00Z,1998-08-25T23:40:21Z,,,,,,,,,CALCULATED
1998-08-26T06:00:00Z,1998-08-26T00:40:40Z,,,,,,,,,CALCULATED
1998-08-26T07:00:00Z,1998-08-26T01:40:40Z,,,,,,,,,CALCULATED
1998-08-26T08:00:00Z,1998-08-26T02:40:40Z,,,,,,,,,CALCULATED
1998-08-26T09:00:00Z,1998-08-26T03:40:40Z,,,,,,,,,CALCULATED
1998-08-26T10:00:00Z,1998-08-26T04:40:40Z,,,,,,,,,CALCULATED
1998-08-26T11:00:00Z,1998-08-26T05:40:40Z,,,,,,,,,CALCULATED
1998-08-26T12:00:00Z,1998-08-26T06:40:40Z,,,,,,,,,CALCULATED
1998-08-26T13:00:00Z,1998-08-26T07:40:40Z,,,,,,,,,CALCULATED
1998-08-26T14:00:00Z,1998-08-26T08:40:40Z,,,,,,,,,CALCULATED
1998-08-26T15:00:00Z,1998-08-26T09:40:40Z,,,,,,,,,CALCULATED
1998-08-26T16:00:00Z,1998-08-26T10:40:40Z,,,,,,,,,CALCULATED
1998-08-26T17:00:00Z,1998-08-26T11:40:40Z,,,,,,,,,CALCULATED
1998-08-26T18:00:00Z,1998-08-26T12:40:40Z,,,,OUT_WARN,OUT_WARN,,,,CALCULATED
1998-08-26T19:00:00Z,1998-08-26T13:40:40Z,,,,OUT_WARN,OUT_WARN,,,,CALCULATED
1998-08-26T20:00:00Z,1998-08-26T14:40:40Z,,,,OUT_WARN,OUT_WARN,,,,CALCULATED
1998-08-26T21:00:00Z,1998-08-26T15:40:40Z,,,,,,,,,CALCULATED
1998-08-26T22:00:00Z,1998-08-26T16:40:40Z,,,,,,,,,CALCULATED
1998-08-26T23:00:00Z,1998-08-26T17:40:40Z,,,,,,,,,CALCULATED
1998-08-27T00:00:00Z,1998-08-26T18:40:40Z,,,,,,,,,CALCULATED
1998-08-27T01:00:00Z,1998-08-26T19:40:40Z,,,,,,,,,CALCULATED
1998-08-27T02:00:00Z,1998-08-26T20:40:40Z,,,,RANGE_WARN ; RANGE_REMOVED,,,,,CALCULATED
1998-08-27T03:00:00Z,1998-08-26T21:40:40Z,,,,RANGE_WARN ; RANGE_REMOVED,,,,,CALCULATED
1998-08-27T04:00:00Z,1998-08-26T22:40:40Z,,,,RANGE_WARN ; RANGE_REMOVED,,,,,CALCULATED
1998-08-27T05:00:00Z,1998-08-26T23:40:40Z,,,,RANGE_WARN ; RANGE_REMOVED,,,,,CALCULATED
1998-08-27T06:00:00Z,1998-08-27T00:40:58Z,,,,RANGE_WARN ; RANGE_REMOVED,,,,,CALCULATED
1998-08-27T07:00:00Z,1998-08-27T01:40:58Z,,,,RANGE_WARN ; RANGE_REMOVED,,,,,CALCULATED
1998-08-27T08:00:00Z,1998-08-27T02:40:58Z,,,,RANGE_WARN ; RANGE_REMOVED,,,,,CALCULATED
1998-08-27T09:00:00Z,1998-08-27T03:40:58Z,,,,RANGE_WARN ; RANGE_REMOVED,,,,,CALCULATED
1998-08-27T10:00:00Z,1998-08-27T04:40:58Z,,,,RANGE_WARN ; RANGE_REMOVED,,,,,CALCULATED
1998-08-27T11:00:00Z,1998-08-27T05:40:58Z,,,,,,,,,CALCULATED
