TIMESTAMP,solar_TIMESTAMP,ta,vpd,sw_in,ppfd_in,precip,swc_shallow,rh,ext_rad
2001-04-18T15:00:00Z,2001-04-18T14:45:38Z,,,,,,,CALCULATED,CALCULATED
2001-04-18T15:30:00Z,2001-04-18T15:15:38Z,,,,,,,CALCULATED,CALCULATED
2001-04-18T16:00:00Z,2001-04-18T15:45:38Z,,,,,,,CALCULATED,CALCULATED
2001-04-18T16:30:00Z,2001-04-18T16:15:38Z,,,,,,,CALCULATED,CALCULATED
2001-04-18T17:00:00Z,2001-04-18T16:45:38Z,,,,,,,CALCULATED,CALCULATED
2001-04-18T17:30:00Z,2001-04-18T17:15:38Z,,,,,,,CALCULATED,CALCULATED
2001-04-18T18:00:00Z,2001-04-18T17:45:38Z,,,,,,,CALCULATED,CALCULATED
2001-04-18T18:30:00Z,2001-04-18T18:15:38Z,,,,,,,CALCULATED,CALCULATED
2001-04-18T19:00:00Z,2001-04-18T18:45:38Z,,,,,,,CALCULATED,CALCULATED
2001-04-18T19:30:00Z,2001-04-18T19:15:38Z,,,,,,,CALCULATED,CALCULATED
2001-04-18T20:00:00Z,2001-04-18T19:45:38Z,,,RANGE_WARN,RANGE_WARN,,,CALCULATED,CALCULATED
2001-04-18T20:30:00Z,2001-04-18T20:15:38Z,,,RANGE_WARN,RANGE_WARN,,,CALCULATED,CALCULATED
2001-04-18T21:00:00Z,2001-04-18T20:45:38Z,,,RANGE_WARN,RANGE_WARN,,,CALCULATED,CALCULATED
2001-04-18T21:30:00Z,2001-04-18T21:15:38Z,,,RANGE_WARN,RANGE_WARN,,,CALCULATED,CALCULATED
2001-04-18T22:00:00Z,2001-04-18T21:45:38Z,,,RANGE_WARN,RANGE_WARN,,,CALCULATED,CALCULATED
2001-04-18T22:30:00Z,2001-04-18T22:15:38Z,,,RANGE_WARN,RANGE_WARN,,,CALCULATED,CALCULATED
2001-04-18T23:00:00Z,2001-04-18T22:45:38Z,,,RANGE_WARN,RANGE_WARN,,,CALCULATED,CALCULATED
2001-04-18T23:30:00Z,2001-04-18T23:15:38Z,,,RANGE_WARN,RANGE_WARN,,,CALCULATED,CALCULATED
2001-04-19T00:00:00Z,2001-04-18T23:45:38Z,,,RANGE_WARN,RANGE_WARN,,,CALCULATED,CALCULATED
2001-04-19T00:30:00Z,2001-04-19T00:15:50Z,,,RANGE_WARN,RANGE_WARN,,,CALCULATED,CALCULATED
2001-04-19T01:00:00Z,2001-04-19T00:45:50Z,,,RANGE_WARN,RANGE_WARN,,,CALCULATED,CALCULATED
2001-04-19T01:30:00Z,2001-04-19T01:15:50Z,,,RANGE_WARN,RANGE_WARN,,,CALCULATED,CALCULATED
2001-04-19T02:00:00Z,2001-04-19T01:45:50Z,,,RANGE_WARN,RANGE_WARN,,,CALCULATED,CALCULATED
2001-04-19T02:30:00Z,2001-04-19T02:15:50Z,,,RANGE_WARN,RANGE_WARN,,,CALCULATED,CALCULATED
2001-04-19T03:00:00Z,2001-04-19T02:45:50Z,,,RANGE_WARN,RANGE_WARN,,,CALCULATED,CALCULATED
2001-04-19T03:30:00Z,2001-04-19T03:15:50Z,,,RANGE_WARN,RANGE_WARN,,,CALCULATED,CALCULATED
2001-04-19T04:00:00Z,2001-04-19T03:45:50Z,,,RANGE_WARN,,,,CALCULATED,CALCULATED
2001-04-19T04:30:00Z,2001-04-19T04:15:50Z,,,,,,,CALCULATED,CALCULATED
2001-04-19T05:00:00Z,2001-04-19T04:45:50Z,,,,,,,CALCULATED,CALCULATED
2001-04-19T05:30:00Z,2001-04-19T05:15:50Z,,,,,,,CALCULATED,CALCULATED
2001-04-19T06:00:00Z,2001-04-19T05:45:50Z,,,,,,,CALCULATED,CALCULATED
2001-04-19T06:30:00Z,2001-04-19T06:15:50Z,,,,,,,CALCULATED,CALCULATED
2001-04-19T07:00:00Z,2001-04-19T06:45:50Z,,,,,,,CALCULATED,CALCULATED
2001-04-19T07:30:00Z,2001-04-19T07:15:50Z,,,,,,,CALCULATED,CALCULATED
2001-04-19T08:00:00Z,2001-04-19T07:45:50Z,,,,,,,CALCULATED,CALCULATED
2001-04-19T08:30:00Z,2001-04-19T08:15:50Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
2001-04-19T09:00:00Z,2001-04-19T08:45:50Z,,,OUT_WARN,OUT_WARN,,,CALCULATED,CALCULATED
