site,src,mode_min,pct_mode,common_steps,min_step,max_gap_hr,n,start,end,regular
ESP_SAN_A_45I,sapf,30,99.97,30,29,0.5,10080,2014-04-20 23:08:00+00:00,2014-11-16 22:37:00+00:00,True
ESP_SAN_B2_100,sapf,30,100.0,30,30,0.5,6288,2013-06-11 23:00:00+00:00,2013-10-20 22:30:00+00:00,True
ESP_SAN_B_100,sapf,30,99.97,30,29,0.5,10080,2014-04-20 23:08:00+00:00,2014-11-16 22:37:00+00:00,True
FIN_PET,env,30,99.98,30,30,2.5,4220,2008-06-15 22:00:00+00:00,2008-09-11 21:30:00+00:00,True
FRA_HES_HE1_NON,sapf,30,100.0,30,30,1.0,47565,1997-04-15 00:30:00+00:00,1999-12-31 23:30:00+00:00,True
FRA_HES_HE2_NON,sapf,30,100.0,30,30,0.5,105216,2000-01-01 00:30:00+00:00,2006-01-01 00:00:00+00:00,True
FRA_PUE,env,30,100.0,30,30,0.5,280512,1999-12-31 23:30:00+00:00,2015-12-31 23:00:00+00:00,True
GBR_ABE_PLO,env,30,100.0,30,30,0.5,6144,2001-04-18 00:00:00+00:00,2001-08-23 23:30:00+00:00,True
GUF_GUY_GUY,sapf,30,100.0,30,30,0.5,42646,2014-01-01 03:00:00+00:00,2016-06-07 13:30:00+00:00,True
GUF_GUY_ST2,sapf,30,100.0,30,30,0.5,35088,2008-01-01 03:00:00+00:00,2010-01-01 02:30:00+00:00,True
ISR_YAT_YAT,env,30,100.0,30,30,0.5,94535,2009-09-13 22:00:00+00:00,2015-02-04 09:00:00+00:00,True
ITA_TOR,env,30,100.0,30,30,0.5,32158,2015-03-02 23:00:00+00:00,2016-12-31 21:30:00+00:00,True
NLD_LOO,sapf,30,100.0,30,30,0.5,70128,2011-12-31 23:30:00+00:00,2015-12-31 23:00:00+00:00,True
SWE_NOR_ST1_BEF,sapf,30,100.0,30,30,0.5,35088,2006-12-31 23:30:00+00:00,2008-12-31 23:00:00+00:00,True
SWE_NOR_ST2,sapf,30,100.0,30,30,0.5,17520,2000-12-31 23:30:00+00:00,2001-12-31 23:00:00+00:00,True
SWE_NOR_ST3,env,30,100.0,30,30,0.5,105168,2001-12-31 23:30:00+00:00,2007-12-31 23:00:00+00:00,True
SWE_NOR_ST4_AFT,env,30,100.0,30,30,0.5,35089,1998-12-31 23:00:00+00:00,2000-12-31 23:00:00+00:00,True
SWE_NOR_ST4_BEF,env,30,100.0,30,30,0.5,17520,1997-12-31 23:00:00+00:00,1998-12-31 22:30:00+00:00,True
SWE_NOR_ST5_REF,env,30,100.0,30,30,0.5,52609,1997-12-31 23:00:00+00:00,2000-12-31 23:00:00+00:00,True
THA_KHU,env,30,100.0,30,30,0.5,23808,2006-12-14 17:00:00+00:00,2008-04-23 16:30:00+00:00,True
USA_DUK_HAR,env,30,100.0,30,30,0.5,70128,2002-01-01 05:00:00+00:00,2006-01-01 04:30:00+00:00,True
USA_HUY_LIN_NON,sapf,30,100.0,30,30,0.5,17520,2017-01-01 05:00:00+00:00,2018-01-01 04:30:00+00:00,True
USA_ORN_ST1_AMB,sapf,30,39.61,4|5|6|10|30,4,0.5,64125,2007-01-01 05:15:00+00:00,2009-01-01 04:46:00+00:00,False
